lexical_item	selected_input	old_deleting_rule	new_deleting_rule	form_before_new_rule	form_after_new_rule	before_checkpoint_bin	after_checkpoint_bin	phase0_proposed_process	adjudicated_process_matches
buck	*búkkaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*ó*k*k*a*z	*b*ó*k*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
calf	*kálbaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*k*á*l*b*a*z	*k*á*l*b*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
comb	*kámbaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*k*á*m*b*a*z	*k*á*m*b*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
craft	*kráftaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*k*r*á*f*t*a*z	*k*r*á*f*t*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
crop	*krúppaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*k*r*ó*p*p*a*z	*k*r*ó*p*p*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
cud	*kwéðuz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*k*w*é*d*u*z	*k*w*é*d*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
dale	*dálaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*á*l*a*z	*d*á*l*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
day	*dágaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*á*g*a*z	*d*á*g*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
deal	*dáiliz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*ái*l*i*z	*d*ái*l*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
deed	*dḗdiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*ḗ*d*i*z	*d*ḗ*d*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
dill	*déliz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*é*l*i*z	*d*é*l*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
dough	*dáigaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*ái*g*a*z	*d*ái*g*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
dream	*dráugmaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*r*áu*m*a*z	*d*r*áu*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
drench	*dránkiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*d*r*á*n*k*i*z	*d*r*á*n*k*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
eel	*ḗlaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*ḗ*l*a*z	*ḗ*l*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
fern	*fárnaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*á*r*n*a*z	*f*á*r*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
field	*félθuz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*é*l*d*u*z	*f*é*l*d*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
finger	*fíngraz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*í*n*g*r*a*z	*f*í*n*g*r*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
fish	*fískaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*í*s*k*a*z	*f*í*s*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
fist	*fúnxstiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*ú*n*x*s*t*i*z	*f*ú*n*x*s*t*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
flea	*fláuxz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC096 RootNounNomZLoss	*f*l*áu*x*z	*f*l*áu*x	old_english_sandbox_after_rhotacism.bin	old_english_sandbox_after_root_noun_nom_z_loss.bin	early_unstressed_final_z_loss	yes; Phase 0 proposed early_unstressed on a polysyllabic misreading (áu is one diphthong), superseded by Dossier A
flesh	*fláiskiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*l*ái*s*k*i*z	*f*l*ái*s*k*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
flood	*flōduz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*l*ō*d*u*z	*f*l*ō*d*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
fowl	*fúglaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*ó*g*l*a*z	*f*ó*g*l*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
fox	*fúxsaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*ó*x*s*a*z	*f*ó*x*s*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
friend	*fríjōndz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*r*íu*n*d*z	*f*r*íu*n*d	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
fright	*fúrxtīnaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*f*ú*r*x*t*ī*n*a*z	*f*ú*r*x*t*ī*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
gang	*gángaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*g*á*n*g*a*z	*g*á*n*g*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
ghost	*gáistaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*g*ái*s*t*a*z	*g*ái*s*t*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
gift	*géftiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*g*é*f*t*i*z	*g*é*f*t*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
goose	*gánsz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC096 RootNounNomZLoss	*g*á*n*s*z	*g*á*n*s	old_english_sandbox_after_rhotacism.bin	old_english_sandbox_after_root_noun_nom_z_loss.bin	later_northern_final_z_loss	yes; Phase 0 proposed later_northern, superseded by Dossier A (root-noun nominative)
ground	*grúnduz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*g*r*ú*n*d*u*z	*g*r*ú*n*d*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
guest	*gástiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*g*á*s*t*i*z	*g*á*s*t*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hand	*xánduz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*á*n*d*u*z	*x*á*n*d*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
harm	*xármaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*á*r*m*a*z	*x*á*r*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
harvest	*xárbistuz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*á*r*b*i*s*t*u*z	*x*á*r*b*i*s*t*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hawk	*xábukaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*á*b*u*k*a*z	*x*á*b*u*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hazel	*xáslaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*á*s*l*a*z	*x*á*s*l*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hearth	*xérθaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*é*r*θ*a*z	*x*é*r*θ*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
heath	*xáiθiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*ái*θ*i*z	*x*ái*θ*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hedge	*xágjaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*á*g*g*j*a*z	*x*á*g*g*j*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
helm	*xélmaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*é*l*m*a*z	*x*é*l*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
home	*xáimaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*ái*m*a*z	*x*ái*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hood	*xōdaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*ō*d*a*z	*x*ō*d*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hoof	*xōfaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*ō*f*a*z	*x*ō*f*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
hound	*xúndaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*ú*n*d*a*z	*x*ú*n*d*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
knight	*knéxtaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*k*n*é*x*t*a*z	*k*n*é*x*t*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
leek	*láukaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*l*áu*k*a*z	*l*áu*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
loath	*láiθaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*l*ái*θ*a*z	*l*ái*θ*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
lock	*lúkkaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*l*ó*k*k*a*z	*l*ó*k*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
louse	*lūsz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC096 RootNounNomZLoss	*l*ū*s*z	*l*ū*s	old_english_sandbox_after_rhotacism.bin	old_english_sandbox_after_root_noun_nom_z_loss.bin	later_northern_final_z_loss	yes; Phase 0 proposed later_northern, superseded by Dossier A (root-noun nominative)
lust	*lústuz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*l*ú*s*t*u*z	*l*ú*s*t*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
malt	*máltaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*m*á*l*t*a*z	*m*á*l*t*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
mast	*mástaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*m*á*s*t*a*z	*m*á*s*t*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
might	*máxtiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*m*á*x*t*i*z	*m*á*x*t*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
milk	*mélukz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*m*é*l*u*k*z	*m*é*l*u*k	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
month	*mḗnōθz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*m*ḗ*n*ō*θ*z	*m*ḗ*n*ō*θ	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
mood	*mōdaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*m*ō*d*a*z	*m*ō*d*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
nail	*náglaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*n*á*g*l*a*z	*n*á*g*l*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
need	*náudiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*n*áu*d*i*z	*n*áu*d*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
one	*áinaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*ái*n*a*z	*ái*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
oven	*úfnaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*ó*f*n*a*z	*ó*f*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
raven	*xrábnaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*x*r*á*b*n*a*z	*x*r*á*b*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
reek	*ráukaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*r*áu*k*a*z	*r*áu*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
rest	*rástōz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*r*á*s*t*ō*z	*r*á*s*t*ō	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
coat	*rúkkaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*r*ó*k*k*a*z	*r*ó*k*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
rudder	*rōθraz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*r*ō*θ*r*a*z	*r*ō*θ*r*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
rye	*rúgiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*r*ú*g*i*z	*r*ú*g*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
sea	*sáiwiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*ái*w*i*z	*s*ái*w*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
seam	*sáumaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*áu*m*a*z	*s*áu*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
sheath	*skáiθiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*k*ái*θ*i*z	*s*k*ái*θ*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
shield	*skélduz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*k*é*l*d*u*z	*s*k*é*l*d*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
shilling	*skíllingaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*k*í*l*l*i*n*g*a*z	*s*k*í*l*l*i*n*g*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
shoulder	*skúldramiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*k*ú*l*d*r*u*m*z	*s*k*ú*l*d*r*u*m	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
snow	*snáiwaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*n*ái*w*a*z	*s*n*ái*w*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
spoon	*spḗnuz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*p*ḗ*n*u*z	*s*p*ḗ*n*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
staff	*stábaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*á*b*a*z	*s*t*á*b*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
stem	*stámniz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*á*m*n*i*z	*s*t*á*m*n*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
stock	*stúkkaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*ó*k*k*a*z	*s*t*ó*k*k*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
stone	*stáinaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*s*t*ái*n*a*z	*s*t*ái*n*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
