row_id	lexical_item	counterpart	selected_input	form_before_sc020	form_after_sc020	final_z_syllable	stress_status	monosyllabic_or_polysyllabic	morphological_category	proposed_historical_process	historical_stage	source_evidence	confidence	notes
11	buck	bucc	*búkkaz	bókkaz	bókka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
12	calf	ċealf	*kálbaz	kálbaz	kálba	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
13	comb	camb	*kámbaz	kámbaz	kámba	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
14	craft	cræft	*kráftaz	kráftaz	kráfta	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
15	crop	cropp	*krúppaz	króppaz	króppa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
16	cud	cwedu	*kwéðuz	kwéduz	kwédu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
17	dale	dæl	*dálaz	dálaz	dála	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
18	day	dæġ	*dágaz	dágaz	dága	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
19	deal	dǣl	*dáiliz	dáiliz	dáili	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
20	deed	dǣd	*dḗdiz	dḗdiz	dḗdi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
21	dill	dile	*déliz	déliz	déli	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
22	dough	dāg	*dáigaz	dáigaz	dáiga	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
23	dream	drēam	*dráugmaz	dráumaz	dráuma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
24	drench	drenċ	*dránkiz	dránkiz	dránki	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
25	eel	ǣl	*ḗlaz	ḗlaz	ḗla	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
26	fern	fearn	*fárnaz	fárnaz	fárna	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
27	field	feld	*félθuz	félduz	féldu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
28	finger	finger	*fíngraz	fíngraz	fíngra	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
29	fish	fisċ	*fískaz	fískaz	físka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
30	fist	fȳst	*fúnxstiz	fúnxstiz	fúnxsti	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
31	flea	flēah	*fláuxz	fláuxz	fláux	xz	unstressed ending (stress on root)	polysyllabic	other final -z	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
32	flesh	flǣsċ	*fláiskiz	fláiskiz	fláiski	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
33	flood	flōd	*flōduz	flōduz	flōdu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
34	fowl	fugol	*fúglaz	fóglaz	fógla	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
35	fox	fox	*fúxsaz	fóxsaz	fóxsa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
36	friend	frēond	*fríjōndz	fríundz	fríund	dz	unstressed ending (stress on root)	polysyllabic	other final -z	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
37	fright	fyrhte	*fúrxtīnaz	fúrxtīnaz	fúrxtīna	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
38	gang	gang	*gángaz	gángaz	gánga	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
39	ghost	gāst	*gáistaz	gáistaz	gáista	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
40	gift	ġift	*géftiz	géftiz	géfti	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
41	goose	gōs	*gánsz	gánsz	gáns	sz	stressed (root is the only syllable)	monosyllabic	monosyllabic lexical root + *z	later_northern_final_z_loss	Northern West Germanic / Ingvaeonic (proposed)	Crist2002 §§6-7 (Ingvaeonic/secondary); cf. *wīz,*miz analogues	B	stressed monosyllabic lexical word; *z directly on stressed root; candidate for later/northern deletion distinct from early unstressed-ending loss
42	ground	grund	*grúnduz	grúnduz	grúndu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
43	guest	ġiest	*gástiz	gástiz	gásti	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
44	hand	hand	*xánduz	xánduz	xándu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
45	harm	hearm	*xármaz	xármaz	xárma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
46	harvest	hierfest	*xárbistuz	xárbistuz	xárbistu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
47	hawk	hafoc	*xábukaz	xábukaz	xábuka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
48	hazel	hæsl	*xáslaz	xáslaz	xásla	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
49	hearth	heorþ	*xérθaz	xérθaz	xérθa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
50	heath	hǣþ	*xáiθiz	xáiθiz	xáiθi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
51	hedge	heġġ	*xágjaz	xággjaz	xággja	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
52	helm	helm	*xélmaz	xélmaz	xélma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
53	home	hām	*xáimaz	xáimaz	xáima	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
54	hood	hōd	*xōdaz	xōdaz	xōda	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
55	hoof	hōf	*xōfaz	xōfaz	xōfa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
56	hound	hund	*xúndaz	xúndaz	xúnda	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
57	knight	cniht	*knéxtaz	knéxtaz	knéxta	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
58	leek	lēac	*láukaz	láukaz	láuka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
59	loath	lāþ	*láiθaz	láiθaz	láiθa	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
60	lock	locc	*lúkkaz	lókkaz	lókka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
61	louse	lūs	*lūsz	lūsz	lūs	sz	stressed (root is the only syllable)	monosyllabic	monosyllabic lexical root + *z	later_northern_final_z_loss	Northern West Germanic / Ingvaeonic (proposed)	Crist2002 §§6-7 (Ingvaeonic/secondary); cf. *wīz,*miz analogues	B	stressed monosyllabic lexical word; *z directly on stressed root; candidate for later/northern deletion distinct from early unstressed-ending loss
62	lust	lust	*lústuz	lústuz	lústu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
63	malt	mealt	*máltaz	máltaz	málta	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
64	mast	mæst	*mástaz	mástaz	másta	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
65	might	miht	*máxtiz	máxtiz	máxti	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
66	milk	meoloc	*mélukz	mélukz	méluk	kz	unstressed ending (stress on root)	polysyllabic	other final -z	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
67	month	mōnaþ	*mḗnōθz	mḗnōθz	mḗnōθ	θz	unstressed ending (stress on root)	polysyllabic	other final -z	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
68	mood	mōd	*mōdaz	mōdaz	mōda	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
69	nail	næġl	*náglaz	náglaz	nágla	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
70	need	nīed	*náudiz	náudiz	náudi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
71	one	ān	*áinaz	áinaz	áina	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
72	oven	ofn	*úfnaz	ófnaz	ófna	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
73	raven	hræfn	*xrábnaz	xrábnaz	xrábna	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
74	reek	rēac	*ráukaz	ráukaz	ráuka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
75	rest	ræste	*rástōz	rástōz	rástō	ōz	unstressed ending (stress on root)	polysyllabic	other final -z	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
76	coat	rocc	*rúkkaz	rókkaz	rókka	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
77	rudder	rōþor	*rōθraz	rōθraz	rōθra	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
78	rye	ryġe	*rúgiz	rúgiz	rúgi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
79	sea	sǣ	*sáiwiz	sáiwiz	sáiwi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
