# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv (human judgements) + oe_pipeline (exec_index/cascade_position from germanic.txt)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# Current SC state projection. Positions here are DERIVED and go stale the
# moment germanic.txt changes; regenerate, never edit. An empty
# cascade_position means the stage executes outside the numbered span
# (prelude or written-surface block); an empty exec_index means the SC has
# no executable stage.
sc_id	fst_identifier	entry_type	pipeline_stage	display_name	hist_stage	hist_scope	confidence	adjudication_status	verdict	exec_index	cascade_position
SC010	PWGmcJGemination	historical_sound_change	Proto-West Germanic developments	PWGmc J Gemination	pwgmc	pan_wgmc	A	unadjudicated		12	10
SC011	PWGmcSyllabicJ	historical_sound_change	Proto-West Germanic developments	PWGmc Syllabic J	pwgmc	pan_wgmc	A	unadjudicated		13	11
SC028	PNWGmcPreconsonantalXLoss	historical_sound_change	Northern West Germanic	Northern West Germanic *xs-Cluster Simplification	pwgmc	north_wgmc	B	adjudicated	RETAIN/REORDER	14	12
SC012	EAFLThVoicing	historical_sound_change	Northern West Germanic	Northern West Germanic *lþ*-voicing	eaf	north_wgmc	B	unadjudicated		15	13
SC013	PWGmcDentalHardening	historical_sound_change	Proto-West Germanic developments	PWGmc Dental Hardening	pwgmc	pan_wgmc	A	unadjudicated		16	14
SC015	PNWGmcILowering	historical_sound_change	Northwest Germanic developments	Proto-Northwest Germanic I Lowering	pnwgmc	pan_pnwgmc	A	unadjudicated		17	15
SC017	PNWGmcULowering	historical_sound_change	Northwest Germanic developments	Proto-Northwest Germanic U Lowering	pnwgmc	pan_pnwgmc	A	adjudicated	RETAIN	18	16
SC018	PNWGmcStressedMonosyllableORaising	historical_sound_change	Northwest Germanic developments	Proto-Northwest Germanic Stressed Monosyllable O Raising	pnwgmc	pan_pnwgmc	B	unadjudicated		19	17
SC019	PNWGmcFinalLongORaising	historical_sound_change	Northwest Germanic developments	Proto-Northwest Germanic Final Long O Raising	pnwgmc	pan_pnwgmc	A	unadjudicated		20	18
SC020	EAFFinalZDeletion	historical_sound_change	West Germanic	West Germanic final *z*-deletion	pwgmc	pan_wgmc	B	adjudicated	SPLIT	21	19
SC098	PWGmcUnstressedWordFinalIApocope	historical_sound_change	West Germanic	Early apocope in unstressed words	pwgmc	pan_wgmc	B	unadjudicated		22	20
SC097	MonosyllabicFinalZLoss	historical_sound_change	Early Anglo-Frisian	Northern West Germanic monosyllabic final *z*-loss	eaf	north_wgmc	B	unadjudicated		23	21
SC003	EAFRhotacism	historical_sound_change	West Germanic	West Germanic rhotacism	eaf	pan_wgmc	A	unadjudicated		24	22
SC022	PNWGmcMnDissimilation	historical_sound_change	SC018-SC025 editorial holding zone	Common Germanic Mn Dissimilation	pgmc	pan_germanic	B	adjudicated	REFORMULATE/RETAIN	25	23
SC023	PNWGmcNStemNLoss	historical_sound_change	SC018-SC025 editorial holding zone	Proto-Germanic Word-Final N Loss	pgmc	pan_germanic	A	adjudicated	REFORMULATE/RETAIN	26	24
SC026	EAFNasalSpirantLengthening	historical_sound_change	Northwest Germanic developments	North Sea Germanic nasal-spirant law (step 1: nasalization and compensatory lengthening)	eaf	north_sea_germanic	A	adjudicated	SPLIT/RESTRICT/REFORMULATE	27	25
SC027	EAFNasalSpirantLoss	historical_sound_change	Northwest Germanic developments	North Sea Germanic nasal-spirant law (step 2: loss of the nasal)	eaf	north_sea_germanic	A	adjudicated	SPLIT/RESTRICT/REFORMULATE	28	26
SC102	EAFHiatusWInsertion	historical_sound_change	Early Anglo-Frisian	EAF Generalization of Hiatus-Breaking W	eaf	anglo_frisian	A	adjudicated	SPLIT	29	27
SC025	EAFLongANasalRounding	historical_sound_change	Early Anglo-Frisian	North Sea Germanic nasalization of long a before a nasal	eaf	north_sea_germanic	B	adjudicated	SPLIT/REFORMULATE	30	28
SC104	EAFNasalizedLowRounding	historical_sound_change	Early Anglo-Frisian	Anglo-Frisian rounding of the long nasalized low vowel	eaf	anglo_frisian	A	adjudicated	SPLIT	31	29
SC101	EAFLongAFronting	historical_sound_change	Early Anglo-Frisian	EAF Long A Fronting	eaf	north_sea_germanic	B	adjudicated	SPLIT/RESTRICT	32	30
SC004	EAFAiMonophthongization	historical_sound_change	Early Anglo-Frisian	EAF Ai Monophthongization	eaf	north_sea_germanic	B	unadjudicated		33	31
SC029	OEAwjGlideFormation	historical_sound_change	Old English	OE Awj Glide Formation	preoe	english_specific	B	unadjudicated		34	32
SC030	OEAuFronting	historical_sound_change	Old English	OE Au Fronting	preoe	english_specific	B	unadjudicated		35	33
SC033	OEEwLongDiphthong	historical_sound_change	Old English	OE Ew Long Diphthong	ws_oe	west_saxon	A	unadjudicated		36	34
SC031	OEWWSimplification	historical_sound_change	Old English	OE WW Simplification	ws_oe	west_saxon	A	unadjudicated		37	35
SC032	OEDiphthongLeveling	historical_sound_change	Old English	OE Diphthong Leveling	ws_oe	west_saxon	A	unadjudicated		38	36
SC034	OEAwLongDiphthong	historical_sound_change	Old English	OE Aw Long Diphthong	ws_oe	west_saxon	A	unadjudicated		39	37
SC035	OEPrefixAReduction	historical_sound_change	Old English	OE Prefix A Reduction Early	oe	english_specific	A	unadjudicated		40	38
SC036	OEInterStressRaising	historical_sound_change	Old English	OE Inter Stress Raising	oe	english_specific	A	unadjudicated		41	39
SC037	OECompoundLinkingSyncope	historical_sound_change	Old English	OE Compound Linking Syncope	oe	english_specific	A	unadjudicated		42	40
SC038	OEStripSecondaryStress	technical_marker	Old English	OE Strip Secondary Stress				unadjudicated		43	41
SC039	OEWICombinativeUUmlaut	historical_sound_change	Old English	OE WI Combinative U Umlaut	oe	english_specific	A	unadjudicated		44	42
SC041	PWGmcFinalBareALoss	historical_sound_change	Old English	PWGmc Final Bare A Loss	pwgmc	pan_wgmc	B	unadjudicated		45	43
SC042	PWGmcSurvivingBimoricOUnrounding	historical_sound_change	Old English	PWGmc Surviving Bimoric O Unrounding	pwgmc	pan_wgmc	B	unadjudicated		46	44
SC043	EAFBrightening	historical_sound_change	Old English	Anglo-Frisian brightening	eaf	anglo_frisian	A	unadjudicated		47	45
SC044	OEBreaking	historical_sound_change	Old English	OE Breaking	oe	english_specific	A	unadjudicated		48	46
SC045	OEVelarFricativePalatalization	historical_sound_change	Old English	OE Velar Fricative Palatalization	oe	english_specific	A	unadjudicated		49	47
SC046	OEARestoration	historical_sound_change	Old English	OE A Restoration	oe	english_specific	A	unadjudicated		50	48
SC047	OEHeavySyllableNasalApocope	historical_sound_change	Old English	OE Heavy Syllable Nasal Apocope	oe	english_specific	A	unadjudicated		51	49
SC048	OESecondaryNasalization	historical_sound_change	Old English	OE Secondary Nasalization	oe	english_specific	A	unadjudicated		52	50
SC049	PGmcBAllophony	historical_sound_change	Old English	PGmc B Allophony	pgmc	pan_germanic	A	unadjudicated		53	51
SC050	SieversLawSyncope	historical_sound_change	Old English	Sievers Law Syncope	pwgmc	pan_wgmc	B	unadjudicated		54	52
SC051	OESkPalatalization	historical_sound_change	Old English	OE Sk Palatalization	oe	english_specific	A	unadjudicated		55	53
SC052	OEVelarPalatalization	historical_sound_change	Old English	OE Velar Palatalization	oe	english_specific	A	unadjudicated		56	54
SC053	OEPostVelarWLoss	historical_sound_change	Old English	OE Post Velar W Loss	oe	english_specific	A	unadjudicated		57	55
SC054	OEWLossBeforeI	historical_sound_change	Old English	OE W Loss Before I	oe	english_specific	A	unadjudicated		58	56
SC055	OEIUmlaut	historical_sound_change	Old English	OE I Umlaut	oe	english_specific	A	unadjudicated		59	57
SC056	OEWsPalatalDiphthongization	historical_sound_change	Old English	OE Ws Palatal Diphthongization	oe	english_specific	A	unadjudicated		60	58
SC057	OEJClusterCoalescence	historical_sound_change	Old English	OE J Cluster Coalescence	oe	english_specific	A	unadjudicated		61	59
SC059	OEBackMutation	historical_sound_change	Old English	OE Back Mutation	oe	english_specific	A	unadjudicated		62	60
SC060	OEWsPalatalUmlaut	historical_sound_change	Old English	OE Ws Palatal Umlaut	ws_oe	west_saxon	A	unadjudicated		63	61
SC061	OEWeakTailNasalLoss	historical_sound_change	Old English	OE Weak Tail Nasal Loss	oe	english_specific	A	unadjudicated		64	62
SC062	OEWeightMarkers	technical_marker	Old English	OE Weight Markers				unadjudicated		65	63
SC063	OEHighVowelApocope	historical_sound_change	Old English	OE High Vowel Apocope	oe	english_specific	A	unadjudicated		66	64
SC064	NWGmcInStemNLoss	historical_sound_change	Old English	NWGmc In Stem N Loss	nwgmc	pan_nwgmc	C	unadjudicated		67	65
SC065	OEMedialSyncope	historical_sound_change	Old English	OE Medial Syncope	oe	english_specific	A	unadjudicated		68	66
SC066	OELAdjacentSyncope	historical_sound_change	Old English	OE L Adjacent Syncope	oe	english_specific	A	unadjudicated		69	67
SC067	OEDentalAssimilation	historical_sound_change	Old English	OE Dental Assimilation	oe	english_specific	A	unadjudicated		70	68
SC068	OEPreconsonantalDegemination	historical_sound_change	Old English	OE Preconsonantal Degemination	oe	english_specific	A	unadjudicated		71	69
SC069	OEEarlyOShortening	historical_sound_change	Old English	OE Early O Shortening	oe	english_specific	A	unadjudicated		72	70
SC070	OEUnstressedFrontingEarly	historical_sound_change	Old English	OE Unstressed Fronting Early	oe	english_specific	A	unadjudicated		73	71
SC071	OELateOShortening	historical_sound_change	Old English	OE Late O Shortening	oe	english_specific	A	unadjudicated		74	72
SC099	OEMedUnstressedORaising	historical_sound_change	Old English	OE medial unstressed *o*-raising	oe	west_saxon	A	unadjudicated		75	73
SC100	OEFinalUnstressedOLowering	historical_sound_change	Old English	OE final unstressed *o*-lowering	oe	english_specific	A	unadjudicated		76	74
SC072	OEUnstressedLongVowelShortening	historical_sound_change	Old English	OE Unstressed Long Vowel Shortening	oe	english_specific	A	unadjudicated		77	75
SC073	OEUnstressedAEMerger	historical_sound_change	Old English	OE Unstressed AE Merger	oe	english_specific	A	unadjudicated		78	76
SC074	OEMedUnstressedILowering1	historical_sound_change	Old English	OE Med Unstressed I Lowering1	oe	english_specific	A	unadjudicated		79	77
SC075	OEMedUnstressedILowering	historical_sound_change	Old English	OE Med Unstressed I Lowering	oe	english_specific	A	unadjudicated		80	78
SC040	OEMedUnstressedULowering	historical_sound_change	Old English	OE Med Unstressed U Lowering	oe	english_specific	A	unadjudicated		81	79
SC076	OEPrefixIReduction	historical_sound_change	Old English	OE Prefix I Reduction	oe	english_specific	A	unadjudicated		82	80
SC078	OEWeakTailReduction	historical_sound_change	Old English	OE Weak Tail Reduction	oe	english_specific	A	unadjudicated		83	81
SC079	OEJLossAfterHeavy	historical_sound_change	Old English	OE J Loss After Heavy	oe	english_specific	A	unadjudicated		84	82
SC080	OEFinalGeminateSimplification	historical_sound_change	Old English	OE Final Geminate Simplification	oe	english_specific	A	unadjudicated		85	83
SC081	OEJStrengtheningAfterFrontDiphthong	historical_sound_change	Old English	OE J Strengthening After Front Diphthong	oe	english_specific	A	unadjudicated		86	84
SC082	OEIntervocalicJVocalization	historical_sound_change	Old English	OE Intervocalic J Vocalization	oe	english_specific	A	unadjudicated		87	85
SC083	OEUnstressedEIContraction	historical_sound_change	Old English	OE Unstressed EI Contraction	oe	english_specific	A	unadjudicated		88	86
SC084	OEWeightCleanup	technical_marker	Old English	OE Weight Cleanup				unadjudicated		89	87
SC085	OEHLoss	historical_sound_change	Old English	OE H Loss	oe	english_specific	A	unadjudicated		90	88
SC086	OEContraction	historical_sound_change	Old English	OE Contraction	oe	english_specific	A	unadjudicated		91	89
SC087	OERMetathesis	historical_sound_change	Old English	OE R Metathesis	oe	english_specific	A	unadjudicated		92	90
SC088	OEEpentheticVowel	historical_sound_change	Old English	OE Epenthetic Vowel				unadjudicated		93	91
SC089	OELateUnstressedAgSuffix	historical_sound_change	Old English	OE Late Unstressed Ag Suffix				unadjudicated		94	92
SC090	OECjCleanup	orthography_surface	Old English	OE Cj Cleanup				unadjudicated		95	93
SC091	OEXsMerge	orthography_surface	Old English	OE Xs Merge				unadjudicated		96	94
SC092	OldEnglishOrthography	orthography_surface	Orthography & surface	Old English Orthography				unadjudicated		97	95
SC016	OEWsPalatalGlide	orthography_surface	Orthography & surface	OE Ws Palatal Glide	oe_ws	west_saxon	A	adjudicated	REFORMULATE/REORDER	98	96
SC094	OldEnglishRemoveStars	orthography_surface	Orthography & surface	Old English Remove Stars				unadjudicated		99	97
SC095	OldEnglishSurface	support_stage	Orthography & surface	Old English Surface				unadjudicated		100	
