# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv + registry/sc_inventory_notes.tsv (human) joined with Germanic/fsts/germanic.txt and the coverage census (machine)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
#
# rule_source_anchor is deliberately a STABLE anchor with no line number:
# inserting lines above a definition must not dirty any committed file.
# Run tools/executable_facts.py NAME for the current line.
#
# firing_count/firing_lexemes are the CURRENT corpus firing population
# (machine evidence). illustrative_lexemes are examples a human chose
# (editorial). The two are never interchangeable.
change_id	trace_stage	rule_source_path	rule_source_anchor	foma_definition_raw	plain_description_draft	appears_in_compact_trace	firing_count	firing_lexemes	illustrative_lexemes	literature_status	order_sensitivity_status	notes	review_note	needs_human_review
SC011	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcSyllabicJ	define PWGmcSyllabicJ [ {*j} {*a} -> {*i} || EnglishStarShortVowel EnglishStarConsonant _ .#., {*j} {*ą} -> {*i} || EnglishStarShortVowel EnglishStarConsonant _ .#. ];	PWGmc Syllabic J	no	0			not_started	not_started			no
SC012	Northern West Germanic	Germanic/fsts/germanic.txt	define EAFLThVoicing	define EAFLThVoicing [ {*θ} -> {*d} || {*l} _ ];	PWGmc L Th Voicing	yes	4	field, fold, gold, wold		not_started	not_started		Scope north_wgmc (confidence B): comparative evidence supports lþ>ld most clearly in northern West Germanic, not as an unqualified pan-PWGmc change (R/T pp.170-171; Campbell §414). Identifier EAFLThVoicing retained as stable impl name.	no
SC013	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcDentalHardening	define PWGmcDentalHardening [ {*ð} -> {*d} ];	PWGmc Dental Hardening	yes	4	cud, find, lade, needle		not_started	not_started			no
SC014	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcUnstressedAiMonophthongization	define PNWGmcUnstressedAiMonophthongization [ {*ai} -> {*ē} ];	NWGmc Unstressed Ai Monophthongization	yes	2	meed, span		not_started	not_started	Unstressed *ai → *ē in final AND nonfinal environments (Ringe-Taylor's rule is unstressed *ai > *ē, not merely word-final; Proto-Northwest Germanic, early; R/T pp.37-41, §6.1.5). Split out of the former bundled SC004; executes at the head of EarlyEnglishLineChanges (former SC004 slot). Diagnostic witnesses by PROTOFORM: span (*spánnai dat.sg → spanne) and meed (*mízdai → meorde). Former no-op {*ăi}->{*ē} removed.		no
SC015	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcILowering	define PNWGmcILowering [ {*i} -> {*e} || .#. EnglishStarNonVelarConsonant* _ EnglishStarCoronal+ EnglishStarNonHighVowel, {*í} -> {*é} || .#. EnglishStarNonVelarConsonant* _ EnglishStarCoronal+ EnglishStarNonHighVowel ];	NWGmc I Lowering	yes	4	meed, nest, wether, world		not_started	not_started			no
SC016	Orthography & surface	Germanic/fsts/germanic.txt	define OEWsPalatalGlide	define OEWsPalatalGlide [ {*ó} -> {*éo} || .#. ġ _ , {*ú} -> {*éo} || .#. ġ _ , {*o} -> {*eo} || .#. ġ _ , {*u} -> {*eo} || .#. ġ _ ];	OE Ws Palatal Glide	yes	2	yoke, youth		adjudicated	not_started		REPAIRED (sc016-017-adjudication.md): moved to its historical OE/WS position after OldEnglishOrthography and reformulated as glide spelling of back vowels (o/ó/u/ú) after word-initial ġ (R/T p.5: geoc is /jok/, eo orthographic; Hogg CHEL I p.112; Brunner §92.1; Bülbring §§298-299; Campbell §44). SC017 now feeds SC016 (*juka > *joka > geoc). Absorbs the former SC093 OEGlideUToEO. Historical domain is broader (also a/ā/ō subcases in the handbooks), but the executable rule is intentionally complete only for currently selected corpus witnesses.	no
SC017	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcULowering	define PNWGmcULowering [ {*u} -> {*o} || .#. EnglishStarConsonant* _ [EnglishStarConsonantNoJ - EnglishStarNasal] EnglishStarConsonantNoJ* EnglishStarNonHighVowel, {*ú} -> {*ó} || .#. EnglishStarConsonant* _ [EnglishStarConsonantNoJ - EnglishStarNasal] EnglishStarConsonantNoJ* EnglishStarNonHighVowel ];	NWGmc U Lowering	yes	39	board, bore, bottom, bow, corn, crop, door, foal, folk, fox, frost, god, gold, hoard, horn, knob, lock, nose, oven, ox, coat, shovel, sorrow, spur, stock, stork, storm, thorn, trough, word, yoke, bore (iptv.2sg), bore (3sg), buck, fowl, rust, wolf, wool		adjudicated	not_started			no
SC018	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcStressedMonosyllableORaising	define PNWGmcStressedMonosyllableORaising [ {*ō} -> {*ū} || .#. [EnglishStarConsonant | EnglishPalatalConsonant]* _ .#. ];	NWGmc Stressed Monosyllable O Raising	yes	1	both		not_started	not_started			no
SC019	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcFinalLongORaising	define PNWGmcFinalLongORaising [ {*ō} -> {*u} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#. ];	NWGmc Final Long O Raising	yes	29	beech, bier, dew, hall, help, herd, hind, linden, liver, lung, lye, march, nave, needle, nose, rind, rood, sake, salve, shame, shovel, shower, sorrow, soul, spindle, tongs, while, rust, wool		not_started	not_started			no
SC020	West Germanic	Germanic/fsts/germanic.txt	define EAFFinalZDeletion	define EAFFinalZDeletion [{*z} -> 0 || .#. ?* EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ EnglishStarVocalic ?* _ .#., .#. [EnglishStarConsonant | EnglishPalatalConsonant]* EnglishStarVocalic+ [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#.];	PGmc Final Z Deletion	yes	111	beard, beaver, belly, birth, bosom, bottom, bough, breeches, bride, calf, comb, craft, crop, cud, dale, day, deal, deed, dill, dough, dream, drench, eel, fern, field, finger, fish, fist, flesh, flood, fox, friend, fright, gang, ghost, gift, ground, guest, hand, harm, harvest, hawk, hazel, hearth, heath, hedge, helm, home, hood, hoof, hound, knight, leek, loath, lock, lust, malt, mast, might, milk, month, mood, nail, need, one, oven, raven, reek, rest, coat, rudder, rye, sea, seam, sheath, shield, shilling, shoulder, snow, spoon, staff, stem, stock, stone, stool, stork, storm, stream, string, summer, team, thane, thanks, thief, thirst, thorn, three, thunder, tide, wain, wasp, way, whale, wight, winter, wold, worm, you, buck, fowl, wolf		adjudicated	not_started	Narrowed 2026 (three-rule split, adjudication memo sc020-three-rule-adjudication.md): now the PWGmc loss of word-final *z in unstressed syllables only (R/T 2014 pp.44-45, 212; Crist 2002 §5). Clause (i) polysyllabic final *z; clause (ii) post-consonantal monosyllabic *z at corridor stage, reached only by contraction-created *fríundz (friend) whose lost syllable was unstressed when the change applied. Root-noun nominatives (book/flea/goose/louse) now fall under SC096; the later northern stressed-monosyllable loss is SC097 (unwitnessed). Identifier EAFFinalZDeletion retained pending global rename; hist stage corrected West Germanic -> Proto-West Germanic per Dossier B.	Historically a West Germanic loss of word-final *z in unstressed syllables (Crist2002 §5; Campbell p.166; Hogg p.37; Kilday2024) — NOT Proto-Germanic. Precedes rhotacism (Crist); implemented via scoping. One computational rule stands for the pan-WGmc core + later Ingvaeonic deletions; all-WGmc vs Ingvaeonic scope unresolved (B). Identifier EAFFinalZDeletion retained as stable impl name.	no
SC022	SC018-SC025 editorial holding zone	Germanic/fsts/germanic.txt	define PNWGmcMnDissimilation	define PNWGmcMnDissimilation [ {*m} -> {*β} || EnglishStarVocalic _ {*n} ];	Common Germanic Mn Dissimilation	yes	1	stem		adjudicated	boundary_limited	Literal adjacent mn > βn. Fulk 2018 p.121 §6.11 and Polomé 1967 pp.818-819 support a late PGmc/Common-Germanic cluster change, not a securely PNWGmc innovation; PNWGmcMnDissimilation remains the stable Foma identifier only. The diagnostic corpus witness is stem (*stámniz > stefn); see the generated firing census for the current firing population. heaven is deeper comparative/paradigmatic evidence (ON himinn:hifni), NOT a direct row-level witness; SC022 does not fire in selected *xébun > heofon. No positive local ordering is established; the rule's executable placement is an editorial/computational holding-zone placement, not historical subgroup evidence.		no
SC023	SC018-SC025 editorial holding zone	Germanic/fsts/germanic.txt	define PNWGmcNStemNLoss	define PNWGmcNStemNLoss [ {*ō} {*n} -> {*ǭ} || _ .#. ];	Proto-Germanic Word-Final N Loss	yes	17	adder, earth, flask, heart, line, list, nettle, nightmare, side, sun, swallow, toe, tongue, wart, weasel, whore, widow		adjudicated	first_break_complete	General (pre-)PGmc loss of word-final *-n with nasalization (Ringe 2017 pp.101-103; proof set includes verb *dedǭ and pronoun *þanǭ; Goth. tuggo shares the weak nom.sg. outcome). Executable {*ō}{*n}-only environment is a deliberate citation-form proxy: every firing is a weak-noun citation stem in *-ōn-, and PGmc *sebun/*nigun/*tehun/*hebun retained -un (numeral analogy, Ringe 2017 p.103) and must not be touched. do is a counterfeeding (negative) witness only: OE dōn retains secondary final -n created by SC047, so the loss predates the OE apocope; stage-entailed, not a tight local adjacency. PNWGmcNStemNLoss remains the stable Foma identifier only; the rule's executable placement is an editorial/computational holding zone. See sc023-adjudication.md.		no
SC024	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcLongELowering	define PNWGmcLongELowering [ {*ḗ} -> {*ā} ];	NWGmc Long E1 Lowering	yes	17	adder, bier, deed, eel, hair, let, meal, month, needle, read, sheep, sleep, spoon, weapon, year, sow, betray		adjudicated	first_break_complete	Change A of the e1 complex (re-adjudication superseding the one-step proxy): early NWGmc stressed *ē₁ > *ā in ALL environments, nasal forms included (R/T print PNWGmc *mānō, *mānōþ-, *spānuz; vol.2 pp.11-12). Pan-NWGmc, Early Runic makija later 2nd c. AD (Grønvik 1998: 87 apud R/T p.12); R/T p.13 + n.3 restrict the law to stressed syllables — executable input is the stressed tier {*ḗ} only, so the five unstressed selected-input tokens (father, mother, sister, have, live) no longer fire here and take the §6.8.3 shortening path (R/T p.147 *fadēr > *fader). Reconstruction disputed: Fulk 2018 §4.6 (low-front *ǣ retained in Anglo-Frisian), Bennett 1950: 232-235 and Grønvik retention view, Campbell §§128-129 noncommittal — confidence B. It fires on oral roots (e.g. betray) and on sow, month, spoon; see the generated firing census for the current population. Its *ā output is consumed by SC025 (nasal) and SC101 (non-nasal). Composed inside EarlyEnglishLineChanges immediately after PNWGmcAToUBeforeM, ahead of every genuinely PWGmc innovation (early i-apocope, *ij contraction, j-gemination, syllabic *j, dental hardening), matching its early pan-NWGmc dating (Early Runic makija, later 2nd c. AD). See sc024-sc025-sc101-e1-complex-adjudication.md.		no
SC025	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define EAFLongANasalRounding	define EAFLongANasalRounding [ {*ā} -> {*ã} || _ EnglishStarNasal ];	NSGmc Long A Nasalization	yes	2	month, spoon		adjudicated	first_break_complete	ADJUDICATED (sc025-sc104-nasalized-low-vowel-adjudication.md): SPLIT. This rule now performs NASALIZATION only — inherited long *ā is nasalized before a retained nasal — and the rounding to *ō is the separate later Anglo-Frisian change SC104 EAFNasalizedLowRounding. Campbell §128 n.1 p.50 shows the intermediate was nasalized but NOT rounded, and that one later change rounded the nasalized vowel from §119, from §121 and from *ǣ alike. Scope north_sea_germanic is now correct for the nasalization specifically: Old Saxon nasalizes stressed low vowels (R/T §5.1.2 p.142) but does not share the categorical Anglo-Frisian rounding: it retains *ā consistently in the inherited PGmc nasalized-low-vowel class, while the Ingvaeonic class shows variable *ā/*ō by word and dialect (Campbell §119 p.44; Fulk §4.11 p.72). Input is the historical *ā of that stage (centrally *ā < *ē₁ via SC024). Northern West Germanic nasalization of stressed low vowels before a retained nasal is itself independently well supported (R/T §5.1.2 p.142; Campbell §119 p.44); what confidence B rates is CAPR's particular formulation *ā > *ą̄ before retained N in these forms, because identifying the input as *ā depends centrally on the disputed *ē₁ > *ā reconstruction. The rating does not transfer to SC104. Must precede SC004: displacing SC004 before this rule wrongly rounds stone/home (**stōn, **hōm). Identifier EAFLongANasalRounding kept as a stable implementation name; rename deferred to an isolated rename pass.		no
SC026	Northwest Germanic developments	Germanic/fsts/germanic.txt	define EAFNasalSpirantLengthening	define EAFNasalSpirantLengthening [ {*a} -> {*ã} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*i} -> {*ī} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*u} -> {*ū} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*á} -> {*ã} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*í} -> {*ī} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*ú} -> {*ū} || _ EnglishStarNasal EnglishStarNSGmcSpirant ];	North Sea Germanic Nasal-Spirant Law (lengthening step)	yes	2	goose, youth		adjudicated	first_break_complete	ADJUDICATED (sc026-sc027-nasal-spirant-adjudication.md): SC026+SC027 are ONE historical sound change — the North Sea Germanic (Ingvaeonic) nasal-spirant law — implemented as two ordered transducer operations, because the vowel must be read while the conditioning nasal is still present. Domain restricted to *mf/*nþ/*ns (Campbell §121 p.47; Fulk §4.11; Sievers-Brunner §186.1; R/T §5.1.1 pp.139-41). Nasal loss before *x split out as the pan-Germanic SC103 PGmcNasalLossBeforeX (Campbell §119 p.44; Fulk §4.1); fist therefore withdrawn as a witness. Input vowels narrowed to *a/*i/*u (Fulk §4.1: e and o do not occur here). Corpus outputs unchanged.		no
SC027	Northwest Germanic developments	Germanic/fsts/germanic.txt	define EAFNasalSpirantLoss	define EAFNasalSpirantLoss [ EnglishStarNasal -> 0 || _ EnglishStarNSGmcSpirant ];	North Sea Germanic Nasal-Spirant Law (nasal-loss step)	yes	2	goose, youth		adjudicated	first_break_complete	ADJUDICATED (sc026-sc027-nasal-spirant-adjudication.md): SC026+SC027 are ONE historical sound change — the North Sea Germanic (Ingvaeonic) nasal-spirant law — implemented as two ordered transducer operations, because the vowel must be read while the conditioning nasal is still present. Domain restricted to *mf/*nþ/*ns (Campbell §121 p.47; Fulk §4.11; Sievers-Brunner §186.1; R/T §5.1.1 pp.139-41). Nasal loss before *x split out as the pan-Germanic SC103 PGmcNasalLossBeforeX (Campbell §119 p.44; Fulk §4.1); fist therefore withdrawn as a witness. Input vowels narrowed to *a/*i/*u (Fulk §4.1: e and o do not occur here). Corpus outputs unchanged.		no
SC028	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcPreconsonantalXLoss	define PNWGmcPreconsonantalXLoss [ {*x} -> 0 || _ {*s} EnglishStarConsonant ];	NWGmc Preconsonantal X Loss	yes	1	fist		not_started	not_started			no
SC029	Old English	Germanic/fsts/germanic.txt	define OEAwjGlideFormation	define OEAwjGlideFormation [ {*á} {*w} {*w} {*j} -> {*áu} {*j}, {*a} {*w} {*w} {*j} -> {*au} {*j}, {*á} {*w} {*j} -> {*áu} {*j}, {*a} {*w} {*j} -> {*au} {*j} ];	OE Awj Glide Formation	yes	2	hay, strew		not_started	not_started			no
SC030	Old English	Germanic/fsts/germanic.txt	define OEAuFronting	define OEAuFronting [ {*au} -> {*aeu}, {*áu} -> {*áeu} ];	OE Au Fronting	yes	18	believe, bow, bread, dream, flea, hay, head, leaf, leek, lye, need, reek, seam, shove, stream, strew, team		not_started	not_started			no
SC031	Old English	Germanic/fsts/germanic.txt	define OEWWSimplification	define OEWWSimplification [ {*w} {*w} -> {*w} ];	OE WW Simplification	yes	5	chew, dew, four, hew, you		not_started	not_started			no
SC032	Old English	Germanic/fsts/germanic.txt	define OEDiphthongLeveling	define OEDiphthongLeveling [ {*aeu} -> {*ēa}, {*áeu} -> {*ēa}, {*eu} -> {*ēo}, {*éu} -> {*ēo}, {*iu} -> {*ēo}, {*íu} -> {*ēo}, {*e} {*u} -> {*eo}, {*é} {*u} -> {*éo}, {*i} {*u} -> {*eo} ];	OE Diphthong Leveling	yes	27	believe, bow, bread, breast, deer, dream, flea, flee, fly, forlorn, freeze, friend, hay, head, leaf, leek, light, lye, need, reek, seam, shove, stream, strew, team, thief		not_started	not_started			no
SC033	Old English	Germanic/fsts/germanic.txt	define OEEwLongDiphthong	define OEEwLongDiphthong [ {*e} {*w} -> {*ēo} {*w} || _ OEEwLongContext, {*i} {*w} -> {*ēo} {*w} || _ OEEwLongContext, {*é} {*w} -> {*ēo} {*w} || _ OEEwLongContext, {*í} {*w} -> {*ēo} {*w} || _ OEEwLongContext ];	OE Ew Long Diphthong	yes	4	chew, four, knee, you		not_started	not_started			no
SC034	Old English	Germanic/fsts/germanic.txt	define OEAwLongDiphthong	define OEAwLongDiphthong [ {*a} {*w} -> {*ēa} {*w} || _ [EnglishStarVocalic | {*ô}], {*á} {*w} -> {*ḗa} {*w} || _ [EnglishStarVocalic | {*ô}] ];	OE Aw Long Diphthong	yes	6	dew, hew, show, straw, show (iptv.2sg), show (3sg)		not_started	not_started			no
SC035	Old English	Germanic/fsts/germanic.txt	define OEPrefixAReduction	define OEPrefixAReduction [ {*a} -> {*ĕ} || .#. {*g} _ [EnglishStarConsonant | EnglishPalatalConsonant] EnglishStarVocalic ];	OE Prefix A Reduction Early	yes	1	believe		not_started	not_started	sandbox stage OEPrefixAReductionEarly applies OEPrefixAReduction; duplicate audit 01 removed the redundant late computational reapplication	Canonical inventory row; duplicate audit 01 confirmed the former late computational reapplication was redundant and removed.	no
SC036	Old English	Germanic/fsts/germanic.txt	define OEInterStressRaising	define OEInterStressRaising [ {*a} -> {*u} || PGmcStarVowel EnglishStarConsonant* _ [EnglishStarConsonant - {*j}]+ [{*u}|{*ū}], {*à} -> {*u} ];	OE Inter Stress Raising	yes	2	soul, world		not_started	not_started			no
SC037	Old English	Germanic/fsts/germanic.txt	define OECompoundLinkingSyncope	define OECompoundLinkingSyncope [ [{*a}|{*i}|{*u}] -> 0 || PGmcStarAcuteVowel OEAnyConsonant+ _ OEAnyConsonant+ PGmcStarGraveVowel ];	OE Compound Linking Syncope	yes	1	rainbow		not_started	not_started			no
SC038	Old English	Germanic/fsts/germanic.txt	define OEStripSecondaryStress	define OEStripSecondaryStress [ {*à} -> {*a}, {*è} -> {*e}, {*ì} -> {*i}, {*ò} -> {*o}, {*ù} -> {*u} ];	OE Strip Secondary Stress	yes	2	rainbow, thousand		not_started	not_started		Marker-stripping cleanup for secondary-stress graves; keep only as methodological appendix material.	no
SC039	Old English	Germanic/fsts/germanic.txt	define OEWICombinativeUUmlaut	define OEWICombinativeUUmlaut [ {*í} -> {*ú} || .#. {*w} _ EnglishStarConsonant [{*u} | {*o}] ];	OE WI Combinative U Umlaut	yes	1	widow		not_started	not_started			no
SC040	Old English	Germanic/fsts/germanic.txt	define OEMedUnstressedULowering	define OEMedUnstressedULowering [ {*u} -> {*o} || [EnglishStarVocalic - [{*u}|{*ū}|{*ú}]] [EnglishStarConsonant | EnglishPalatalConsonant]+ _ [[EnglishStarConsonant | EnglishPalatalConsonant] - {*m}] ];	OE Med Unstressed U Lowering	yes	11	hawk, head, heaven, milk, navel, nine, rainbow, seven, soul, ten, world		not_started	not_started			no
SC041	Old English	Germanic/fsts/germanic.txt	define PWGmcFinalBareALoss	define PWGmcFinalBareALoss [ {*a} -> 0 || _ .#. ];	PWGmc Final Bare A Loss	yes	67	beard, bosom, bottom, calf, comb, craft, crop, dale, day, dough, dream, eel, fern, finger, fish, fox, fright, gang, ghost, harm, hawk, hazel, hearth, hedge, helm, home, hood, hoof, hound, knight, leek, loath, lock, malt, mast, mood, nail, one, oven, raven, reek, coat, rudder, seam, shilling, snow, staff, stock, stone, stool, stork, storm, stream, summer, team, thane, thanks, thief, thorn, thunder, wain, wasp, way, whale, buck, fowl, wolf		not_started	not_started		PWGmc-labeled loss is implemented late in the OE pipeline; dossier work should explain the historical vs computational placement.	yes
SC042	Old English	Germanic/fsts/germanic.txt	define PWGmcSurvivingBimoricOUnrounding	define PWGmcSurvivingBimoricOUnrounding [ {*ō} -> {*ā} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#. ];	PWGmc Surviving Bimoric O Unrounding	yes	1	rest		not_started	not_started		PWGmc-labeled unrounding is implemented late in the OE pipeline; keep the sandbox order but flag the chronology mismatch.	yes
SC043	Old English	Germanic/fsts/germanic.txt	define EAFBrightening	define EAFBrightening [ EAFBrighteningUnstressed .o. EAFBrighteningStressed .o. EAFBrighteningLongFinal ];	Anglo Frisian Brightening	yes	90	bake, ban, bast, bath, beard, belly, berry, brand, calf, craft, dale, day, fall, fare, fast, father, fern, flask, flax, fold, four, gall, grass, grave, guest, hail, hall, hammer, harm, harvest, have, haw, hawk, hazel, hedge, hold, honey, lade, lap, laugh, make, malt, man, march, mast, might, nail, nave, navel, net, nettle, night, nightmare, raven, rest, sake, salt, salve, sap, set, shaft, slay, spar, spare, staff, stem, stretch, summer, swallow, swan, thatch, thistle, wade, wain, wake, warp, wart, wash, wasp, water, wax, whale, wield, withy, wold, yarn, make (iptv.2sg), make (3sg), tap		not_started	not_started		The current taxonomy has no separate Anglo-Frisian bucket, so this rule is provisionally filed under Old English for book planning.	yes
SC044	Old English	Germanic/fsts/germanic.txt	define OEBreaking	define OEBreaking OEBreakingA .o. OEBreakingE .o. OEBreakingI;	OE Breaking	yes	48	barrow, beard, belly, calf, earth, fall, fee, fern, fight, flax, fold, gall, hall, harm, harvest, heart, hearth, herd, hold, knight, laugh, learn, malt, march, meed, might, night, salt, salve, six, slay, smear, spar, starve, swallow, sword, ten, warp, wart, wax, wield, wight, wold, yarn, learn (iptv.2sg), learn (3sg)		not_started	not_started			no
SC045	Old English	Germanic/fsts/germanic.txt	define OEVelarFricativePalatalization	define OEVelarFricativePalatalization [ {*x} -> {*ç} || _ EnglishStarFrontVowel, {*ɣ} -> {*j} || _ EnglishStarFrontVowel, {*x} -> {*ç} || EnglishStarFrontVowel _, {*ɣ} -> {*j} || EnglishStarFrontVowel _, {*x} -> {*ç} || _ {*j}, {*ɣ} -> {*j} || _ {*j} ] .o. EnglishStarAlphabet*;	OE Velar Fricative Palatalization	yes	23	hail, hair, hall, harm, harvest, have, haw, hawk, hay, hazel, head, heart, hearth, heaven, hedge, helm, help, herd, hew, hind, hold, laugh		not_started	not_started			no
