# GENERATED FILE — DO NOT EDIT.
# Source: registry/reader_chapters.tsv + registry/reader_files.tsv (editorial) + registry/sc_registry.tsv + oe_pipeline (cascade positions)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# Version 1 book manifest: reader-facing files in presentation order.
# File order inside a chapter is DERIVED from the minimum executable
# cascade position of the SCs each file contains; never edit order here.
# The book builder (Germanic/tools/build_reader_book.py) consumes this
# manifest and contains no file list of its own.
reader_order	chapter_id	chapter_title	reader_file	sc_ids	min_cascade_position
40	4	From Anglo-Frisian to Old English	044-045-breaking-and-velar-fricative-palatalization.md	SC044;SC045	46
41	4	From Anglo-Frisian to Old English	046-048-restoration-and-nasal-tail-changes.md	SC046;SC047;SC048	48
42	4	From Anglo-Frisian to Old English	049-pgmc-b-allophony.md	SC049	51
43	4	From Anglo-Frisian to Old English	050-pwgmc-sievers-law-syncope.md	SC050	52
44	4	From Anglo-Frisian to Old English	051-sk-palatalization.md	SC051	53
45	4	From Anglo-Frisian to Old English	052-velar-palatalization.md	SC052	54
46	4	From Anglo-Frisian to Old English	053-054-pre-umlaut-bridge-and-w-loss.md	SC053;SC054	55
47	4	From Anglo-Frisian to Old English	055-056-i-umlaut-core.md	SC055;SC056	57
48	4	From Anglo-Frisian to Old English	057-j-cluster-coalescence.md	SC057	59
49	4	From Anglo-Frisian to Old English	059-oe-back-mutation.md	SC059	60
50	4	From Anglo-Frisian to Old English	060-ws-palatal-umlaut-note.md	SC060	61
51	4	From Anglo-Frisian to Old English	061-weak-tail-nasal-loss-note.md	SC061	62
52	4	From Anglo-Frisian to Old English	063-high-vowel-apocope.md	SC063	64
53	4	From Anglo-Frisian to Old English	064-065-post-apocope-tail.md	SC064;SC065	65
54	4	From Anglo-Frisian to Old English	066-068-syncope-and-degemination-corridor.md	SC066;SC067;SC068	67
55	4	From Anglo-Frisian to Old English	069-early-o-shortening-context-note.md	SC069	70
56	4	From Anglo-Frisian to Old English	070-071-early-unstressed-fronting-shortening-bridge.md	SC070;SC071;SC099;SC100	71
57	4	From Anglo-Frisian to Old English	072-073-unstressed-long-vowel-shortening-and-ae-merger-core.md	SC072;SC073	75
58	4	From Anglo-Frisian to Old English	074-075-medial-unstressed-i-lowering.md	SC074;SC075	77
59	4	From Anglo-Frisian to Old English	076-prefix-i-reduction.md	SC076	80
60	4	From Anglo-Frisian to Old English	078-weak-tail-reduction.md	SC078	81
61	4	From Anglo-Frisian to Old English	079-080-final-j-loss-and-final-geminate-simplification.md	SC079;SC080	82
62	4	From Anglo-Frisian to Old English	081-083-j-strengthening-vocalization-and-ei-contraction.md	SC081;SC082;SC083	84
63	4	From Anglo-Frisian to Old English	085-086-h-loss-and-contraction.md	SC085;SC086	88
64	4	From Anglo-Frisian to Old English	087-r-metathesis.md	SC087	90
65	5	Old English orthography and the written surface	016-west-saxon-palatal-glide.md	SC016	96
