# sc_inventory_notes.tsv — SOURCE (hand-edited).
#
# HUMAN JUDGEMENTS ONLY. Everything in this file is something a person
# decided: how to describe a change in plain words, how order-sensitive it
# is, which examples are worth showing a reader, what the literature says,
# and whether a human still needs to look at it.
#
# Mechanically derivable facts are NOT kept here and must never be added:
#   * the Foma definition text      -> Germanic/fsts/germanic.txt
#   * where a rule is written       -> tools/executable_facts.py
#   * source line numbers           -> computed for display, never stored
#   * executable order/position     -> cascade_baseline/executable_model.tsv
#   * whether/how often a rule fires-> cascade_baseline/rule_coverage_census.tsv
#   * the lexemes a rule fires on   -> the same census
# Copying any of those into this file makes a second authority that goes
# stale silently. tests/test_inventory_authority.py fails if one appears.
#
# illustrative_lexemes is EDITORIAL: examples a human chose because they
# explain the change well. It is NOT a claim about the current corpus. The
# complete live firing population is the generated firing_lexemes column of
# registry/sc_inventory_annotations.tsv.
#
# Joined with sc_registry.tsv, the executable model and the coverage census
# by tools/generate_registry_views.py. Keyed by change_id.
change_id	plain_description_draft	order_sensitivity_status	illustrative_lexemes	notes	review_note	needs_human_review
SC016	OE Ws Palatal Glide	not_started			REPAIRED (sc016-017-adjudication.md): moved to its historical OE/WS position after OldEnglishOrthography and reformulated as glide spelling of back vowels (o/ó/u/ú) after word-initial ġ (R/T p.5: geoc is /jok/, eo orthographic; Hogg CHEL I p.112; Brunner §92.1; Bülbring §§298-299; Campbell §44). SC017 now feeds SC016 (*juka > *joka > geoc). Absorbs the former SC093 OEGlideUToEO. Historical domain is broader (also a/ā/ō subcases in the handbooks), but the executable rule is intentionally complete only for currently selected corpus witnesses.	no
SC017	NWGmc U Lowering	not_started				no
SC018	NWGmc Stressed Monosyllable O Raising	not_started				no
SC019	NWGmc Final Long O Raising	not_started				no
SC020	PGmc Final Z Deletion	not_started		Narrowed 2026 (three-rule split, adjudication memo sc020-three-rule-adjudication.md): now the PWGmc loss of word-final *z in unstressed syllables only (R/T 2014 pp.44-45, 212; Crist 2002 §5). Clause (i) polysyllabic final *z; clause (ii) post-consonantal monosyllabic *z at corridor stage, reached only by contraction-created *fríundz (friend) whose lost syllable was unstressed when the change applied. Root-noun nominatives (book/flea/goose/louse) now fall under SC096; the later northern stressed-monosyllable loss is SC097 (unwitnessed). Identifier EAFFinalZDeletion retained pending global rename; hist stage corrected West Germanic -> Proto-West Germanic per Dossier B.	Historically a West Germanic loss of word-final *z in unstressed syllables (Crist2002 §5; Campbell p.166; Hogg p.37; Kilday2024) — NOT Proto-Germanic. Precedes rhotacism (Crist); implemented via scoping. One computational rule stands for the pan-WGmc core + later Ingvaeonic deletions; all-WGmc vs Ingvaeonic scope unresolved (B). Identifier EAFFinalZDeletion retained as stable impl name.	no
SC022	Common Germanic Mn Dissimilation	boundary_limited		Literal adjacent mn > βn. Fulk 2018 p.121 §6.11 and Polomé 1967 pp.818-819 support a late PGmc/Common-Germanic cluster change, not a securely PNWGmc innovation; PNWGmcMnDissimilation remains the stable Foma identifier only. The diagnostic corpus witness is stem (*stámniz > stefn); see the generated firing census for the current firing population. heaven is deeper comparative/paradigmatic evidence (ON himinn:hifni), NOT a direct row-level witness; SC022 does not fire in selected *xébun > heofon. No positive local ordering is established; the rule's executable placement is an editorial/computational holding-zone placement, not historical subgroup evidence.		no
SC023	Proto-Germanic Word-Final N Loss	first_break_complete		General (pre-)PGmc loss of word-final *-n with nasalization (Ringe 2017 pp.101-103; proof set includes verb *dedǭ and pronoun *þanǭ; Goth. tuggo shares the weak nom.sg. outcome). Executable {*ō}{*n}-only environment is a deliberate citation-form proxy: every firing is a weak-noun citation stem in *-ōn-, and PGmc *sebun/*nigun/*tehun/*hebun retained -un (numeral analogy, Ringe 2017 p.103) and must not be touched. do is a counterfeeding (negative) witness only: OE dōn retains secondary final -n created by SC047, so the loss predates the OE apocope; stage-entailed, not a tight local adjacency. PNWGmcNStemNLoss remains the stable Foma identifier only; the rule's executable placement is an editorial/computational holding zone. See sc023-adjudication.md.		no
SC024	NWGmc Long E1 Lowering	first_break_complete		Change A of the e1 complex (re-adjudication superseding the one-step proxy): early NWGmc stressed *ē₁ > *ā in ALL environments, nasal forms included (R/T print PNWGmc *mānō, *mānōþ-, *spānuz; vol.2 pp.11-12). Pan-NWGmc, Early Runic makija later 2nd c. AD (Grønvik 1998: 87 apud R/T p.12); R/T p.13 + n.3 restrict the law to stressed syllables — executable input is the stressed tier {*ḗ} only, so the five unstressed selected-input tokens (father, mother, sister, have, live) no longer fire here and take the §6.8.3 shortening path (R/T p.147 *fadēr > *fader). Reconstruction disputed: Fulk 2018 §4.6 (low-front *ǣ retained in Anglo-Frisian), Bennett 1950: 232-235 and Grønvik retention view, Campbell §§128-129 noncommittal — confidence B. It fires on oral roots (e.g. betray) and on sow, month, spoon; see the generated firing census for the current population. Its *ā output is consumed by SC025 (nasal) and SC101 (non-nasal). Composed inside EarlyEnglishLineChanges immediately after PNWGmcAToUBeforeM, ahead of every genuinely PWGmc innovation (early i-apocope, *ij contraction, j-gemination, syllabic *j, dental hardening), matching its early pan-NWGmc dating (Early Runic makija, later 2nd c. AD). See sc024-sc025-sc101-e1-complex-adjudication.md.		no
SC025	NSGmc Long A Nasalization	first_break_complete		ADJUDICATED (sc025-sc104-nasalized-low-vowel-adjudication.md): SPLIT. This rule now performs NASALIZATION only — inherited long *ā is nasalized before a retained nasal — and the rounding to *ō is the separate later Anglo-Frisian change SC104 EAFNasalizedLowRounding. Campbell §128 n.1 p.50 shows the intermediate was nasalized but NOT rounded, and that one later change rounded the nasalized vowel from §119, from §121 and from *ǣ alike. Scope north_sea_germanic is now correct for the nasalization specifically: Old Saxon nasalizes stressed low vowels (R/T §5.1.2 p.142) but does not share the categorical Anglo-Frisian rounding: it retains *ā consistently in the inherited PGmc nasalized-low-vowel class, while the Ingvaeonic class shows variable *ā/*ō by word and dialect (Campbell §119 p.44; Fulk §4.11 p.72). Input is the historical *ā of that stage (centrally *ā < *ē₁ via SC024). Northern West Germanic nasalization of stressed low vowels before a retained nasal is itself independently well supported (R/T §5.1.2 p.142; Campbell §119 p.44); what confidence B rates is CAPR's particular formulation *ā > *ą̄ before retained N in these forms, because identifying the input as *ā depends centrally on the disputed *ē₁ > *ā reconstruction. The rating does not transfer to SC104. Must precede SC004: displacing SC004 before this rule wrongly rounds stone/home (**stōn, **hōm). Identifier EAFLongANasalRounding kept as a stable implementation name; rename deferred to an isolated rename pass.		no
SC026	North Sea Germanic Nasal-Spirant Law (lengthening step)	first_break_complete		ADJUDICATED (sc026-sc027-nasal-spirant-adjudication.md): SC026+SC027 are ONE historical sound change — the North Sea Germanic (Ingvaeonic) nasal-spirant law — implemented as two ordered transducer operations, because the vowel must be read while the conditioning nasal is still present. Domain restricted to *mf/*nþ/*ns (Campbell §121 p.47; Fulk §4.11; Sievers-Brunner §186.1; R/T §5.1.1 pp.139-41). Nasal loss before *x split out as the pan-Germanic SC103 PGmcNasalLossBeforeX (Campbell §119 p.44; Fulk §4.1); fist therefore withdrawn as a witness. Input vowels narrowed to *a/*i/*u (Fulk §4.1: e and o do not occur here). Corpus outputs unchanged.		no
SC027	North Sea Germanic Nasal-Spirant Law (nasal-loss step)	first_break_complete		ADJUDICATED (sc026-sc027-nasal-spirant-adjudication.md): SC026+SC027 are ONE historical sound change — the North Sea Germanic (Ingvaeonic) nasal-spirant law — implemented as two ordered transducer operations, because the vowel must be read while the conditioning nasal is still present. Domain restricted to *mf/*nþ/*ns (Campbell §121 p.47; Fulk §4.11; Sievers-Brunner §186.1; R/T §5.1.1 pp.139-41). Nasal loss before *x split out as the pan-Germanic SC103 PGmcNasalLossBeforeX (Campbell §119 p.44; Fulk §4.1); fist therefore withdrawn as a witness. Input vowels narrowed to *a/*i/*u (Fulk §4.1: e and o do not occur here). Corpus outputs unchanged.		no
SC103	PGmc Nasal Loss before *x	stage_entailed		Split out of SC026/SC027: PGmc *-Nx- > long nasalized vowel + *x, pan-Germanic (Campbell §119 p.44; Fulk §4.1 p.55; Ringe vol.1 §3.2.7(ii) pp.149-150). Comparative test: the nasal is lost in ALL daughters (OHG fūst, fūht, brāhta; Go. þūhta), unlike the Ingvaeonic law, whose witnesses keep the nasal outside the North Sea area (OHG fimf, gans, ander, jugund). Feeds SC028 PNWGmcPreconsonantalXLoss by creating the *xst cluster of fist. Nasalized-low-vowel adjudication: the low-vowel branch now outputs nasalized long *ą̄ rather than *ō — the rounding is the later Anglo-Frisian SC104 — and the rule was moved ahead of the daughter-specific NWGmc and PWGmc innovations, output-equivalently, so that a pan-Germanic change no longer follows them. Low-vowel branch witness: `thought` PGmc *θánxtē (Ringe 2017 pp. 136, 281 *þankijaną, *þanhtē, *þanhtaz) > OE þōhte, the form Fulk §4.1 p.55 itself cites for Anglo-Frisian rounding of the nasalized vowel; added 2026 because the corpus previously exercised only the high-vowel branch, through `fist`. `thought` does not feed SC028, in which respect it differs from `fist`, so it isolates SC103 > SC104.		no
SC104	AF Nasalized Low Vowel Rounding	stage_entailed		NEW (sc025-sc104-nasalized-low-vowel-adjudication.md). One later Anglo-Frisian change rounding the long nasalized low vowel *ą̄ to *ō, with three independent feeding sources: SC103 (PGmc *aNx), SC026/SC027 (the North Sea Germanic nasal-spirant law) and SC025 (inherited long *ā before a retained nasal). Campbell §128 n.1 p.50 unifies them explicitly and shows the intermediate was unrounded (cf. samcucu, where very early shortening gives a, not o). Scope anglo_frisian: Old Saxon keeps ā invariably for the PGmc class and rounds only variably for the Ingvaeonic class (Campbell §119 p.44; Fulk §4.11 p.72). No explicit *ī̃ or *ū̃ is represented: they develop exactly like oral *ī and *ū (Campbell §121 p.47). Confidence A, independent of the disputed *ē₁ reconstruction feeding SC025.		no
SC028	NWGmc Preconsonantal X Loss	not_started				no
SC029	OE Awj Glide Formation	not_started				no
SC030	OE Au Fronting	not_started				no
SC031	OE WW Simplification	not_started				no
SC032	OE Diphthong Leveling	not_started				no
SC033	OE Ew Long Diphthong	not_started				no
SC034	OE Aw Long Diphthong	not_started				no
SC035	OE Prefix A Reduction Early	not_started		sandbox stage OEPrefixAReductionEarly applies OEPrefixAReduction; duplicate audit 01 removed the redundant late computational reapplication	Canonical inventory row; duplicate audit 01 confirmed the former late computational reapplication was redundant and removed.	no
SC036	OE Inter Stress Raising	not_started				no
SC037	OE Compound Linking Syncope	not_started				no
SC038	OE Strip Secondary Stress	not_started			Marker-stripping cleanup for secondary-stress graves; keep only as methodological appendix material.	no
SC039	OE WI Combinative U Umlaut	not_started				no
SC040	OE Med Unstressed U Lowering	not_started				no
SC041	PWGmc Final Bare A Loss	not_started			PWGmc-labeled loss is implemented late in the OE pipeline; dossier work should explain the historical vs computational placement.	yes
SC042	PWGmc Surviving Bimoric O Unrounding	not_started			PWGmc-labeled unrounding is implemented late in the OE pipeline; keep the sandbox order but flag the chronology mismatch.	yes
SC043	Anglo Frisian Brightening	not_started			The current taxonomy has no separate Anglo-Frisian bucket, so this rule is provisionally filed under Old English for book planning.	yes
SC044	OE Breaking	not_started				no
SC045	OE Velar Fricative Palatalization	not_started				no
SC046	OE A Restoration	not_started				no
SC047	OE Heavy Syllable Nasal Apocope	not_started				no
SC048	OE Secondary Nasalization	not_started				no
SC049	PGmc B Allophony	not_started			PGmc B Allophony is intentionally delayed in the live cascade, so the historical label and pipeline placement diverge.	yes
SC050	Sievers Law Syncope	not_started			Sievers Law Syncope is provisionally grouped with Proto-West Germanic developments even though the sandbox checkpoints it in the Old English section.	yes
SC051	OE Sk Palatalization	not_started				no
SC052	OE Velar Palatalization	not_started				no
SC053	OE Post Velar W Loss	not_started				no
SC054	OE W Loss Before I	not_started				no
SC055	OE I Umlaut	not_started				no
SC056	OE Ws Palatal Diphthongization	not_started				no
SC057	OE J Cluster Coalescence	not_started				no
SC059	OE Back Mutation	not_started				no
SC060	OE Ws Palatal Umlaut	not_started				no
SC061	OE Weak Tail Nasal Loss	not_started				no
SC062	OE Weight Markers	not_started			Identity marker stage used for weight-sensitive conditioning before apocope; appendix only.	no
SC063	OE High Vowel Apocope	not_started				no
SC064	NWGmc In Stem N Loss	not_started			NWGmc In Stem N Loss is applied after OEHighVowelApocope in the current cascade, so the historical label needs an explanatory note.	yes
SC065	OE Medial Syncope	not_started				no
SC066	OE L Adjacent Syncope	not_started				no
SC067	OE Dental Assimilation	not_started				no
SC068	OE Preconsonantal Degemination	not_started				no
SC069	OE Early O Shortening	not_started				no
SC070	OE Unstressed Fronting Early	not_started				no
SC071	OE Late O Shortening	not_started		Shortens unstressed *ō to *o, whose medial/final outcomes are SC099/SC100; see Stausland Johnsen 2015 pp.28-31 and sc021-adjudication.md.		no
SC072	OE Unstressed Long Vowel Shortening	not_started				no
SC073	OE Unstressed AE Merger	not_started				no
SC074	OE Med Unstressed I Lowering1	not_started				no
SC075	OE Med Unstressed I Lowering	not_started				no
SC076	OE Prefix I Reduction	not_started				no
SC078	OE Weak Tail Reduction	not_started				no
SC079	OE J Loss After Heavy	not_started				no
SC080	OE Final Geminate Simplification	not_started				no
SC081	OE J Strengthening After Front Diphthong	not_started				no
SC082	OE Intervocalic J Vocalization	not_started				no
SC083	OE Unstressed EI Contraction	not_started				no
SC084	OE Weight Cleanup	not_started			Identity cleanup checkpoint after weight-sensitive rules; methodological appendix only.	no
SC085	OE H Loss	not_started				no
SC086	OE Contraction	not_started				no
SC087	OE R Metathesis	not_started				no
SC088	OE Epenthetic Vowel	not_started				no
SC089	OE Late Unstressed Ag Suffix	not_started				no
SC090	OE Cj Cleanup	not_started			Post-cascade palatal-cluster cleanup before orthography; treat as appendix machinery, not a main sound change.	no
SC091	OE Xs Merge	not_started			Post-cascade surface merge feeding orthographic x; keep as appendix material rather than a reader-facing historical entry.	no
SC092	Old English Orthography	not_started			Orthography conversion from starred symbols to displayed Old English graphemes.	no
SC094	Old English Remove Stars	not_started		support stage rather than a reader-facing sound-change label in the compact trace	Prosodic/star stripping boundary between internal symbols and displayed forms.	no
SC095	Old English Surface	not_started		support stage rather than a reader-facing sound-change label in the compact trace	Final surface acceptor/filter, not a historical sound change rule.	no
SC096	Loss of the nominative-singular marker *-z after stem-final consonant in athematic (root-noun/consonant-stem) nominatives (*bōkz > *bōk, *gánsz > *gáns, *lūsz > *lūs, *fláuxz > *fláux); morphological/analogical elimination complete before Proto-West Germanic.	not_started		New rule 2026 from the SC020 three-rule split (Dossier A sc020-dossier-a-root-noun-nominative-z.md; adjudication memo). Primarily a morphological development (endingless nominative generalized in the consonant-stem paradigm); the Foma environment (monosyllabic -Cz#) is a proxy stated over the corpus domain. Composed at the head of EnglishProtoToOE, before PWGmcIjContraction, so contraction-created monosyllables (friend *fríundz) never reach it. Identifier RootNounNomZLoss is a working placeholder pending global rename. Scope: WGmc absolute; NGmc conditional (see dossier).		no
SC097	Later northern West Germanic loss of word-final *-z in stressed monosyllables, with compensatory lengthening of a short nucleus (*maiz > OE mā, *hwaz > hwā, *kūz > cū); OHG instead rhotacizes (ir, wir, mēr). Corpus witness: who (*xwaz > OE hwa).	not_started		New rule 2026 from the SC020 three-rule split (Dossier C sc020-dossier-c-northern-monosyllable-final-z.md; adjudication memo). Genuine historical change (R/T 2014 pp.86-87; Fulk 2018; Crist 2002) now corpus-witnessed by who (*xwaz > OE hwa; corpus-maturation pass 2026) in addition to the synthetic unit examples. Must stay after the SC018/SC019 o-raisers (premature z-loss would expose English-doculect *-oz forms to raising). Identifier MonosyllabicFinalZLoss is a working placeholder pending global rename. Conditioning (quality-neutral vs front-vowel) analysis-dependent, see Dossier C §3.		no
SC098	Proto-West Germanic apocope of word-final short high vowels after heavy syllables in unstressed words (*iwwi > *iww beside stressed *iuwi); OE eow continues the unstressed sentence variant, as its lack of i-umlaut proves.	not_started		New rule 2026 (corpus-maturation pass; dossier sc098-dossier-unstressed-word-final-i-apocope.md). Exceptionless prosodically conditioned law (R/T 2014: 57-58); apparent exceptions are proclitics outside the environment (R/T's own account). Licenses PWGmc *iuwi ~ *iuw (R/T 2014: 41-42). Fed by SC020 (z-loss makes *-i final); bleeds SC055 i-umlaut (dating evidence). Proxy environment over the SC008 geminate *ww domain, exactly coextensive with the law's unstressed-word corpus domain (cf. SC096 proxy convention). Composed after EAFFinalZDeletion, before MonosyllabicFinalZLoss.		no
SC099	OE Medial Unstressed O Raising	not_started		Shortened unstressed *o (< original PWGmc *ō) > u in medial syllables. Directly demonstrated for West Saxon ō-verb pasts only: Stausland Johnsen 2015 pp.28-31, 36; witness *wúndōdē > wundude. Does not assert inherited short-*o raising or extend to Northumbrian nominal relics; see sc021-adjudication.md.		no
SC100	OE Final Unstressed O Lowering	not_started		Final outcome of shortened unstressed *o (< original *ō), paired with SC099. Stausland Johnsen 2015 pp.28-31 supports the medial/final contrast; the corpus witnesses are final-syllable controls.		no
SC101	EAF Long A Fronting	first_break_complete		Change B of the e1 complex (new identity from the SC024 split): much later northern-WGmc fronting of non-nasalized stressed *ā > WS ǣ, Angl./Kent./OFris ē, sporadic OS e (R/T §5.1.2 pp.149-150). Consumes *ā < *ē₁ (SC024). The historically established *w conditioning is now encoded: fronting is blocked before *w (verba pura sāwan, cnāwan, blāwan, māwan; R/T p.151, with Hogg 1992: 81 — the simplest hypothesis is that fronting never occurred there) unless the *w is followed by high-front *i/*ī/*j, where fronting applies (*lāwijan- > lǣwan, eltǣwe, brǣw; R/T p.150). Corpus witnesses: sow (blocked, fed by SC102) vs betray (fronted at the SC101 boundary itself, not by later i-umlaut). Stated before SC004: fronting was well under way before *ai > ā completed (Campbell §132; R/T pp.169-170) — displacement after SC004 yields **lǣþ, **rǣp, **tǣcn, **sǣwol, **ġēast; displacement after SC056 yields **sċǣp, **ġǣr. See sc024-sc025-sc101-e1-complex-adjudication.md.		no
SC102	EAF Hiatus W Insertion	first_break_complete		New identity from the sow/laewan follow-up to the e1-complex adjudication: pre-OE/Anglo-Frisian hiatus-filling *w in the vowel-final strong-verb roots (verba pura), *sāan- (< *sēaną by SC024) > *sāwan- (R/T vol.2 p.12, p.151, citing Þórhallsdóttir 1993: 82-137, known here only through R/T). Regular first before the *u-initial endings (pres.ind.1sg *-u, past ind.pl. *-un), analogically generalized through the paradigm; the executable rule is a provisional paradigm-level implementation of that outcome on citation forms ({*ā} _ V). Confidence B on its own grounds, not from the Fulk/*ē₁ dispute governing SC024/SC025/SC101: the broad innovation is supported by the scholarship consulted, but the phonological-versus-analogical architecture awaits direct adjudication from the specialist source (memo §13.4). Anglo-Frisian scope: OFris did the same (grōwinge), but OS/OHG repaired the hiatus with *j (sāian, sāen), so this is not common WGmc. Must precede SC101 — the inserted *w is what blocks fronting in sāwan (R/T p.151: early enough to prevent fronting of *ā in pre-OE); must follow PWGmc intervocalic *w-loss (R/T p.151 n.9, §3.1.5).		no
