sc_id	fst_identifier	implemented_transformation	current_reader_name	current_book_chapter	current_hist_stage	current_hist_scope	current_confidence	staging_chronology_problem	reader_facing_file	change_report_full	change_report_review	literature_dossier	book_dossier	chronology_card
SC013	PWGmcDentalHardening	define PWGmcDentalHardening [ {*ð} -> {*d} ];	PWGmc Dental Hardening	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/013-dental-hardening.md	Germanic/docs/sound_changes/change_reports/full/013-pwgmc-dental-hardening.md		Germanic/docs/sound_changes/literature_dossiers/013-pwgmc-dental-hardening.dossier.md	Germanic/docs/sound_changes/book_dossiers/013-pwgmc-dental-hardening.book-dossier.md	
SC014	NWGmcUnstressedAiMonophthongization	define NWGmcUnstressedAiMonophthongization [ {*ăi} -> {*ē} ];	NWGmc Unstressed Ai Monophthongization	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/014-015-opening-vowel-prelude.md	Germanic/docs/sound_changes/change_reports/full/014-015-opening-vowel-prelude.md		Germanic/docs/sound_changes/literature_dossiers/014-015-opening-vowel-prelude.dossier.md	Germanic/docs/sound_changes/book_dossiers/014-015-opening-vowel-prelude.book-dossier.md	
SC015	NWGmcILowering	define NWGmcILowering [ {*i} -> {*e} || .#. EnglishStarNonVelarConsonant* _ EnglishStarCoronal+ EnglishStarNonHighVowel, # Stressed variant (stress preserved): {*í} -> {*é} || .#. EnglishStarNonVelarConsonant* _ EnglishStarCoronal+ EnglishStarNonHighVowel ];	NWGmc I Lowering	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/014-015-opening-vowel-prelude.md	Germanic/docs/sound_changes/change_reports/full/014-015-opening-vowel-prelude.md		Germanic/docs/sound_changes/literature_dossiers/014-015-opening-vowel-prelude.dossier.md	Germanic/docs/sound_changes/book_dossiers/014-015-opening-vowel-prelude.book-dossier.md	
SC016	OEWsPalatalGlide	define OEWsPalatalGlide [ # WS palatal glide insertion: insert *e between initial palatal and *u # Creates *eo (later eo) — Campbell §§171-172: geoc 'yoke', geoguþ 'youth' # Cannot use epenthesis (0 ->) with multichar symbols; use direct replacement. {*j} {*u} -> {*j} {*e} {*u} || .#. _, {*j} {*ú} -> {*j} {*é} {*u} || .#. _ ] .o. [ {*ʤ} {*u} -> {*ʤ} {*e} {*u} || .#. _, {*ʤ} {*ú} -> {*ʤ} {*é} {*u} || .#. _ ] .o. [ {*ʧ} {*u} -> {*ʧ} {*e} {*u} || .#. _, {*ʧ} {*ú} -> {*ʧ} {*é} {*u} || .#. _ ] .o. [ {*ʃ} {*u} -> {*ʃ} {*e} {*u} || .#. _, {*ʃ} {*ú} -> {*ʃ} {*é} {*u} || .#. _ ];	OE Ws Palatal Glide	4	oe_ws	west_saxon	B	Cascade positions SC016 in NWGmc block (pos 16) but it is a WS OE change; split from 016-017 file resolves chapter assignment; computational cascade position diverges from historical chapter	Germanic/docs/sound_changes/reader_facing/016-west-saxon-palatal-glide.md			Germanic/docs/sound_changes/literature_dossiers/016-017-palatal-glide-u-lowering.pair-report.md; Germanic/docs/sound_changes/literature_dossiers/016-019-early-vocalic-corridor.report.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md; Germanic/docs/sound_changes/literature_dossiers/016-oe-ws-palatal-glide.dossier.md	Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier-report.md; Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier.md	
SC017	NWGmcULowering	define NWGmcULowering [ {*u} -> {*o} || .#. EnglishStarConsonant* _ [EnglishStarConsonantNoJ - EnglishStarNasal] EnglishStarConsonantNoJ* EnglishStarNonHighVowel, # Stressed variant (stress preserved): {*ú} -> {*ó} || .#. EnglishStarConsonant* _ [EnglishStarConsonantNoJ - EnglishStarNasal] EnglishStarConsonantNoJ* EnglishStarNonHighVowel ];	NWGmc U Lowering	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/017-nwgmc-u-lowering.md			Germanic/docs/sound_changes/literature_dossiers/016-017-palatal-glide-u-lowering.pair-report.md; Germanic/docs/sound_changes/literature_dossiers/016-019-early-vocalic-corridor.report.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md; Germanic/docs/sound_changes/literature_dossiers/017-nwgmc-u-lowering.dossier.md	Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier-report.md; Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier.md	
SC018	NWGmcStressedMonosyllableORaising	define NWGmcStressedMonosyllableORaising [ {*ō} -> {*ū} || .#. [EnglishStarConsonant | EnglishPalatalConsonant]* _ .#. ];	NWGmc Stressed Monosyllable O Raising	2	nwgmc	pan_nwgmc	B	Existing dossier: boundary-limited both sides; no positive local chronology established yet; stage is NWGmc but thin evidential basis	Germanic/docs/sound_changes/reader_facing/018-stressed-monosyllable-o-raising.md	Germanic/docs/sound_changes/change_reports/full/018-stressed-monosyllable-o-raising-note.md		Germanic/docs/sound_changes/literature_dossiers/016-019-early-vocalic-corridor.report.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md; Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier-report.md; Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier.md; Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC019	NWGmcFinalLongORaising	define NWGmcFinalLongORaising [ {*ō} -> {*u} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#. ];	NWGmc Final Long O Raising	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/019-nwgmc-final-long-o-raising.md			Germanic/docs/sound_changes/literature_dossiers/016-019-early-vocalic-corridor.report.md; Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md; Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md; Germanic/docs/sound_changes/literature_dossiers/019-nwgmc-final-long-o-raising.dossier.md	Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier-report.md; Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier.md; Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC020	PGmcFinalZDeletion	define PGmcFinalZDeletion [{*z} -> 0 || _ .#.];	PGmc Final Z Deletion	3	wgmc	pan_wgmc	B	Internal rule name PGmcFinalZDeletion is historically inaccurate; historically pan-WGmc per Crist, Hogg; exact scope (all WGmc vs Ingvaeonic) and relation to SC003 rhotacism require targeted audit; provisional Ch3 placement	Germanic/docs/sound_changes/reader_facing/020-wgmc-final-z-deletion.md			Germanic/docs/sound_changes/literature_dossiers/016-020-early-vocalic-final-corridor.architecture.md; Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md; Germanic/docs/sound_changes/literature_dossiers/020-pgmc-final-z-deletion.dossier.md	Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier-report.md; Germanic/docs/sound_changes/book_dossiers/016-020-early-vocalic-final-corridor.book-dossier.md; Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC021	NWGmcUnstressedORaising	define NWGmcUnstressedORaising [ {*o} -> {*u} || EnglishStarVocalic EnglishStarConsonant+ _ EnglishStarConsonant* {*ų} ];	NWGmc Unstressed O Raising	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/021-unstressed-o-raising.md	Germanic/docs/sound_changes/change_reports/full/021-unstressed-o-raising-note.md		Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC022	NWGmcMnDissimilation	define NWGmcMnDissimilation [ {*m} -> {*β} || EnglishStarVocalic _ EnglishStarVocalic EnglishStarConsonant* EnglishStarNasal ];	NWGmc Mn Dissimilation	2	nwgmc	pan_nwgmc	B	Existing dossier: boundary-limited both sides in SC018-SC025 zone	Germanic/docs/sound_changes/reader_facing/022-mn-dissimilation.md	Germanic/docs/sound_changes/change_reports/full/022-mn-dissimilation-note.md		Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC023	NWGmcNStemNLoss	define NWGmcNStemNLoss [ {*ō} {*n} -> {*ǭ} || _ .#. ];	NWGmc N Stem N Loss	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/023-n-stem-n-loss.md	Germanic/docs/sound_changes/change_reports/full/023-n-stem-n-loss-note.md		Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC024	NWGmcLongELowering	define NWGmcLongELowering [ {*ē} -> {*ǣ} || _ [EnglishStarConsonant - EnglishStarNasal], # §17.46: stressed long *ḗ undergoes the same lowering. Stress is dropped # on output since we are not plumbing *ǣ́ this branch (no downstream rule # consumes stress on long *ǣ). {*ḗ} -> {*ǣ} || _ [EnglishStarConsonant - EnglishStarNasal] ];	NWGmc Long E Lowering	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/024-long-e-lowering.md	Germanic/docs/sound_changes/change_reports/full/024-long-e-lowering-note.md		Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC025	NWGmcLongENasalRounding	define NWGmcLongENasalRounding [ {*ē} -> {*ō} || _ EnglishStarNasal, # §17.46: stressed long *ḗ rounds before nasals identically. Stress is # dropped on output (no *ṓ this branch). {*ḗ} -> {*ō} || _ EnglishStarNasal ];	NWGmc Long E Nasal Rounding	2	nwgmc	pan_nwgmc	B	Existing dossier: boundary-limited both sides in SC018-SC025 zone	Germanic/docs/sound_changes/reader_facing/025-long-e-nasal-rounding.md	Germanic/docs/sound_changes/change_reports/full/025-long-e-nasal-rounding-note.md		Germanic/docs/sound_changes/literature_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.review-dossier.md	Germanic/docs/sound_changes/book_dossiers/018-025-early-nwgmc-unstressed-and-boundary-limited-zone.book-dossier.md	
SC026	NWGmcNasalSpirantLengthening	define NWGmcNasalSpirantLengthening [ {*a} -> {*ō} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*e} -> {*ē} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*i} -> {*ī} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*o} -> {*ō} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*u} -> {*ū} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*æ} -> {*ē} || _ EnglishStarNasal EnglishStarVoicelessFricative, # Stressed variants: # *á → *ō: stress absorbed into length (no *ṓ this branch). # *é → *ḗ: stress preserved on long-vowel tier per §17.46. {*á} -> {*ō} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*é} -> {*ḗ} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*í} -> {*ī} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*ó} -> {*ō} || _ EnglishStarNasal EnglishStarVoicelessFricative, {*ú} -> {*ū} || _ EnglishStarNasal EnglishStarVoicelessFricative ];	NWGmc Nasal Spirant Lengthening	2	ingvaeonic	north_sea_germanic	B	Existing book dossier explicitly states: 'The historical stage label is not perfectly settled: CAPR files the pair as NWGmc, while the handbooks often speak more broadly of North Sea Germanic or Ingvaeonic.' Campbell uses Ingvaeonic; Hogg uses Inguaeonic; Ringe-Taylor use northern West Germanic	Germanic/docs/sound_changes/reader_facing/026-027-nasal-spirant-changes.md	Germanic/docs/sound_changes/change_reports/full/026-027-nasal-spirant-corridor.md		Germanic/docs/sound_changes/literature_dossiers/026-027-nasal-spirant-corridor.dossier.md	Germanic/docs/sound_changes/book_dossiers/026-027-nasal-spirant-corridor.book-dossier.md	
SC027	NWGmcNasalSpirantLoss	define NWGmcNasalSpirantLoss [ EnglishStarNasal -> 0 || _ EnglishStarVoicelessFricative ];	NWGmc Nasal Spirant Loss	2	ingvaeonic	north_sea_germanic	B	Same as SC026: handbook stage is Ingvaeonic/North Sea Germanic, not NWGmc per se; CAPR dossier explicitly acknowledges the uncertainty	Germanic/docs/sound_changes/reader_facing/026-027-nasal-spirant-changes.md	Germanic/docs/sound_changes/change_reports/full/026-027-nasal-spirant-corridor.md		Germanic/docs/sound_changes/literature_dossiers/026-027-nasal-spirant-corridor.dossier.md	Germanic/docs/sound_changes/book_dossiers/026-027-nasal-spirant-corridor.book-dossier.md	
SC028	NWGmcPreconsonantalXLoss	define NWGmcPreconsonantalXLoss [ {*x} -> 0 || _ {*s} EnglishStarConsonant ];	NWGmc Preconsonantal X Loss	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/028-preconsonantal-x-loss.md	Germanic/docs/sound_changes/change_reports/full/028-preconsonantal-x-loss-note.md		Germanic/docs/sound_changes/literature_dossiers/028-030-glide-and-fronting-entry.dossier.md	Germanic/docs/sound_changes/book_dossiers/028-030-glide-and-fronting-entry.book-dossier.md	
SC041	PWGmcFinalBareALoss	define PWGmcFinalBareALoss [ {*a} -> 0 || _ .#. ];	PWGmc Final Bare A Loss	2	pwgmc	pan_wgmc	B	Labeled PWGmc but applied at cascade position 41 (after OE changes); historical stage is early but cascade placement is late for computational reasons	Germanic/docs/sound_changes/reader_facing/041-final-bare-a-loss.md	Germanic/docs/sound_changes/change_reports/full/041-final-bare-a-loss-note.md		Germanic/docs/sound_changes/literature_dossiers/039-041-medial-lowering-and-final-loss-bridge.dossier.md	Germanic/docs/sound_changes/book_dossiers/039-041-medial-lowering-and-final-loss-bridge.book-dossier.md	
SC042	PWGmcSurvivingBimoricOUnrounding	define PWGmcSurvivingBimoricOUnrounding [ {*ō} -> {*ā} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#. ];	PWGmc Surviving Bimoric O Unrounding	2	pwgmc	pan_wgmc	B	Labeled PWGmc but applied late in cascade; same issue as SC041	Germanic/docs/sound_changes/reader_facing/042-surviving-bimoric-o-unrounding.md	Germanic/docs/sound_changes/change_reports/full/042-surviving-bimoric-o-unrounding-context.md		Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md	Germanic/docs/sound_changes/book_dossiers/042-048-post-brightening-region.book-dossier.md	
SC049	PGmcBAllophony	define PGmcBAllophony [ {*b} -> {*β} || PGmcStarVocalic _, {*b} -> {*β} || [{*l} | {*r}] _ ] .o. [ {*β} -> {*b} || _ {*b} ];	PGmc B Allophony	1	pgmc	pan_germanic	A	Historically PGmc but placed late in cascade (pos 49) for computational reasons; cascade position diverges from historical stage; now in Chapter 1 reader-facing	Germanic/docs/sound_changes/reader_facing/049-pgmc-b-allophony.md	Germanic/docs/sound_changes/change_reports/full/049-050-onset-allophony-and-sievers-law-bridge.md	Germanic/docs/sound_changes/change_reports/049-052-palatalization-fronting-split-review.md	Germanic/docs/sound_changes/literature_dossiers/049-050-onset-allophony-and-sievers-law-bridge.dossier.md	Germanic/docs/sound_changes/book_dossiers/049-050-onset-allophony-and-sievers-law-bridge.book-dossier.md	
SC050	SieversLawSyncope	define SieversLawSyncope [ {*i} -> 0 || [EnglishStarConsonant | EnglishPalatalConsonant] _ {*j} ];	Sievers Law Syncope	2	pwgmc	pan_wgmc	B	Provisionally PWGmc but cascade-checkpointed in OE section; book entry plan notes this	Germanic/docs/sound_changes/reader_facing/050-pwgmc-sievers-law-syncope.md	Germanic/docs/sound_changes/change_reports/full/049-050-onset-allophony-and-sievers-law-bridge.md	Germanic/docs/sound_changes/change_reports/049-052-palatalization-fronting-split-review.md	Germanic/docs/sound_changes/literature_dossiers/049-050-onset-allophony-and-sievers-law-bridge.dossier.md	Germanic/docs/sound_changes/book_dossiers/049-050-onset-allophony-and-sievers-law-bridge.book-dossier.md	
SC064	NWGmcInStemNLoss	define NWGmcInStemNLoss [{*n} -> 0 || {*ī} _ .#.];	NWGmc In Stem N Loss	4	nwgmc	pan_nwgmc	C	NWGmc label but applied after OE High Vowel Apocope (SC063); historical classification unclear; not split from 064-065 per existing dossier (not yet resolved)	Germanic/docs/sound_changes/reader_facing/064-065-post-apocope-tail.md	Germanic/docs/sound_changes/change_reports/full/064-065-post-apocope-tail.md	Germanic/docs/sound_changes/change_reports/064-065-post-apocope-tail-structural-review.md	Germanic/docs/sound_changes/literature_dossiers/064-065-post-apocope-tail.dossier.md	Germanic/docs/sound_changes/book_dossiers/064-065-post-apocope-tail.book-dossier.md	
