# rule_coverage_census.tsv
# Machine-readable corpus-coverage census for the historical sound changes.
# Generated by Germanic/tools/rule_coverage_census.py from the committed full
# trace report; regenerate after any corpus or cascade change.
# Invariant: every historical rule's coverage status is explicit and
# understood. "Every rule must fire" is deliberately NOT an invariant.
sc_id	foma_identifier	cascade_position	corpus_firing_count	lexical_witnesses	coverage_status	note
SC020	EAFFinalZDeletion	16	111	beard, beaver, belly, birth, bosom, bottom, bough, breeches, bride, calf, comb, craft, crop, cud, dale, day, deal, deed, dill, dough, dream, drench, eel, fern, field, finger, fish, fist, flesh, flood, fox, friend, fright, gang, ghost, gift, ground, guest, hand, harm, harvest, hawk, hazel, hearth, heath, hedge, helm, home, hood, hoof, hound, knight, leek, loath, lock, lust, malt, mast, might, milk, month, mood, nail, need, one, oven, raven, reek, rest, coat, rudder, rye, sea, seam, sheath, shield, shilling, shoulder, snow, spoon, staff, stem, stock, stone, stool, stork, storm, stream, string, summer, team, thane, thanks, thief, thirst, thorn, three, thunder, tide, wain, wasp, way, whale, wight, winter, wold, worm, you, buck, fowl, wolf	witnessed	
SC098	PWGmcUnstressedWordFinalIApocope	17	1	you	witnessed	
SC097	MonosyllabicFinalZLoss	18	1	who	witnessed	
SC003	EAFRhotacism	19	7	berry, deer, hoard, learn, meed, learn (iptv.2sg), learn (3sg)	witnessed	
SC022	PNWGmcMnDissimilation	20	1	stem	witnessed	
SC023	PNWGmcNStemNLoss	21	17	adder, earth, flask, heart, line, list, nettle, nightmare, side, sun, swallow, toe, tongue, wart, weasel, whore, widow	witnessed	
SC024	PNWGmcLongELowering	22	18	adder, bier, deed, eel, father, hair, have, let, live, meal, mother, needle, read, sheep, sister, sleep, weapon, year	witnessed	
SC025	PNWGmcLongENasalRounding	23	2	month, spoon	witnessed	
SC026	EAFNasalSpirantLengthening	24	3	fist, goose, youth	witnessed	
SC027	EAFNasalSpirantLoss	25	3	fist, goose, youth	witnessed	
SC028	PNWGmcPreconsonantalXLoss	26	1	fist	witnessed	
SC004	EAFAiMonophthongization	27	23	bone, deal, dough, flesh, ghost, heal, heath, home, last, lead, loam, loath, mean, one, rope, sea, sheath, snow, soul, spread, stone, toe, token	witnessed	
SC029	OEAwjGlideFormation	28	2	hay, strew	witnessed	
SC030	OEAuFronting	29	18	believe, bow, bread, dream, flea, hay, head, leaf, leek, lye, need, reek, seam, shove, stream, strew, team	witnessed	
SC033	OEEwLongDiphthong	30	4	chew, four, knee, you	witnessed	
SC031	OEWWSimplification	31	5	chew, dew, four, hew, you	witnessed	
SC032	OEDiphthongLeveling	32	27	believe, bow, bread, breast, deer, dream, flea, flee, fly, forlorn, freeze, friend, hay, head, leaf, leek, light, lye, need, reek, seam, shove, stream, strew, team, thief	witnessed	
SC034	OEAwLongDiphthong	33	6	dew, hew, show, straw, show (iptv.2sg), show (3sg)	witnessed	
SC035	OEPrefixAReduction	34	1	believe	witnessed	
SC036	OEInterStressRaising	35	2	soul, world	witnessed	
SC037	OECompoundLinkingSyncope	36	1	rainbow	witnessed	
SC039	OEWICombinativeUUmlaut	38	1	widow	witnessed	
SC041	PWGmcFinalBareALoss	39	67	beard, bosom, bottom, calf, comb, craft, crop, dale, day, dough, dream, eel, fern, finger, fish, fox, fright, gang, ghost, harm, hawk, hazel, hearth, hedge, helm, home, hood, hoof, hound, knight, leek, loath, lock, malt, mast, mood, nail, one, oven, raven, reek, coat, rudder, seam, shilling, snow, staff, stock, stone, stool, stork, storm, stream, summer, team, thane, thanks, thief, thorn, thunder, wain, wasp, way, whale, buck, fowl, wolf	witnessed	
SC042	PWGmcSurvivingBimoricOUnrounding	40	1	rest	witnessed	
SC043	EAFBrightening	41	90	bake, ban, bast, bath, beard, belly, berry, brand, calf, craft, dale, day, fall, fare, fast, father, fern, flask, flax, fold, four, gall, grass, grave, guest, hail, hall, hammer, harm, harvest, have, haw, hawk, hazel, hedge, hold, honey, lade, lap, laugh, make, malt, man, march, mast, might, nail, nave, navel, net, nettle, night, nightmare, raven, rest, sake, salt, salve, sap, set, shaft, slay, spar, spare, staff, stem, stretch, summer, swallow, swan, thatch, thistle, wade, wain, wake, warp, wart, wash, wasp, water, wax, whale, wield, withy, wold, yarn, make (iptv.2sg), make (3sg), tap	witnessed	
SC044	OEBreaking	42	48	barrow, beard, belly, calf, earth, fall, fee, fern, fight, flax, fold, gall, hall, harm, harvest, heart, hearth, herd, hold, knight, laugh, learn, malt, march, meed, might, night, salt, salve, six, slay, smear, spar, starve, swallow, sword, ten, warp, wart, wax, wield, wight, wold, yarn, learn (iptv.2sg), learn (3sg)	witnessed	
SC045	OEVelarFricativePalatalization	43	23	hail, hair, hall, harm, harvest, have, haw, hawk, hay, hazel, head, heart, hearth, heaven, hedge, helm, help, herd, hew, hind, hold, laugh	witnessed	
SC046	OEARestoration	44	20	bake, fare, flask, grave, haw, hawk, lade, lap, make, nave, navel, nightmare, sake, spare, wade, wake, wash, make (iptv.2sg), make (3sg), tap	witnessed	
SC047	OEHeavySyllableNasalApocope	45	158	bake, barrow, bast, bath, begin, believe, bind, blood, board, bone, bore, bow, bower, bread, break, breast, bring, brook, burst, chew, climb, corn, deer, do, door, drink, drive, eat, fall, fare, fast, fell, fight, flax, flee, fly, fodder, fold, folk, follow, forlorn, freeze, frost, give, god, gold, grass, grave, gripe, hail, hair, handle, hay, head, heal, help, hew, hoard, hold, honey, horn, knead, knee, lade, land, last, laugh, lead, leaf, learn, leather, let, lick, lid, life, light, lime, loam, lock, make, meal, mean, nest, net, rain, read, ride, room, rope, run, sail, salt, sap, seek, send, set, shaft, shear, sheep, shine, show, sing, singe, sit, slay, sleep, slime, smear, span, spare, spin, spread, start, starve, steal, still, straw, stretch, strew, stud, sunder, sup, swell, swim, swine, sword, thatch, thing, think, thrash, timber, token, town, tread, trough, wade, wake, warp, wash, wax, weapon, weather, weave, wether, whine, wield, wife, will, wind, withy, wonder, word, wring, yarn, year, yoke	witnessed	
SC048	OESecondaryNasalization	46	87	bake, begin, believe, bind, bore, bow, break, bring, brook, burst, chew, climb, drink, drive, eat, fall, fare, fast, fight, flee, fly, fold, follow, forlorn, freeze, give, grave, gripe, handle, heal, help, hew, hold, knead, lade, last, laugh, lead, learn, let, lick, light, make, mean, read, ride, run, seek, send, set, shear, shine, show, sing, singe, sit, slay, sleep, smear, span, spare, spin, spread, start, starve, steal, still, stretch, strew, sunder, sup, swell, swim, think, thrash, tread, wade, wake, warp, wash, wax, weave, whine, wield, will, wind, wring	witnessed	
SC049	PGmcBAllophony	47	28	beaver, believe, calf, drive, give, grave, harvest, have, hawk, head, heaven, leaf, life, live, liver, nave, navel, raven, salve, seven, shove, sieve, staff, starve, thief, wasp, weave, wife	witnessed	
SC050	SieversLawSyncope	48	18	believe, bow, fast, follow, heal, last, lead, light, mean, seek, send, singe, smear, spread, start, still, stretch, think	witnessed	
SC051	OESkPalatalization	49	18	fish, flesh, shaft, shame, shear, sheath, sheep, shield, shilling, shine, shoulder, shove, shovel, show, shower, thrash, show (iptv.2sg), show (3sg)	witnessed	
SC052	OEVelarPalatalization	50	32	begin, believe, belly, bow, breeches, calf, chew, day, drench, follow, gall, gift, give, guest, hail, hedge, honey, nail, rain, rainbow, rye, sail, seek, singe, stretch, string, thane, think, wain, way, withy, yarn	witnessed	
SC053	OEPostVelarWLoss	51	1	sing	witnessed	
SC054	OEWLossBeforeI	52	1	sea	witnessed	
SC055	OEIUmlaut	53	67	believe, belly, berry, birth, bore, bow, breeches, bride, cow, deal, dill, drench, fast, fist, flesh, follow, fright, gift, guest, handle, harvest, hay, heal, heath, hedge, hind, last, laugh, lead, learn, lick, light, lung, make, mean, might, need, net, nettle, night, rye, sea, seek, send, set, sheath, show, singe, sit, smear, spare, spindle, spread, start, stem, still, stretch, strew, string, sunder, think, three, wight, will, worm, fire	witnessed	
SC056	OEWsPalatalDiphthongization	54	8	give, guest, shaft, shear, sheath, sheep, shield, year	witnessed	
SC057	OEJClusterCoalescence	55	0		synthetic_only	Zero corpus firings; validated by synthetic unit controls and the handbook sources.
SC059	OEBackMutation	56	5	heaven, milk, seven, spear, world	witnessed	
SC060	OEWsPalatalUmlaut	57	5	knight, might, night, six, wight	witnessed	
SC061	OEWeakTailNasalLoss	58	0		synthetic_only	Zero corpus firings; validated by synthetic unit controls and the handbook sources.
SC063	OEHighVowelApocope	60	64	beaver, beech, belly, bier, birth, bough, breeches, bride, cow, deal, deed, dew, drench, fee, field, fist, flesh, flood, gift, ground, guest, hall, hand, harvest, heath, help, herd, hind, linden, liver, lung, lust, lye, march, might, need, needle, night, rind, rood, salve, sea, sheath, shield, shovel, shower, sorrow, soul, spindle, spoon, stem, string, thirst, tide, tongs, while, wight, winter, wold, world, worm, fire, rust, wool	witnessed	
SC064	NWGmcInStemNLoss	61	1	fright	witnessed	
SC065	OEMedialSyncope	62	0		synthetic_only	Zero corpus firings; validated by synthetic unit controls and the handbook sources.
SC066	OELAdjacentSyncope	63	3	nettle, spindle, thistle	witnessed	
SC067	OEDentalAssimilation	64	0		synthetic_only	Zero corpus firings; validated by synthetic unit controls and the handbook sources.
SC068	OEPreconsonantalDegemination	65	2	bottom, spindle	witnessed	
SC069	OEEarlyOShortening	66	0		synthetic_only	Zero corpus firings; validated by synthetic unit controls and the handbook sources.
SC070	OEUnstressedFrontingEarly	67	2	find, west	witnessed	
SC071	OELateOShortening	68	7	month, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg), wound	witnessed	
SC099	OEMedUnstressedORaising	69	1	wound	witnessed	
SC100	OEFinalUnstressedOLowering	70	6	month, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg)	witnessed	
SC072	OEUnstressedLongVowelShortening	71	59	adder, bore, bow, earth, father, find, flask, foal, fright, gall, handle, have, haw, heart, knob, lap, learn, lick, line, list, live, make, meed, mother, name, navel, neck, nettle, nightmare, ox, rainbow, rest, show, side, sister, span, spar, spare, spur, sun, sunder, swallow, tick, toe, tongue, wart, weasel, west, whore, widow, will, youth, make (iptv.2sg), bore (iptv.2sg), learn (iptv.2sg), lick (iptv.2sg), show (iptv.2sg), wound, tap	witnessed	
SC073	OEUnstressedAEMerger	72	37	adder, ban, berry, brand, earth, father, find, flask, four, hammer, have, heart, honey, line, list, live, man, mother, nettle, nightmare, rest, side, sister, summer, sun, swallow, swan, thistle, toe, tongue, wart, water, weasel, west, whore, widow, withy	witnessed	
SC074	OEMedUnstressedILowering1	73	6	dill, fright, harvest, rye, shilling, sieve	witnessed	
SC075	OEMedUnstressedILowering	74	1	shilling	witnessed	
SC040	OEMedUnstressedULowering	75	11	hawk, head, heaven, milk, navel, nine, rainbow, seven, soul, ten, world	witnessed	
SC076	OEPrefixIReduction	76	1	begin	witnessed	
SC078	OEWeakTailReduction	77	87	bake, begin, believe, bind, bore, bow, break, bring, brook, burst, chew, climb, drink, drive, eat, fall, fare, fast, fight, flee, fly, fold, follow, forlorn, freeze, give, grave, gripe, handle, heal, help, hew, hold, knead, lade, last, laugh, lead, learn, let, lick, light, make, mean, read, ride, run, seek, send, set, shear, shine, show, sing, singe, sit, slay, sleep, smear, span, spare, spin, spread, start, starve, steal, still, stretch, strew, sunder, sup, swell, swim, think, thrash, tread, wade, wake, warp, wash, wax, weave, whine, wield, will, wind, wring	witnessed	
SC079	OEJLossAfterHeavy	78	27	believe, bow, fast, follow, heal, hedge, hind, last, laugh, lead, light, lung, mean, net, seek, send, set, singe, sit, smear, spread, start, still, stretch, think, will	witnessed	
SC080	OEFinalGeminateSimplification	79	1	lung	witnessed	
SC081	OEJStrengtheningAfterFrontDiphthong	80	1	strew	witnessed	
SC082	OEIntervocalicJVocalization	81	9	bore, handle, learn, lick, make, show, spare, sunder, three	witnessed	
SC083	OEUnstressedEIContraction	82	8	bore, handle, learn, lick, make, show, spare, sunder	witnessed	
SC085	OEHLoss	84	4	flee, slay, ten, toe	witnessed	
SC086	OEContraction	85	5	flee, slay, ten, three, toe	witnessed	
SC087	OERMetathesis	86	2	burst, frost	witnessed	
SC088	OEEpentheticVowel	87	13	beaver, finger, fodder, leather, liver, rudder, thunder, timber, weather, wether, winter, wonder, fowl	witnessed	
SC089	OELateUnstressedAgSuffix	88	2	honey, withy	witnessed	
