concept	proto	proto_norm	counterpart	accepted	output_count	match	outputs
weasel	*wéslōn	wéslōn	wesle	1	1	1	wesle
west	*wéstanē	wéstanē	westene	1	1	1	westene
wight	*wéxtiz	wéxtiz	wiht	1	1	1	wiht
widow	*wíduwōn	wíduwōn	wuduwe	1	1	1	wuduwe
wind	*wíndaną	wíndaną	windan	1	1	1	windan
winter	*wíntruz	wíntruz	winter	1	1	1	winter
world	*wír-àldu	wír-àldu	weorold	1	1	1	weorold
wether	*wíθrą	wíθrą	weþer	1	1	1	weþer
wolf	*wúlfaz	wúlfaz	wulf	1	1	0	wolf
wool	*wúllō	wúllō	wull	1	1	0	woll
wonder	*wúndrą	wúndrą	wundor	1	1	1	wundor
word	*wúrdą	wúrdą	word	1	1	1	word
worm	*wúrmiz	wúrmiz	wyrm	1	1	1	wyrm
weapon	*wḗpną	wḗpną	wǣpn	1	1	1	wǣpn
wife	*wḯbą	wḯbą	wīf	1	1	1	wīf
withy	*wḯθagą	wḯθagą	wīþiġ	1	1	1	wīþiġ
laugh	*xláxjaną	xláxjaną	hliehhan	1	1	1	hliehhan
lade	*xláðaną	xláðaną	hladan	1	1	1	hladan
lid	*xlídą	xlídą	hlid	1	1	1	hlid
neck	*xnékkô	xnékkô	hnecca	1	1	1	hnecca
raven	*xrábnaz	xrábnaz	hræfn	1	1	1	hræfn
whale	*xwálaz	xwálaz	hwæl	1	1	1	hwæl
while	*xwḯlō	xwḯlō	hwīl	1	1	1	hwīl
whine	*xwḯnaną	xwḯnaną	hwīnan	1	1	1	hwīnan
hawk	*xábukaz	xábukaz	hafoc	1	1	1	hafoc
have	*xábēθi	xábēθi	hæfeþ	1	1	1	hæfeþ
hedge	*xágjaz	xágjaz	heġġ	1	1	1	heġġ
hail	*xáglą	xáglą	hæġl	1	1	1	hæġl
haw	*xágô	xágô	haga	1	1	1	haga
heal	*xáilijaną	xáilijaną	hǣlan	1	1	1	hǣlan
home	*xáimaz	xáimaz	hām	1	1	1	hām
heath	*xáiθiz	xáiθiz	hǣþ	1	1	1	hǣþ
hold	*xáldaną	xáldaną	healdan	1	1	1	healdan
hall	*xállō	xállō	heall	1	1	1	heall
hammer	*xámaras	xámaras	hameres	1	1	1	hameres
handle	*xándlōjaną	xándlōjaną	handlian	1	1	1	handlian
hand	*xánduz	xánduz	hand	1	1	1	hand
harvest	*xárbistuz	xárbistuz	hierfest	1	1	1	hierfest
harm	*xármaz	xármaz	hearm	1	1	1	hearm
hazel	*xáslaz	xáslaz	hæsl	1	1	1	hæsl
head	*xáubudą	xáubudą	hēafod	1	1	1	hēafod
hew	*xáwwaną	xáwwaną	hēawan	1	1	1	hēawan
hay	*xáwwją	xáwwją	hīeġ	1	1	1	hīeġ
heaven	*xébun	xébun	heofon	1	1	1	heofon
helm	*xélmaz	xélmaz	helm	1	1	1	helm
help	*xélpaną	xélpaną	helpan	1	1	1	helpan
help	*xélpō	xélpō	help	1	1	1	help
hind	*xéndjō	xéndjō	hind	1	1	1	hind
herd	*xérdō	xérdō	heord	1	1	1	heord
heart	*xértōn	xértōn	heorte	1	1	1	heorte
hearth	*xérθaz	xérθaz	heorþ	1	1	1	heorþ
honey	*xúnagą	xúnagą	huniġ	1	1	1	huniġ
hound	*xúndaz	xúndaz	hund	1	1	1	hund
horn	*xúrną	xúrną	horn	1	1	1	horn
hoard	*xúzdą	xúzdą	hord	1	1	1	hord
hood	*xōdaz	xōdaz	hōd	1	1	1	hōd
hoof	*xōfaz	xōfaz	hōf	1	1	1	hōf
whore	*xōrōn	xōrōn	hōre	1	1	1	hōre
hair	*xḗrą	xḗrą	hǣr	1	1	1	hǣr
one	*áinaz	áinaz	ān	1	1	1	ān
earth	*érθōn	érθōn	eorþe	1	1	1	eorþe
eat	*étaną	étaną	etan	1	1	1	etan
oven	*úfnaz	úfnaz	ofn	1	1	1	ofn
ox	*úxsô	úxsô	oxa	1	1	1	oxa
three	*θréjez	θréjez	þrīe	1	1	1	þrīe
thrash	*θréskaną	θréskaną	þresċan	1	1	1	þresċan
thatch	*θáką	θáką	þæc	1	1	1	þæc
thanks	*θánkaz	θánkaz	þanc	1	1	1	þanc
think	*θánkijaną	θánkijaną	þenċan	1	1	1	þenċan
thane	*θégnaz	θégnaz	þeġn	1	1	1	þeġn
thief	*θéubaz	θéubaz	þēof	1	1	1	þēof
thing	*θíngą	θíngą	þing	1	1	1	þing
thistle	*θístilas	θístilas	þistles	1	1	1	þistles
thunder	*θúnraz	θúnraz	þunor	1	1	1	þunor
thorn	*θúrnaz	θúrnaz	þorn	1	1	1	þorn
thirst	*θúrstuz	θúrstuz	þurst	1	1	1	þurst
thousand	*θūs-èndi	θūs-èndi	þūsend	1	1	1	þūsend
eel	*ḗlaz	ḗlaz	ǣl	1	1	1	ǣl
