ID	TITLE	CHANGE_IDS	REPORT_PATH	STATUS	SOURCE_DOSSIER_PATHS	NOTES
029-030	Awj glide and au-fronting core	SC029;SC030	full/029-030-awj-glide-and-au-fronting-core.md	full	Germanic/docs/sound_changes/literature_dossiers/028-030-glide-and-fronting-entry.dossier.md;Germanic/docs/sound_changes/book_dossiers/028-030-glide-and-fronting-entry.book-dossier.md	promoted from the dossier-prepared bridge as the compact local glide/fronting core; SC029 is the one-sided `hay`/`strew` feeder, SC030 is the source-backed fronting center, and the later SC032 relation remains a rightward handoff rather than chapter architecture
031-034	West Saxon diphthong chain	SC031;SC032;SC033;SC034	full/031-034-west-saxon-diphthong-chain.md	full	Germanic/docs/sound_changes/literature_dossiers/031-034-west-saxon-diphthong-chain.dossier.md;Germanic/docs/sound_changes/book_dossiers/031-034-west-saxon-diphthong-chain.book-dossier.md	promoted after structural review and dossier preparation as a cautious four-change corridor report with `SC031`/`SC034` as the core and `SC032`/`SC033` as subordinate flanks
035-037	Prefix and compound adjustments	SC035;SC036;SC037	full/035-037-prefix-and-compound-adjustments.md	full	Germanic/docs/sound_changes/literature_dossiers/035-037-prefix-and-compound-adjustments.dossier.md;Germanic/docs/sound_changes/book_dossiers/035-037-prefix-and-compound-adjustments.book-dossier.md	promoted as a cautious adjacent derivational bridge with SC036 as the source-backed center of gravity, SC035 as the one-sided prefix flank, and SC037 as the compound/technical right flank
039-040	Medial unstressed vowel core	SC039;SC040	full/039-040-medial-unstressed-vowel-core.md	full	Germanic/docs/sound_changes/literature_dossiers/039-041-medial-lowering-and-final-loss-bridge.dossier.md;Germanic/docs/sound_changes/book_dossiers/039-041-medial-lowering-and-final-loss-bridge.book-dossier.md	promoted from the dossier-prepared bridge as the strongest local medial-vowel core; SC039 remains the one-sided `widow` flank, SC040 the source-backed `world`/`youth` center, and SC041 stays separate as a final-loss note
041	Final bare-a loss note	SC041	full/041-final-bare-a-loss-note.md	full	Germanic/docs/sound_changes/literature_dossiers/039-041-medial-lowering-and-final-loss-bridge.dossier.md;Germanic/docs/sound_changes/book_dossiers/039-041-medial-lowering-and-final-loss-bridge.book-dossier.md	promoted as a short singleton final-loss hinge: source-backed by early final-vowel erosion, bounded broadly by SC020 and SC046, and kept strictly local rather than merged into either neighboring corridor
042	Surviving bimoric O unrounding context	SC042	full/042-surviving-bimoric-o-unrounding-context.md	full	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/042-048-post-brightening-region.book-dossier.md	promoted as a short singleton context note for the narrow `rest`-based SC020 < SC042 < SC043 relation; keep SC020 as a leftward cross-reference and do not merge SC042 into SC044-SC045
043	Anglo-Frisian brightening	SC043	full/043-anglo-frisian-brightening.md	full	Germanic/docs/sound_changes/literature_dossiers/043-anglo-frisian-brightening.dossier.md;Germanic/docs/sound_changes/book_dossiers/043-anglo-frisian-brightening.book-dossier.md	promoted from scaffold after the full-half scaffold review; now a full singleton production report
044-045	Breaking and velar-fricative palatalization	SC044;SC045	full/044-045-breaking-and-velar-fricative-palatalization.md	full	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/042-048-post-brightening-region.book-dossier.md	promoted from the post-brightening regional review as the strongest adjacent pair to the right of SC043, with SC060 kept as a rightward cross-reference only
046-048	Restoration and nasal-tail corridor	SC046;SC047;SC048	full/046-048-restoration-and-nasal-tail-corridor.md	full	Germanic/docs/sound_changes/literature_dossiers/042-048-post-brightening-region.review-dossier.md;Germanic/docs/sound_changes/book_dossiers/042-048-post-brightening-region.book-dossier.md	promoted after the post-brightening chapter-shape decision as a cautious adjacent corridor; SC046 is the source-backed restoration hinge while SC047-SC048 remains the tighter reciprocal nasal-tail core, with SC059 kept as a rightward cross-reference only
049-050	Onset allophony and Sievers-law bridge	SC049;SC050	full/049-050-onset-allophony-and-sievers-law-bridge.md	full	Germanic/docs/sound_changes/literature_dossiers/049-050-onset-allophony-and-sievers-law-bridge.dossier.md;Germanic/docs/sound_changes/book_dossiers/049-050-onset-allophony-and-sievers-law-bridge.book-dossier.md	promoted as a short adjacent chronological bridge report; SC049 remains the narrow allophonic and compound-specific member, while SC050 is the historically stronger feeder into SC052
051	OE Sk Palatalization	SC051	full/051-oe-sk-palatalization.md	full	Germanic/docs/sound_changes/literature_dossiers/051-oe-sk-palatalization.dossier.md;Germanic/docs/sound_changes/book_dossiers/051-oe-sk-palatalization.book-dossier.md	promoted after the SC049-SC052 split review as the first narrow palatalization report in this region
052	Velar palatalization hinge	SC052	full/052-velar-palatalization-hinge.md	full	Germanic/docs/sound_changes/literature_dossiers/052-velar-palatalization-hinge.dossier.md;Germanic/docs/sound_changes/book_dossiers/052-velar-palatalization-hinge.book-dossier.md	promoted after dossier preparation as a standalone chronological hinge report; SC050 remains feeder/context rather than a non-contiguous co-member of the production unit
053-054	Pre-umlaut bridge and W-loss	SC053;SC054	full/053-054-pre-umlaut-bridge-and-w-loss.md	full	Germanic/docs/sound_changes/literature_dossiers/053-054-pre-umlaut-bridge-and-w-loss.dossier.md;Germanic/docs/sound_changes/book_dossiers/053-054-pre-umlaut-bridge-and-w-loss.book-dossier.md	promoted as a short adjacent chronological bridge report; SC053 remains the residual `*ngw > *ng` member with no positive card boundary, while SC054 is the narrower source-backed `sea` bridge between SC020 and SC063
055-056	Umlaut core and palatal-diphthongization follower	SC055;SC056	full/055-056-umlaut-core.md	full	Germanic/docs/sound_changes/literature_dossiers/055-056-umlaut-core.dossier.md;Germanic/docs/sound_changes/book_dossiers/055-056-umlaut-core.book-dossier.md	promoted after the SC053-SC058 split review as a narrow full report with SC055 as the historical core and SC056 as the right-edge follower
057-058	Post-umlaut residual and palatalization-side note	SC057;SC058	scaffold/057-058-post-umlaut-residual-and-palatalization-side-note.md	scaffold	none	scaffold residual placeholder; SC057 should be reconsidered with SC049-SC052 while SC058 remains boundary-limited material
059	OE back mutation	SC059	full/059-oe-back-mutation.md	full	Germanic/docs/sound_changes/literature_dossiers/059-061-back-mutation-and-weak-tail-bridge.dossier.md;Germanic/docs/sound_changes/book_dossiers/059-061-back-mutation-and-weak-tail-bridge.book-dossier.md	promoted from the dossier-prepared SC059-SC061 bridge as the source-backed singleton center with real `SC048 < SC059 < SC078`; keep SC046-SC048 and the split late-tail scaffold region, especially SC078, as leftward/rightward cross-references only
060	WS palatal umlaut note	SC060	scaffold/060-ws-palatal-umlaut-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/059-061-back-mutation-and-weak-tail-bridge.dossier.md;Germanic/docs/sound_changes/book_dossiers/059-061-back-mutation-and-weak-tail-bridge.book-dossier.md	split from the old bridge as a singleton scaffold note because SC060 is historically real but one-sided; keep SC055-SC056 as a leftward cross-reference and do not turn the runner-bounded later side into chapter architecture
061	Weak-tail nasal-loss note	SC061	scaffold/061-weak-tail-nasal-loss-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/059-061-back-mutation-and-weak-tail-bridge.dossier.md;Germanic/docs/sound_changes/book_dossiers/059-061-back-mutation-and-weak-tail-bridge.book-dossier.md	split from the old bridge as a singleton scaffold note because SC061 is historically legible but one-sided; keep SC023 as a leftward cross-reference and do not turn the runner-bounded later side into chapter architecture
063	High-vowel apocope	SC063	full/063-oe-high-vowel-apocope.md	full	Germanic/docs/sound_changes/literature_dossiers/063-oe-high-vowel-apocope.dossier.md;Germanic/docs/sound_changes/book_dossiers/063-oe-high-vowel-apocope.book-dossier.md	promoted from scaffold after SC043 as the next singleton production report
064-065	Post-apocope tail	SC064;SC065	full/064-065-post-apocope-tail.md	full	Germanic/docs/sound_changes/literature_dossiers/064-065-post-apocope-tail.dossier.md;Germanic/docs/sound_changes/book_dossiers/064-065-post-apocope-tail.book-dossier.md	promoted as a short adjacent chronological bridge report; SC064 is the narrow positive-evidence member, while SC065 is explicitly treated as card-negative contextual syncope material
066-068	Syncope and degemination corridor	SC066;SC067;SC068	full/066-068-syncope-and-degemination-corridor.md	full	Germanic/docs/sound_changes/literature_dossiers/066-068-syncope-and-degemination-corridor.dossier.md;Germanic/docs/sound_changes/book_dossiers/066-068-syncope-and-degemination-corridor.book-dossier.md	promoted after dossier preparation as a narrow late weak-tail syncope and cleanup report
069	Early o-shortening context note	SC069	scaffold/069-early-o-shortening-context-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/069-078-late-unstressed-tail-cluster.book-dossier.md	split from the dossier-prepared late-tail scaffold as a singleton opener/context note because its only positive boundary `SC023 < SC069` is broad/far and its later side remains runner-bounded; keep SC023 as a distant cross-reference only
070-071	Early unstressed fronting and shortening bridge	SC070;SC071	scaffold/070-071-early-unstressed-fronting-shortening-bridge.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/069-078-late-unstressed-tail-cluster.book-dossier.md	split from the dossier-prepared late-tail scaffold as a short early local bridge because SC070 is the real hinge `SC052 < SC070 < SC071` while SC071 remains the one-sided follower; keep SC052 as a leftward cross-reference only
072-073	Unstressed long-vowel shortening and ae-merger core	SC072;SC073	scaffold/072-073-unstressed-long-vowel-shortening-and-ae-merger-core.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/069-078-late-unstressed-tail-cluster.book-dossier.md	split from the dossier-prepared late-tail scaffold as the strongest internal core because SC072 has real `SC064 < SC072 < SC073` chronology and SC073 adds a rightward SC085 cross-reference; keep scaffolded in this commit
074-075	Medial unstressed-i lowering bridge	SC074;SC075	scaffold/074-075-medial-unstressed-i-lowering-bridge.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/069-078-late-unstressed-tail-cluster.book-dossier.md	split from the dossier-prepared late-tail scaffold as a narrow local bridge because SC074 sits between SC072 and SC075 while SC075 remains one-sided; keep as a lower-priority scaffold bridge
076	Prefix i-reduction note	SC076	scaffold/076-prefix-i-reduction-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/069-078-late-unstressed-tail-cluster.book-dossier.md	split from the dossier-prepared late-tail scaffold as a singleton note because source support exists but both chronology directions remain boundary-limited; do not force SC076 into a grouped production unit
078	Weak-tail reduction right-edge note	SC078	scaffold/078-weak-tail-reduction-right-edge-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/069-078-late-unstressed-tail-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/069-078-late-unstressed-tail-cluster.book-dossier.md	split from the dossier-prepared late-tail scaffold as the strongest singleton/right-edge candidate because SC078 has real two-sided chronology, but its later SC086 relation should point only by cross-reference to the future SC085-SC086 core
079-080	Final-j loss and final-geminate simplification bridge	SC079;SC080	scaffold/079-080-final-j-loss-and-final-geminate-simplification-bridge.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/079-087-final-j-contraction-and-metathesis-cluster.book-dossier.md	split from the dossier-prepared closing scaffold as a modest opening bridge because SC079 has a broad/far left edge to SC055 and a local right edge to SC080, while SC080 remains the one-sided final-geminate follower
081-083	J-strengthening, vocalization, and ei-contraction bridge	SC081;SC082;SC083	scaffold/081-083-j-strengthening-vocalization-and-ei-contraction-bridge.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/079-087-final-j-contraction-and-metathesis-cluster.book-dossier.md	split from the dossier-prepared closing scaffold as a technical middle bridge with SC082 as the real center; keep SC081 and SC083 as subordinate flanks and do not merge SC083 into the later SC085-SC086 core
085-086	H-loss and contraction core	SC085;SC086	scaffold/085-086-h-loss-and-contraction-core.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/079-087-final-j-contraction-and-metathesis-cluster.book-dossier.md	split from the dossier-prepared closing scaffold as the strongest compact core because SC085 < SC086 is the clearest local closing pair and SC086 also receives the SC078 seam as a cross-reference only
087	R-metathesis terminal note	SC087	scaffold/087-r-metathesis-terminal-note.md	scaffold	Germanic/docs/sound_changes/literature_dossiers/079-087-final-j-contraction-and-metathesis-cluster.dossier.md;Germanic/docs/sound_changes/book_dossiers/079-087-final-j-contraction-and-metathesis-cluster.book-dossier.md	split from the dossier-prepared closing scaffold as an independent terminal singleton because its source support is strong but its earlier boundary is broad/far back to SC044 and its later side is runner-bounded
