ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
583	b aɪ n d	*bendanăn	b aɪ n d - - ( - - )	baɪnd	bind	160	English				bind	*bendanăn	17
582	b ɪ n d ə n	*bendanăn	b ɪ n d ə n ( - - )	bɪndən	binden	160	German				bind	*bendanăn	17
390	x ə b oː r t ə	*burdiz	( x ə ) b oː r t ( ə - )	xəboːrtə	geboorte	107	Dutch				birth	*burdiz	18
389	b ɜː θ	*burdiz	( - - ) b ɜː - θ ( - - )	bɜːθ	birth	107	English				birth	*burdiz	18
388	ɡ ə b uː r t	*burdiz	( ɡ ə ) b uː r t ( - - )	ɡəbuːrt	Geburt	107	German				birth	*burdiz	18
856	b l uː t	*blōdăn	b l uː t ( - - )	bluːt	bloed	235	Dutch				blood	*blōdăn	19
855	b l ʌ d	*blōdăn	b l ʌ d ( - - )	blʌd	blood	235	English				blood	*blōdăn	19
854	b l uː t	*blōdăn	b l uː t ( - - )	bluːt	Blut	235	German				blood	*blōdăn	19
1302	b ɔ r t	*burdăn	b ɔ r t ( - - )	bɔrt	bord	357	Dutch				board	*burdăn	20
1301	b ɔː d	*burdăn	b ɔː - d ( - - )	bɔːd	board	357	English				board	*burdăn	20
1300	b ɔ r t	*burdăn	b ɔ r t ( - - )	bɔrt	Bord	357	German	BOR		Low German	board	*burdăn	20
1037	b eː n	*bainăn	b eː n ( - - )	beːn	been	284	Dutch				bone	*bainăn	21
1036	b əʊ n	*bainăn	b əʊ n ( - - )	bəʊn	bone	284	English				bone	*bainăn	21
1035	b ai n	*bainăn	b ai n ( - - )	bain	Bein	284	German		C V C		bone	*bainăn	21
937	b uː k	*bōkz	b uː k ( - )	buːk	boek	257	Dutch				book	*bōkz	22
936	b ʊ k	*bōkz	b ʊ k ( - )	bʊk	book	257	English				book	*bōkz	22
935	b uː x	*bōkz	b uː x ( - )	buːx	Buch	257	German				book	*bōkz	22
382	b oː r ə	*burōjanăn	b oː r ( - ) - ə - ( - - )	boːrə	boren	105	Dutch				bore	*burōjanăn	23
381	b ɔː r	*burōjanăn	b ɔː r ( - ) - - - ( - - )	bɔːr	bore	105	English				bore	*burōjanăn	23
380	b oː r ə n	*burōjanăn	b oː r ( - ) - ə n ( - - )	boːrən	bohren	105	German				bore	*burōjanăn	23
26	b uː z ə m	*bōsmăz	b uː z ə m ( - - )	buːzəm	boezem	7	Dutch				bosom	*bōsmăz	24
25	b ʊ z ə m	*bōsmăz	b ʊ z ə m ( - - )	bʊzəm	bosom	7	English				bosom	*bōsmăz	24
24	b uː z ə n	*bōsmăz	b uː z ə n ( - - )	buːzən	Busen	7	German				bosom	*bōsmăz	24
641	b ɛɪ d ə	*bō	b ɛɪ ( d ə )	bɛɪdə	beide	176	Dutch				both	*bō	25
640	b əʊ θ	*bō	b əʊ ( θ - )	bəʊθ	both	176	English				both	*bō	25
639	b ai d ə	*bō	b ai ( d ə )	baidə	beide	176	German				both	*bō	25
818	b oː d ə m	*budmăz	b oː d ə m ( - - )	boːdəm	bodem	224	Dutch				bottom	*budmăz	26
817	b ɔ t ə m	*budmăz	b ɔ t ə m ( - - )	bɔtəm	bottom	224	English				bottom	*budmăz	26
816	b oː d ə n	*budmăz	b oː d ə n ( - - )	boːdən	Boden	224	German	BOR			bottom	*budmăz	26
224	b aʊ	*bōguz	b aʊ - ( - - )	baʊ	bough	62	English				bough	*bōguz	334
223	b uː k	*bōguz	b uː k ( - - )	buːk	Bug	62	German				bough	*bōguz	334
1298	b œy ɣ ə	*baugjanăn	b œy ɣ - ə - ( - - )	bœyɣə	buigen	356	Dutch				bow	*baugjanăn	27
930	b œy ɣ ə	*beuganăn	b œy ɣ ə - ( - - )	bœyɣə	buigen	255	Dutch				bow	*beuganăn	27
1420	b oː x	*bugōn	b oː x - -	boːx	boog	388	Dutch				bow	*bugōn	27
1297	b əʊ	*baugjanăn	b əʊ - - - - ( - - )	bəʊ	bow	356	English				bow	*baugjanăn	27
929	b əʊ	*beuganăn	b əʊ - - - ( - - )	bəʊ	bow	255	English				bow	*beuganăn	27
1419	b əʊ	*bugōn	b əʊ - - -	bəʊ	bow	388	English				bow	*bugōn	27
1296	b ɔy ɡ ə n	*baugjanăn	b ɔy ɡ - ə n ( - - )	bɔyɡən	beugen	356	German		C V c - v c		bow	*baugjanăn	27
928	b iː ɡ ə n	*beuganăn	b iː ɡ ə n ( - - )	biːɡən	biegen	255	German				bow	*beuganăn	27
1418	b oː ɡ ə n	*bugōn	b oː ɡ ə n	boːɡən	Bogen	388	German				bow	*bugōn	27
1033	b uː r	*būrăn	b uː - r ( - - )	buːr	boer	283	Dutch				bower	*būrăn	28
1032	b aʊ ə r	*būrăn	b aʊ ə r ( - - )	baʊər	bower	283	English				bower	*būrăn	28
1031	b au ə r	*būrăn	b au ə r ( - - )	bauər	Bauer	283	German				bower	*būrăn	28
798	b r ɑ n t	*brandăz	b r ɑ n t ( - - )	brɑnt	brand	218	Dutch				brand	*brandăz	29
797	b r æ n d	*brandăz	b r æ n d ( - - )	brænd	brand	218	English				brand	*brandăz	29
796	b r a n t	*brandăz	b r a n d ( - - )	brant	Brand	218	German				brand	*brandăz	29
1158	b r oː t	*braudăn	b r oː t ( - - )	broːt	brood	317	Dutch				bread	*braudăn	30
1157	b r ɛ d	*braudăn	b r ɛ d ( - - )	brɛd	bread	317	English				bread	*braudăn	30
1156	b r oː t	*braudăn	b r oː t ( - - )	broːt	Brot	317	German				bread	*braudăn	30
503	b r eː k ə	*brekanăn	b r eː k ə - ( - - )	breːkə	breken	137	Dutch				break	*brekanăn	31
502	b r eɪ k	*brekanăn	b r eɪ k - - ( - - )	breɪk	break	137	English				break	*brekanăn	31
501	b r ɛ x ə n	*brekanăn	b r ɛ x ə n ( - - )	brɛxən	brechen	137	German				break	*brekanăn	31
1773	b ɔ r s t	*brustz	b ɔ r - s t ( - )	bɔrst	borst	485	Dutch				breast	*brustz	32
1772	b r ɛ s t	*brustz	b - r ɛ s t ( - )	brɛst	breast	485	English				breast	*brustz	32
1771	b r ʊ s t	*brustz	b - r ʊ s t ( - )	brʊst	Brust	485	German				breast	*brustz	32
1516	b r uː k	*brekanăn	b r uː k ( - - )	bruːk	broek	415	Dutch				breeches	*brekanăn	33
1515	b r ʊ k	*brekanăn	b r ʊ k ( - - )	brʊk	breeches	415	English				breeches	*brekanăn	33
1514	b r ʊ x	*brekanăn	b r ʊ x ( - - )	brʊx	Bruch	415	German				breeches	*brekanăn	33
296	b r œy t	*brūdiz	b r œy t ( - - )	brœyt	bruid	82	Dutch				bride	*brūdiz	34
295	b r aɪ d	*brūdiz	b r aɪ d ( - - )	braɪd	bride	82	English				bride	*brūdiz	34
294	b r au t	*brūdiz	b r au t ( - - )	braut	Braut	82	German				bride	*brūdiz	34
1652	b r ɛ ŋ ə	*brenganăn	b r ɛ ŋ - ə - ( - - )	brɛŋə	brengen	453	Dutch				bring	*brenganăn	35
1651	b r ɪ ŋ	*brenganăn	b r ɪ ŋ - - - ( - - )	brɪŋ	bring	453	English				bring	*brenganăn	35
1650	b r ɪ ŋ ə n	*brenganăn	b r ɪ ŋ - ə n ( - - )	brɪŋən	bringen	453	German				bring	*brenganăn	35
1136	x ə b r œy k ə	*brūkanăn	( x ə ) b r œy k ə - ( - - )	xəbrœykə	gebruiken	311	Dutch				brook	*brūkanăn	36
1135	b r ʊ k	*brūkanăn	( - - ) b r ʊ k - - ( - - )	brʊk	brook	311	English				brook	*brūkanăn	36
1134	b r au x ə n	*brūkanăn	( - - ) b r au x ə n ( - - )	brauxən	brauchen	311	German				brook	*brūkanăn	36
34	b ɔ k	*bukkăz	b ɔ k ( - - )	bɔk	bok	9	Dutch				buck	*bukkăz	37
33	b ʌ k	*bukkăz	b ʌ k ( - - )	bʌk	buck	9	English				buck	*bukkăz	37
32	b ɔ k	*bukkăz	b ɔ k ( - - )	bɔk	Bock	9	German				buck	*bukkăz	37
1754	b ɑ r s t ə	*brestanăn	b ɑ r - s t ə - ( - - )	bɑrstə	barsten	480	Dutch				burst	*brestanăn	38
1753	b ɜː s t	*brestanăn	b ɜː - - s t - - ( - - )	bɜːst	burst	480	English				burst	*brestanăn	38
1752	b ɛ r s t ə n	*brestanăn	b ɛ r - s t ə n ( - - )	bɛrstən	bersten	480	German				burst	*brestanăn	38
193	k ɑ l f	*kalbăz	k ɑ l f ( - - )	kɑlf	kalf	54	Dutch				calf	*kalbăz	39
192	k ɑː f	*kalbăz	k ɑː - f ( - - )	kɑːf	calf	54	English				calf	*kalbăz	39
191	k a l p	*kalbăz	k a l b ( - - )	kalp	Kalb	54	German				calf	*kalbăz	39
993	k ɑu ʋ ə	*kewwanăn	k ɑu ʋ ə - ( - - )	kɑuʋə	kauwen	272	Dutch				chew	*kewwanăn	40
992	ʧ uː	*kewwanăn	ʧ uː - - - ( - - )	ʧuː	chew	272	English				chew	*kewwanăn	40
991	k au ə n	*kewwanăn	k au - ə n ( - - )	kauən	kauen	272	German				chew	*kewwanăn	40
557	k l ɪ m ə	*klembanăn	k l ɪ m - ə - ( - - )	klɪmə	klimmen	152	Dutch				climb	*klembanăn	41
556	k l aɪ m	*klembanăn	k l aɪ m - - - ( - - )	klaɪm	climb	152	English				climb	*klembanăn	41
555	k l ɪ m ə n	*klembanăn	k l ɪ m - ə n ( - - )	klɪmən	klimmen	152	German				climb	*klembanăn	41
1680	k ɑ m	*kambăz	k ɑ m - ( - - )	kɑm	kam	460	Dutch				comb	*kambăz	42
1679	k əʊ m	*kambăz	k əʊ m - ( - - )	kəʊm	comb	460	English				comb	*kambăz	42
1678	k a m	*kambăz	k a m - ( - - )	kam	Kamm	460	German				comb	*kambăz	42
8	k oː r ə	*kurnăn	k oː r - ( ə - )	koːrə	koren	533	Dutch				corn	*kurnăn	43
7	k ɔː n	*kurnăn	k ɔː - n ( - - )	kɔːn	corn	533	English				corn	*kurnăn	43
6	k ɔ r n	*kurnăn	k ɔ r n ( - - )	kɔrn	Korn	533	German				corn	*kurnăn	43
1093	k uː	*kōwz	k uː ( - - )	kuː	koe	299	Dutch				cow	*kōwz	44
1092	k aʊ	*kōwz	k aʊ ( - - )	kaʊ	cow	299	English				cow	*kōwz	44
1091	k uː	*kōwz	k uː ( - - )	kuː	Kuh	299	German				cow	*kōwz	44
1508	k r ɑ x t	*kraftiz	k r ɑ x t ( - - )	krɑxt	kracht	413	Dutch				craft	*kraftiz	45
1507	k r ɑː f t	*kraftiz	k r ɑː f t ( - - )	krɑːft	craft	413	English				craft	*kraftiz	45
1506	k r a f t	*kraftiz	k r a f t ( - - )	kraft	Kraft	413	German				craft	*kraftiz	45
881	k r ɔ p	*kruppăz	k r ɔ p ( - - )	krɔp	krop	242	Dutch				crop	*kruppăz	46
880	k r ɔ p	*kruppăz	k r ɔ p ( - - )	krɔp	crop	242	English				crop	*kruppăz	46
879	k r ɔ pf	*kruppăz	k r ɔ pf ( - - )	krɔp͡f	Kropf	242	German				crop	*kruppăz	46
1247	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	kit	342	Dutch				cud	*kwiθuz	47
1246	k ʌ d	*kwiθuz	k ʌ d ( - - )	kʌd	cud	342	English				cud	*kwiθuz	47
1245	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	Kitt	342	German				cud	*kwiθuz	47
1184	d ɑ l	*dalăz	d ɑ l ( - - )	dɑl	dal	324	Dutch				dale	*dalăz	48
1183	d eɪ l	*dalăz	d eɪ l ( - - )	deɪl	dale	324	English				dale	*dalăz	48
1182	t aː l	*dalăz	t aː l ( - - )	taːl	Tal	324	German				dale	*dalăz	48
783	d ɑ x	*dagăz	d ɑ x ( - - )	dɑx	dag	214	Dutch				day	*dagăz	49
782	d eɪ	*dagăz	d eɪ - ( - - )	deɪ	day	214	English				day	*dagăz	49
781	t aː k	*dagăz	t aː k ( - - )	taːk	Tag	214	German				day	*dagăz	49
1085	d eː l	*dailiz	d eː l ( - - )	deːl	deel	297	Dutch				deal	*dailiz	50
1084	d iː l	*dailiz	d iː l ( - - )	diːl	deal	297	English				deal	*dailiz	50
1083	t ai l	*dailiz	t ai l ( - - )	tail	Teil	297	German				deal	*dailiz	50
580	d aː t	*dēdiz	d aː t ( - - )	daːt	daad	159	Dutch				deed	*dēdiz	51
579	d iː d	*dēdiz	d iː d ( - - )	diːd	deed	159	English				deed	*dēdiz	51
578	t aː t	*dēdiz	t aː t ( - - )	taːt	Tat	159	German				deed	*dēdiz	51
409	d iː r	*deuzăn	d iː r ( - - )	diːr	dier	112	Dutch				deer	*deuzăn	52
408	d ɪə r	*deuzăn	d ɪə r ( - - )	dɪər	deer	112	English				deer	*deuzăn	52
407	t iː r	*deuzăn	t iː r ( - - )	tiːr	Tier	112	German				deer	*deuzăn	52
1520	d ɑu ʋ	*dawwō	d - ɑu ʋ ( - )	dɑuʋ	dauw	416	Dutch				dew	*dawwō	53
1519	d j uː	*dawwō	d j uː - ( - )	djuː	dew	416	English				dew	*dawwō	53
1518	t au	*dawwō	t - au - ( - )	tau	Tau	416	German				dew	*dawwō	53
896	d ɪ l ə	*deljăz	d ɪ l ( - ə - )	dɪlə	dille	246	Dutch				dill	*deljăz	54
895	d ɪ l	*deljăz	d ɪ l ( - - - )	dɪl	dill	246	English				dill	*deljăz	54
894	d ɪ l	*deljăz	d ɪ l ( - - - )	dɪl	Dill	246	German	BOR		Low German	dill	*deljăz	54
1584	d uː n	*dōnăn	d uː - n ( - - )	duːn	doen	434	Dutch				do	*dōnăn	55
1583	d uː	*dōnăn	d uː - - ( - - )	duː	do	434	English				do	*dōnăn	55
1582	t uː n	*dōnăn	t uː ə n ( - - )	tuːn	tun	434	German				do	*dōnăn	55
103	d ɔː r	*durăn	d ɔː r ( - - )	dɔːr	door	29	English				door	*durăn	335
102	t oː r	*durăn	t oː r ( - - )	toːr	Tor	29	German				door	*durăn	335
764	d eː x	*daigăz	d eː x ( - - )	deːx	deeg	209	Dutch				dough	*daigăz	56
763	d əʊ	*daigăz	d əʊ - ( - - )	dəʊ	dough	209	English				dough	*daigăz	56
762	t ai k	*daigăz	t ai k ( - - )	taik	Teig	209	German				dough	*daigăz	56
57	d oː v ə	*dūbōn	d oː v ə ( - )	doːvə	dove	16	Dutch				dove	*dūbōn	57
56	d ʌ v	*dūbōn	d ʌ v - ( - )	dʌv	dove	16	English				dove	*dūbōn	57
55	t au b ə	*dūbōn	t au b ə ( - )	taubə	Taube	16	German				dove	*dūbōn	57
398	d r oː m	*draumăz	d r oː m ( - - )	droːm	droom	109	Dutch				dream	*draumăz	58
397	d r iː m	*draumăz	d r iː m ( - - )	driːm	dream	109	English				dream	*draumăz	58
396	t r au m	*draumăz	t r au m ( - - )	traum	Traum	109	German				dream	*draumăz	58
744	d r ɑ ŋ k	*drankăn	d r ɑ ŋ k ( - - )	drɑŋk	drank	204	Dutch				drench	*drankăn	59
743	d r ɛ n ʧ	*drankăn	d r ɛ n ʧ ( - - )	drɛnʧ	drench	204	English				drench	*drankăn	59
742	t r a ŋ k	*drankăn	t r a ŋ k ( - - )	traŋk	Trank	204	German				drench	*drankăn	59
22	d r ɪ ŋ k ə	*drenkanăn	d r ɪ ŋ k ə - ( - - )	drɪŋkə	drinken	6	Dutch				drink	*drenkanăn	60
21	d r ɪ ŋ k	*drenkanăn	d r ɪ ŋ k - - ( - - )	drɪŋk	drink	6	English				drink	*drenkanăn	60
20	t r ɪ ŋ k ə n	*drenkanăn	t r ɪ ŋ k ə n ( - - )	trɪŋkən	trinken	6	German				drink	*drenkanăn	60
1243	d r ɛɪ v ə	*drībanăn	d r ɛɪ v ə - ( - - )	drɛɪvə	drijven	341	Dutch				drive	*drībanăn	61
1242	d r aɪ v	*drībanăn	d r aɪ v - - ( - - )	draɪv	drive	341	English				drive	*drībanăn	61
1241	t r ai b ə n	*drībanăn	t r ai b ə n ( - - )	traibən	treiben	341	German				drive	*drībanăn	61
89	aː r d ə	*erθo	aː r d ə	aːrdə	aarde	25	Dutch				earth	*erθo	62
88	ɜː θ	*erθo	ɜː - θ -	ɜːθ	earth	25	English				earth	*erθo	62
87	eː r d ə	*erθo	eː r d ə	eːrdə	Erde	25	German				earth	*erθo	62
1333	eː t ə	*etanăn	eː t ə - ( - - )	eːtə	eten	365	Dutch				eat	*etanăn	63
1332	iː t	*etanăn	iː t - - ( - - )	iːt	eat	365	English				eat	*etanăn	63
1331	ɛ s ə n	*etanăn	ɛ s ə n ( - - )	ɛsən	essen	365	German				eat	*etanăn	63
775	aː l	*ēlăz	aː l ( - - )	aːl	aal	212	Dutch				eel	*ēlăz	64
774	iː l	*ēlăz	iː l ( - - )	iːl	eel	212	English				eel	*ēlăz	64
773	aː l	*ēlăz	aː l ( - - )	aːl	Aal	212	German				eel	*ēlăz	64
250	v ɑ l ə	*fallanăn	v ɑ l ə - ( - - )	vɑlə	vallen	69	Dutch				fall	*fallanăn	65
249	f ɔː l	*fallanăn	f ɔː l - - ( - - )	fɔːl	fall	69	English				fall	*fallanăn	65
248	f a l ə n	*fallanăn	f a l ə n ( - - )	falən	fallen	69	German				fall	*fallanăn	65
205	v aː r ə	*faranăn	v aː r ə - ( - - )	vaːrə	varen	57	Dutch				fare	*faranăn	66
204	f ɛə r	*faranăn	f ɛə r - - ( - - )	fɛər	fare	57	English				fare	*faranăn	66
203	f aː r ə n	*faranăn	f aː r ə n ( - - )	faːrən	fahren	57	German				fare	*faranăn	66
1317	v ɑ s t ə	*fastēnăn	v ɑ s t ə - ( - - )	vɑstə	vasten	361	Dutch				fast	*fastēnăn	67
1316	f ɑː s t	*fastēnăn	f ɑː s t - - ( - - )	fɑːst	fast	361	English				fast	*fastēnăn	67
1315	f a s t ə n	*fastēnăn	f a s t ə n ( - - )	fastən	fasten	361	German				fast	*fastēnăn	67
912	v aː d ə r	*fadēr	v aː d ə r	vaːdər	vader	250	Dutch				father	*fadēr	68
911	f ɑː ð ə r	*fadēr	f ɑː ð ə r	fɑːðər	father	250	English				father	*fadēr	68
910	f aː t ə r	*fadēr	f aː t ə r	faːtər	Vater	250	German				father	*fadēr	68
118	v eː	*fexu	v eː ( - - )	veː	vee	33	Dutch				fee	*fexu	69
117	f iː	*fexu	f iː ( - - )	fiː	fee	33	English				fee	*fexu	69
116	v iː	*fexu	v iː ( - - )	viː	Vieh	33	German				fee	*fexu	69
1801	v ɛ l	*fellăn	v ɛ l ( - - )	vɛl	vel	493	Dutch				fell	*fellăn	70
1800	f ɛ l	*fellăn	f ɛ l ( - - )	fɛl	fell	493	English				fell	*fellăn	70
1799	f ɛ l	*fellăn	f ɛ l ( - - )	fɛl	Fell	493	German				fell	*fellăn	70
464	v aː r ə	*farnăn	v aː r - ( ə - )	vaːrə	varen	127	Dutch				fern	*farnăn	71
463	f ɜː n	*farnăn	f ɜː - n ( - - )	fɜːn	fern	127	English				fern	*farnăn	71
462	f a r n	*farnăn	f a r n ( - - )	farn	Farn	127	German				fern	*farnăn	71
700	v ɛ l t	*felθuz	v ɛ l t ( - - )	vɛlt	veld	192	Dutch				field	*felθuz	72
699	f iː l d	*felθuz	f iː l d ( - - )	fiːld	field	192	English				field	*felθuz	72
698	f ɛ l t	*felθuz	f ɛ l d ( - - )	fɛlt	Feld	192	German				field	*felθuz	72
160	v ɛ x t ə	*fextanăn	v ɛ x t ə - ( - - )	vɛxtə	vechten	45	Dutch				fight	*fextanăn	73
159	f aɪ t	*fextanăn	f aɪ - t - - ( - - )	faɪt	fight	45	English				fight	*fextanăn	73
158	f ɛ x t ə n	*fextanăn	f ɛ x t ə n ( - - )	fɛxtən	fechten	45	German				fight	*fextanăn	73
1762	v ɪ n d ə	*fenθanăn	v ɪ n d ə - ( - - )	vɪndə	vinden	482	Dutch				find	*fenθanăn	74
1761	f aɪ n d	*fenθanăn	f aɪ n d - - ( - - )	faɪnd	find	482	English				find	*fenθanăn	74
1760	f ɪ n d ə n	*fenθanăn	f ɪ n d ə n ( - - )	fɪndən	finden	482	German				find	*fenθanăn	74
1702	v ɪ ŋ ə r	*fengrăz	v ɪ ŋ - ə r ( - - )	vɪŋər	vinger	466	Dutch				finger	*fengrăz	75
1701	f ɪ ŋ ɡ ə r	*fengrăz	f ɪ ŋ ɡ ə r ( - - )	fɪŋɡər	finger	466	English				finger	*fengrăz	75
1700	f ɪ ŋ ə r	*fengrăz	f ɪ ŋ - ə r ( - - )	fɪŋər	Finger	466	German				finger	*fengrăz	75
1588	v yː r	*fuwer	v yː - - r	vyːr	vuur	435	Dutch				fire	*fuwer	76
1587	f aɪ ə r	*fuwer	f aɪ - ə r	faɪər	fire	435	English				fire	*fuwer	76
1586	f ɔy ə r	*fuwer	f ɔy - ə r	fɔyər	Feuer	435	German				fire	*fuwer	76
1262	v ɪ s	*fiskăz	v ɪ s - ( - - )	vɪs	vis	346	Dutch				fish	*fiskăz	77
1261	f ɪ ʃ	*fiskăz	f ɪ ʃ - ( - - )	fɪʃ	fish	346	English				fish	*fiskăz	77
1260	f ɪ ʃ	*fiskăz	f ɪ ʃ - ( - - )	fɪʃ	Fisch	346	German				fish	*fiskăz	77
1830	v œy s t	*funxwstiz	v œy ( - - ) s t ( - - )	vœyst	vuist	501	Dutch				fist	*funxwstiz	78
1829	f ɪ s t	*funxwstiz	f ɪ ( - - ) s t ( - - )	fɪst	fist	501	English				fist	*funxwstiz	78
1828	f au s t	*funxwstiz	f au ( - - ) s t ( - - )	faust	Faust	501	German				fist	*funxwstiz	78
50	f l ɑː s k	*flaskō	f l ɑː s k -	flɑːsk	flask	14	English				flask	*flaskō	336
