ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO
580	d aː t	*dēdiz	d aː t ( - - )	daːt	daad	159	Dutch				deed	*dēdiz
409	d iː r	*deuzą	d iː r ( - - )	diːr	dier	112	Dutch				deer	*deuzăn
1520	d ɑu ʋ	*dawwō	d - ɑu ʋ ( - )	dɑuʋ	dauw	416	Dutch				dew	*dawwō
896	d ɪ l ə	*deljăz	d ɪ l ( - ə - )	dɪlə	dille	246	Dutch				dill	*deljăz
1584	d uː n	*dōnăn	d uː - n ( - - )	duːn	doen	434	Dutch				do	*dōnăn
764	d eː x	*daigăz	d eː x ( - - )	deːx	deeg	209	Dutch				dough	*daigăz
57	d oː v ə	*dūbōn	d oː v ə ( - )	doːvə	dove	16	Dutch				dove	*dūbōn
398	d r oː m	*draumăz	d r oː m ( - - )	droːm	droom	109	Dutch				dream	*draumăz
744	d r ɑ ŋ k	*dranką	d r ɑ ŋ k ( - - )	drɑŋk	drank	204	Dutch				drench	*drankăn
22	d r ɪ ŋ k ə	*drenkanăn	d r ɪ ŋ k ə - ( - - )	drɪŋkə	drinken	6	Dutch				drink	*drenkanăn
1243	d r ɛɪ v ə	*drībanăn	d r ɛɪ v ə - ( - - )	drɛɪvə	drijven	341	Dutch				drive	*drībanăn
89	aː r d ə	*erθo	aː r d ə	aːrdə	aarde	25	Dutch				earth	*erθo
1333	eː t ə	*etanăn	eː t ə - ( - - )	eːtə	eten	365	Dutch				eat	*etanăn
775	aː l	*ēlăz	aː l ( - - )	aːl	aal	212	Dutch				eel	*ēlăz
250	v ɑ l ə	*fallanăn	v ɑ l ə - ( - - )	vɑlə	vallen	69	Dutch				fall	*fallanăn
205	v aː r ə	*faranăn	v aː r ə - ( - - )	vaːrə	varen	57	Dutch				fare	*faranăn
1317	v ɑ s t ə	*fastēnăn	v ɑ s t ə - ( - - )	vɑstə	vasten	361	Dutch				fast	*fastēnăn
912	v aː d ə r	*fadēr	v aː d ə r	vaːdər	vader	250	Dutch				father	*fadēr
118	v eː	*fexu	v eː ( - - )	veː	vee	33	Dutch				fee	*fexu
1801	v ɛ l	*fellą	v ɛ l ( - - )	vɛl	vel	493	Dutch				fell	*fellăn
464	v aː r ə	*farnăn	v aː r - ( ə - )	vaːrə	varen	127	Dutch				fern	*farnăn
700	v ɛ l t	*felθuz	v ɛ l t ( - - )	vɛlt	veld	192	Dutch				field	*felθuz
160	v ɛ x t ə	*fextanăn	v ɛ x t ə - ( - - )	vɛxtə	vechten	45	Dutch				fight	*fextanăn
1762	v ɪ n d ə	*fenθanăn	v ɪ n d ə - ( - - )	vɪndə	vinden	482	Dutch				find	*fenθanăn
1702	v ɪ ŋ ə r	*fengrăz	v ɪ ŋ - ə r ( - - )	vɪŋər	vinger	466	Dutch				finger	*fengrăz
1588	v yː r	*fuwer	v yː - - r	vyːr	vuur	435	Dutch				fire	*fuwer
1262	v ɪ s	*fiskăz	v ɪ s - ( - - )	vɪs	vis	346	Dutch				fish	*fiskăz
1830	v œy s t	*funxwstiz	v œy ( - - ) s t ( - - )	vœyst	vuist	501	Dutch				fist	*funxwstiz
1811	v l ɑ s	*flaxsą	v l ɑ - s ( - - )	vlɑs	vlas	496	Dutch				flax	*flaxsăn
973	v l oː	*flauxz	v l oː - ( - )	vloː	vlo	267	Dutch				flea	*flauxz
1228	v l iː d ə	*fleuxanăn	v l iː d ə - ( - - )	vliːdə	vlieden	337	Dutch	IR			flee	*fleuxanăn
1029	v l eː s	*flaiskăz	v l eː s - ( - - )	vleːs	vlees	282	Dutch				flesh	*flaiskăz
1412	v l uː t	*flōduz	v l uː t ( - - )	vluːt	vloed	386	Dutch				flood	*flōduz
1110	v l iː ɣ ə	*fleuganăn	v l iː ɣ ə - ( - - )	vliːɣə	vliegen	304	Dutch				fly	*fleuganăn
888	v uː r	*fōdrą	v uː - - r ( - - )	vuːr	voer	244	Dutch				fodder	*fōdrăn
445	v ɑu ʋ	*falθanăn	v ɑu ʋ - ə - ( - - )	vɑuʋ	vouw	122	Dutch	NC			fold	*falθanăn
779	v ɔ l k	*fulką	v ɔ l k ( - - )	vɔlk	volk	213	Dutch				folk	*fulkăn
1887	v ɔ l ɣ ə	*fulgēnăn	v ɔ l ɣ ə - ( - - )	vɔlɣə	volgen	517	Dutch				follow	*fulgēnăn
1393	v ə r l iː z ə	*leusanăn	( v ə r ) l iː z ə - ( - - )	vərliːzə	verliezen	381	Dutch				forlorn	*leusanăn
363	v iː r	*fedwōrez	v iː ( - - - ) r ( - - )	viːr	vier	100	Dutch				four	*fedwōrez
1834	v oː ɣ ə l	*fuglăz	v oː ɣ ə l ( - - )	voːɣəl	vogel	502	Dutch				fowl	*fuglăz
342	v ɔ s	*fuxsăz	v ɔ - s ( - - )	vɔs	vos	94	Dutch				fox	*fuxsăz
926	v r iː z ə	*freusanăn	v r iː z ə - ( - - )	vriːzə	vriezen	254	Dutch				freeze	*freusanăn
1692	v r iː n t	*frijōndz	v r iː ( - - ) n t ( - )	vriːnt	vriend	463	Dutch				friend	*frijōndz
456	v ɔ r s t	*frustą	v - ɔ r s t ( - - )	vɔrst	vorst	125	Dutch				frost	*frustăn
956	v oː r	*furx	v oː r ( - - )	voːr	voor	262	Dutch				furrow	*furx
748	x ɑ l	*gallą	x ɑ l - ( - )	xɑl	gal	205	Dutch				gall	*gallăn
201	x ɑ ŋ	*gangăz	x ɑ ŋ - ( - - )	xɑŋ	gang	56	Dutch				gang	*gangăz
621	x ɪ f t	*geftiz	x ɪ f t ( - - )	xɪft	gift	171	Dutch				gift	*geftiz
752	x eː v ə	*gebanăn	x eː v ə - ( - - )	xeːvə	geven	206	Dutch				give	*gebanăn
1876	x ɔ t	*gud	x ɔ t	xɔt	god	514	Dutch				god	*gud
1089	x ɑu t	*gulθą	x ɑu - t ( - - )	xɑut	goud	298	Dutch				gold	*gulθăn
1294	x ɑ n s	*gansz	x ɑ n s ( - )	xɑns	gans	355	Dutch				goose	*gansz
791	x r ɑ s	*grasą	x r ɑ s ( - - )	xrɑs	gras	216	Dutch				grass	*grasăn
134	x r aː v ə	*grabanăn	x r aː v ə - ( - - )	xraːvə	graven	37	Dutch				grave	*grabanăn
243	x r ɛɪ p ə	*grīpanăn	x r ɛɪ p ə - ( - - )	xrɛɪpə	grijpen	67	Dutch				gripe	*grīpanăn
100	x r ɔ n t	*grunduz	x r ɔ n t ( - - )	xrɔnt	grond	28	Dutch				ground	*grunduz
1616	x ɑ s t	*gastiz	x ɑ s t ( - - )	xɑst	gast	443	Dutch				guest	*gastiz
1005	h aː ɣ ə l	*xaglą	h aː ɣ ə l ( - - )	haːɣəl	hagel	275	Dutch				hail	*xaglăn
1344	h aː r	*xazwăz	h aː r ( - - - )	haːr	haar	368	Dutch				hair	*xazwăz
1783	h ɑ l	*xallō	h ɑ l -	hɑl	hal	488	Dutch				hall	*xallō
438	h aː m ə r	*xamarăz	h aː m ə r ( - - )	haːmər	hamer	120	Dutch				hammer	*xamarăz
394	h ɑ n t	*xanduz	h ɑ n t ( - - )	hɑnt	hand	108	Dutch				hand	*xanduz
532	h ɑ n d ə l ə	*xandlōjanăn	h ɑ n d ə l ( ə - - - - - )	hɑndələ	handelen	145	Dutch				handle	*xandlōjanăn
1531	h ɛ r f s t	*xarbistuz	h ɛ r f - s t ( - - )	hɛrfst	herfst	419	Dutch				harvest	*xarbistuz
1337	h ɛ b ə	*xabēnăn	h ɛ b ə - ( - - )	hɛbə	hebben	366	Dutch				have	*xabēnăn
756	h aː x	*xagōn	h aː x ( - - )	haːx	haag	207	Dutch				haw	*xagōn
1797	h aː v ɪ k	*xabukăz	h aː v ɪ k ( - - )	haːvɪk	havik	492	Dutch				hawk	*xabukăz
811	h oː j	*xawwją	h oː - ( j - - )	hoːj	hooi	222	Dutch				hay	*xawwjăn
491	h aː z ə l aː r	*xaslăz	h aː z ə l ( aː r )	haːzəlaːr	hazelaar	134	Dutch				hazel	*xaslăz
254	h oː f t	*xaubudą	h oː f ( - ) t ( - - )	hoːft	hoofd	70	Dutch				head	*xaubudăn
189	h eː l ə	*xailjanăn	h eː l - ə - ( - - )	heːlə	helen	53	Dutch				heal	*xailjanăn
114	h ɑ r t	*xertōn	h ɑ r t ( - - )	hɑrt	hart	32	Dutch				heart	*xertōn
1512	h aː r t	*xerθăz	h aː r t ( - - )	haːrt	haard	414	Dutch				hearth	*xerθăz
1074	h eː m ə l	*xemenăz	h eː m ə ( l - - )	heːməl	hemel	294	Dutch				heaven	*xemenăz
386	h ɛ x	*xagjăz	h ɛ x - ( - - )	hɛx	heg	106	Dutch				hedge	*xagjăz
633	h ɛ l m	*xelmăz	h ɛ l m ( - - )	hɛlm	helm	174	Dutch				helm	*xelmăz
1446	h ɛ l p ə	*xelpanăn	h ɛ l p ə - ( - - )	hɛlpə	helpen	395	Dutch				help	*xelpanăn
479	h ʉ l p	*xelpō	h ʉ l p -	hʉlp	hulp	131	Dutch				help	*xelpō
93	h ɑu ʋ ə	*xawwanăn	h - ɑu ʋ ə - ( - - )	hɑuʋə	houwen	26	Dutch				hew	*xawwanăn
487	h ɪ n d ə	*xendjō	h ɪ n d - ə	hɪndə	hinde	133	Dutch				hind	*xendjō
1251	h ɑu d ə	*xaldanăn	h ɑu - d ə - ( - - )	hɑudə	houden	343	Dutch				hold	*xaldanăn
12	h eː m	*xaimăz	h eː m ( - - )	heːm	heem	532	Dutch				home	*xaimăz
375	h oː n ɪ ŋ	*xunăgą	h oː n ɪ - ( - ŋ )	hoːnɪŋ	honing	103	Dutch				honey	*xunagăn
1891	h uː f	*xōfăz	h uː f ( - - )	huːf	hoef	518	Dutch				hoof	*xōfăz
625	h oː r n	*xurnăn	h oː r n ( - - )	hoːrn	hoorn	172	Dutch				horn	*xurnăn
338	h ɔ n t	*xundăz	h ɔ n t ( - - )	hɔnt	hond	93	Dutch				hound	*xundăz
1838	k n eː d ə	*knedanăn	k n eː d ə - ( - - )	kneːdə	kneden	503	Dutch				knead	*knedanăn
908	k n iː	*knewą	k n iː ( - - - )	kniː	knie	249	Dutch				knee	*knewăn
771	k n ɛ x t	*knakkăz	k n ɛ x - t	knɛxt	knecht	211	Dutch				knight	*knakkăz
539	k n oː p	*knuppăz	k n oː p ( - - )	knoːp	knoop	147	Dutch				knob	*knuppăz
405	l aː d ə	*laθōjanăn	l aː d ( - ) - ə - ( - - )	laːdə	laden	111	Dutch				lade	*laθōjanăn
1355	l ɑ n t	*landą	l ɑ n t ( - - )	lɑnt	land	371	Dutch				land	*landăn
1554	l ɑ p	*labbăz	l ɑ p ( - - )	lɑp	lap	426	Dutch				lap	*labbăz
1063	l ɑ x ə	*lakanăn	l ɑ x ə - ( - - )	lɑxə	lachen	291	Dutch				laugh	*lakanăn
1746	l ɛɪ d ə	*laidjanăn	l ɛɪ d - ə - ( - - )	lɛɪdə	leiden	478	Dutch				lead	*laidjanăn
664	l oː f	*laubą	l oː f ( - - )	loːf	loof	182	Dutch				leaf	*laubăn
787	l uː k	*laukăz	l uː k ( - - )	luːk	look	215	Dutch				leek	*laukăz
922	l aː t ə	*lētanăn	l aː t ə - ( - - )	laːtə	laten	253	Dutch				let	*lētanăn
1599	l ɪ k ə	*likkōjanăn	l ɪ k ( - ) - ə - ( - - )	lɪkə	likken	438	Dutch				lick	*likkōjanăn
1641	l ɪ t	*liθuz	l ɪ t ( - - )	lɪt	lid	450	Dutch				lid	*liθuz
839	l ɛɪ f	*lībą	l ɛɪ f ( - - )	lɛɪf	lijf	230	Dutch				life	*lībăn
528	l ɪ x t ə	*leuxtjanăn	l ɪ x t - ə - ( - - )	lɪxtə	lichten	144	Dutch				light	*leuxtjanăn
122	l ɛɪ m	*līmą	l ɛɪ m ( - - )	lɛɪm	lijm	34	Dutch				lime	*līmăn
1727	l ɪ n d ə	*lendō	l ɪ n d ( ə - )	lɪndə	linde	473	Dutch				linden	*lendō
945	l ɛɪ n	*līnăn	l ɛɪ n ( - - )	lɛɪn	lijn	259	Dutch				line	*līnăn
1438	l ɛɪ s t	*līstōn	l ɛɪ s t ( - - )	lɛɪst	lijst	393	Dutch				list	*līstōn
617	l eː v ə	*libēnăn	l eː v ə - ( - - )	leːvə	leven	170	Dutch				live	*libēnăn
213	l eː v ə r	*librō	l eː v ə r ( - )	leːvər	lever	59	Dutch				liver	*librō
904	l eː m	*laimōn	l eː m ( - - )	leːm	leem	248	Dutch				loam	*laimōn
258	l eː t	*laiθăz	l eː t ( - - )	leːt	leed	71	Dutch				loath	*laiθăz
1150	l ɔ k	*lukkăz	l ɔ k ( - - )	lɔk	lok	315	Dutch				lock	*lukkăz
1826	l œy s	*lūsz	l œy s ( - )	lœys	luis	500	Dutch				louse	*lūsz
892	l ɔ ŋ	*lungwą	l ɔ ŋ - ( - - )	lɔŋ	long	245	Dutch				lung	*lungwăn
1329	l ʉ s t	*lustuz	l ʉ s t ( - - )	lʉst	lust	364	Dutch				lust	*lustuz
371	l oː x	*laugō	l oː x -	loːx	loog	102	Dutch				lye	*laugō
1457	m aː k ə	*makōjanăn	m aː k ( - ) - ə - ( - - )	maːkə	maken	398	Dutch				make	*makōjanăn
989	m ɑu t	*maltăz	m ɑu - t ( - - )	mɑut	mout	271	Dutch				malt	*maltăz
1928	m ɑ n	*marīn	m ɑ ( - - ) n	mɑn	man	529	Dutch				man	*marīn
44	m ɑ r k	*markō	m ɑ r k -	mɑrk	mark	12	Dutch				march	*markō
1712	m ɑ s t	*mastăz	m ɑ s t ( - - )	mɑst	mast	469	Dutch				mast	*mastăz
239	m aː l	*mēlą	m aː l ( - - )	maːl	maal	66	Dutch				meal	*mēlăn
75	m eː n ə	*mainjanăn	m eː n - ə - ( - - )	meːnə	menen	21	Dutch				mean	*mainjanăn
1576	m ɑ x t	*maxtiz	m ɑ x t ( - - )	mɑxt	macht	432	Dutch				might	*maxtiz
668	m ɛ l k	*melukz	m ɛ l - k ( - )	mɛlk	melk	183	Dutch				milk	*melukz
760	m aː n t	*mēnōθz	m aː n - t ( - )	maːnt	maand	208	Dutch				month	*mēnōθz
719	m uː t	*mōdăz	m uː t ( - - )	muːt	moed	197	Dutch				mood	*mōdăz
1620	m uː d ə r	*mōdēr	m uː d ə r	muːdər	moeder	444	Dutch				mother	*mōdēr
1580	n aː ɣ ə l	*naglăz	n aː ɣ ə l ( - - )	naːɣəl	nagel	433	Dutch				nail	*naglăz
82	n aː m	*namōn	n aː m - ( - )	naːm	naam	23	Dutch				name	*namōn
629	n aː f	*nabō	n aː f ( - )	naːf	naaf	173	Dutch				nave	*nabō
431	n aː v ə l	*nablōn	n aː v ə l ( - - )	naːvəl	navel	118	Dutch				navel	*nablōn
1166	n ɛ k	*xnakkăz	- n ɛ k ( - - )	nɛk	nek	319	Dutch				neck	*xnakkăz
483	n oː t	*naudiz	n oː t ( - - )	noːt	nood	132	Dutch				need	*naudiz
126	n aː l t	*nēθlō	n aː - - l ( t )	naːlt	naald	35	Dutch				needle	*nēθlō
318	n ɛ s t	*nistą	n ɛ s t ( - - )	nɛst	nest	88	Dutch				nest	*nistăn
468	n ɛ t	*natją	n ɛ t - ( - - )	nɛt	net	128	Dutch				net	*natjăn
1541	n ɑ x t	*naxtz	n ɑ x t ( - )	nɑxt	nacht	422	Dutch				night	*naxtz
130	n ɑ x t m ɛ r iː	*marōn	( n ɑ x t ) m ɛ r ( iː - )	nɑxtmɛriː	nachtmerrie	36	Dutch				nightmare	*marōn
326	n eː ɣ ə	*newun	n eː ɣ ə -	neːɣə	negen	90	Dutch				nine	*newun
1734	n øː s	*nasō	n øː s -	nøːs	neus	475	Dutch				nose	*nasō
604	eː n	*end	- eː n ( - )	eːn	een	166	Dutch				one	*end
1012	oː v ə	*ufnăz	oː v ə - ( - - )	oːvə	oven	277	Dutch				oven	*ufnăz
686	ɔ s	*uxsōn	ɔ - s - ( - )	ɔs	os	188	Dutch				ox	*uxsōn
1070	r eː ɣ ə	*regnăn	r eː ɣ ə - ( - - )	reːɣə	regen	293	Dutch	MT			rain	*regnăn
877	r eː ɣ ə m b oː x	*regna-bugōn	r eː ɣ ə ( m - b oː x - - )	reːɣəmboːx	regenboog	241	Dutch				rainbow	*regna-bugōn
185	r aː f	*xrabnăz	- r aː f - - ( - - )	raːf	raaf	52	Dutch				raven	*xrabnăz
1648	r aː d ɛ n	*rēdanăn	r aː d ɛ n ( - - )	raːdɛn	raden	452	Dutch				read	*rēdanăn
708	r oː k	*raukiz	r oː k ( - - )	roːk	rook	194	Dutch				reek	*raukiz
167	r ɛɪ d ə	*rīdanăn	r ɛɪ d ə - ( - - )	rɛɪdə	rijden	47	Dutch				ride	*rīdanăn
1385	r ʉ k	*rukkiz	r ʉ k ( - - )	rʉk	ruk	379	Dutch				rock	*rukkiz
1738	r eː	*raixōn	r eː ( - - - )	reː	ree	476	Dutch				roe	*raixōn
499	r œy m	*rūmą	r œy m ( - - )	rœym	ruim	136	Dutch				room	*rūmăn
1306	r ɛɪ p	*raipą	r ɛɪ p ( - - )	rɛɪp	rijp	358	Dutch				rope	*raipăn
1672	r uː r	*rōθrăz	r uː - - r ( - - )	ruːr	roer	458	Dutch				rudder	*rōθrăz
737	r uː s t	*rustō	r uː s t ( - )	ruːst	roest	202	Dutch				rust	*rustō
1464	r ɔ ɣ ə	*rugiz	r ɔ ɣ ə ( - )	rɔɣə	rogge	400	Dutch				rye	*rugiz
941	z ɛɪ l	*seglą	z ɛɪ - - l ( - - )	zɛɪl	zeil	258	Dutch				sail	*seglăn
138	z aː k	*sakō	z aː k -	zaːk	zaak	38	Dutch				sake	*sakō
1215	z ɑu t	*saltą	z ɑu - t ( - - )	zɑut	zout	333	Dutch				salt	*saltăn
334	z ɑ l f	*salbō	z ɑ l f -	zɑlf	zalf	92	Dutch				salve	*salbō
977	s ɑ p	*sapōn	s ɑ p ( - - - )	sɑp	sap	268	Dutch				sap	*sapōn
1490	z eː	*sai	z eː	zeː	zee	408	Dutch				sea	*sai
514	z oː m	*saumăz	z oː m ( - - )	zoːm	zoom	140	Dutch				seam	*saumăz
107	z uː k ə	*sōkjanăn	z uː k - ə - ( - - )	zuːkə	zoeken	30	Dutch				seek	*sōkjanăn
1381	z ɛ n d ə	*sandjanăn	z ɛ n d - ə - ( - - )	zɛndə	zenden	378	Dutch				send	*sandjanăn
1819	z ɛ t ə	*satjanăn	z ɛ t - ə - ( - - )	zɛtə	zetten	498	Dutch				set	*satjanăn
177	z eː v ə	*sebun	z eː v ə -	zeːvə	zeven	50	Dutch				seven	*sebun
1861	s x ɑ x t	*skaftą	s x ɑ x t ( - - )	sxɑxt	schacht	510	Dutch				shaft	*skaftăn
1427	s x eː r ə	*skeranăn	s x eː r ə - ( - - )	sxeːrə	scheren	390	Dutch				shear	*skeranăn
1117	s x eː d ə	*skaiθiz	s x eː d ə ( - )	sxeːdə	schede	306	Dutch				sheath	*skaiθiz
1371	s x aː p	*skēpą	s x aː p ( - - )	sxaːp	schaap	375	Dutch				sheep	*skēpăn
310	s x ɪ l t	*skelduz	s x ɪ l t ( - - )	sxɪlt	schild	86	Dutch				shield	*skelduz
1401	s x ɛɪ n ə	*skīnanăn	s x ɛɪ n ə - ( - - )	sxɛɪnə	schijnen	383	Dutch				shine	*skīnanăn
591	s x ɑu d ə r	*skuldrō	s x ɑu - d ə r ( - )	sxɑudər	schouder	162	Dutch				shoulder	*skuldrō
1442	s x œy v ə	*skeubanăn	s x œy v ə - ( - - )	sxœyvə	schuiven	394	Dutch				shove	*skeubanăn
723	s x ɔ f ə l	*skūflō	s x ɔ f ə l ( - )	sxɔfəl	schoffel	198	Dutch				shovel	*skūflō
1287	s x ɑu ʋ ə	*skawōjanăn	s x ɑu ʋ - - ə - ( - - )	sxɑuʋə	schouwen	353	Dutch				show	*skawōjanăn
1750	z eː f	*sibăz	z eː f ( - - )	zeːf	zeef	479	Dutch				sieve	*sibăz
1569	z ɪ ŋ ə	*sengwanăn	z ɪ ŋ - ə - ( - - )	zɪŋə	zingen	430	Dutch				sing	*sengwanăn
1609	z ɛ ŋ ə	*sangjanăn	z ɛ ŋ - - ə - ( - - )	zɛŋə	zengen	441	Dutch				singe	*sangjanăn
1055	z ʉ s t ə r	*swestēr	z - ʉ s t ə r	zʉstər	zuster	289	Dutch				sister	*swestēr
1191	z ɪ t ə	*setjanăn	z ɪ t - ə - ( - - )	zɪtə	zitten	326	Dutch				sit	*setjanăn
1162	z ɛ s	*sexs	z ɛ - s	zɛs	zes	318	Dutch				six	*sexs
1146	s l aː n	*slaxanăn	s l aː - - n ( - - )	slaːn	slaan	314	Dutch				slay	*slaxanăn
1668	s l aː p ə	*slēpanăn	s l aː p ə - ( - - )	slaːpə	slapen	457	Dutch				sleep	*slēpanăn
1912	s l ɛɪ m	*slīmą	s l ɛɪ m ( - - )	slɛɪm	slijm	524	Dutch				slime	*slīmăn
1815	s m eː r ə	*smerwjanăn	s m eː r - - ə - ( - - )	smeːrə	smeren	497	Dutch				smear	*smerwjanăn
1059	s n eː ʋ	*snaigwăz	s n eː ( ʋ - - )	sneːʋ	sneeuw	290	Dutch				snow	*snaigwăz
1100	z ɔ r x	*surgō	z ɔ r x -	zɔrx	zorg	301	Dutch				sorrow	*surgō
1325	z iː l	*saiwălō	z iː - - l -	ziːl	ziel	363	Dutch				soul	*saiwălō
1359	s p ɑ n ə	*spannanăn	s p ɑ n ə - ( - - )	spɑnə	spannen	372	Dutch				span	*spannanăn
1232	s p ɑ r	*sparrōn	s p ɑ r - -	spɑr	spar	338	Dutch				spar	*sparrōn
