file	key	status	page	reason	citation_chunk_before	citation_chunk_after	paragraph
1975-calf-ċealf.model.md	BosworthToller1898	localized	131		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 131]	Clark Hall gives `cealf I. (æ, e) nm. (nap. cealfru)`, and Bosworth-Toller likewise records `Caelf` / `Cealf` beside plural forms such as `calfur` and `cealfru` [@ClarkHall1960; @BosworthToller1898]. Campbell and Fulk show the same singular-plus-`-r-` plural pattern [@Campbell1959; @Fulk2018, 193]. The spelling `ċealf` used here makes the palatalized initial explicit; the ordinary attested dictionary headword is `cealf`.
1975-calf-ċealf.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@Campbell1959; @Fulk2018, 193]		Clark Hall gives `cealf I. (æ, e) nm. (nap. cealfru)`, and Bosworth-Toller likewise records `Caelf` / `Cealf` beside plural forms such as `calfur` and `cealfru` [@ClarkHall1960; @BosworthToller1898]. Campbell and Fulk show the same singular-plus-`-r-` plural pattern [@Campbell1959; @Fulk2018, 193]. The spelling `ċealf` used here makes the palatalized initial explicit; the ordinary attested dictionary headword is `cealf`.
1979-corn-corn.model.md	BosworthToller1898	localized	144		[@ClarkHall1960; @BrightCassidyRingler1971, 347; @BosworthToller1898]	[@ClarkHall1960; @BrightCassidyRingler1971, 347; @BosworthToller1898, 144]	Clark Hall gives `corn n. 'corn,' grain`, Bright's glossary lists `corn, n.` with genitive singular `cornes`, and Bosworth-Toller treats `corn` as an ordinary noun headword [@ClarkHall1960; @BrightCassidyRingler1971, 347; @BosworthToller1898]. The target is therefore an attested citation form, while forms such as `cornes` simply provide paradigm background.
1987-deed-dǣd.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		Campbell states that Primitive Germanic `ē` appears as West Saxon `ǣ` but in other Old English dialects mostly as `ē`, and Brunner gives the contrast explicitly as West Saxon `dǣd` beside non-West-Saxon `dēd` [@Campbell1959; @SieversBrunner1965]. Clark Hall likewise lists `dæd` and cross-refers Anglian `dēd` to it [@ClarkHall1960]. West Saxon `dǣd` is therefore the relevant Old English form here, with Anglian `dēd` as a dialectal doublet.
1987-deed-dǣd.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @SieversBrunner1965]		From inherited `*dēdiz`, loss of final `-z` and the West Saxon lowering of stressed long `ē` yield `dǣd`; Anglian `dēd` preserves the non-West-Saxon outcome [@Campbell1959; @SieversBrunner1965]. The development treated here is therefore the regular West Saxon line.
1990-dill-dile.model.md	BosworthToller1898	localized	164		[@BosworthToller1898; @ClarkHall1960]	[@BosworthToller1898, 164; @ClarkHall1960]	Old English dictionaries record the plant name as `dile`, alongside the variant `dili` [@BosworthToller1898; @ClarkHall1960]. The form discussed here is therefore an attested Old English noun with single `l`.
2003-fare-faran.model.md	BosworthToller1898	localized	108		[@BosworthToller1898]	[@BosworthToller1898, 108]	Clark Hall lemmatizes the strong verb as `faran` and separately records weak `færan` 'to frighten'; `fære`, `færst`, and `færð` belong to present-tense forms of `faran` rather than to the infinitive itself [@ClarkHall1960]. Bosworth-Toller preserves the same distinction [@BosworthToller1898]. The selected target is therefore the attested citation infinitive `faran`.
2003-fare-faran.model.md	Campbell1959	localized	61		[@Campbell1959]	[@Campbell1959, 61]	Kroonen gives the inherited strong verb as `*faran-`, and Orel gives the same lexeme as `*faranan`, both with Old English `faran` among the reflexes [@Kroonen2013; @Orel2003, 132]. Campbell also uses `faran` as a standard example of Old English A-restoration [@Campbell1959].
2003-fare-faran.model.md	Campbell1959	localized	61		[@Campbell1959]	[@Campbell1959, 61]	From `*fáraną`, Anglo-Frisian brightening first gives `*færaną`, but A-restoration before single `r` returns `*faraną`; later apocope and weak-tail reduction yield `faran` [@Campbell1959]. Fulk's contrast with participial `faren- < *faræn- < *faran-` shows why fronting elsewhere in the paradigm does not alter the infinitive headword [@Fulk2018].
2004-fast-festan.model.md	BosworthToller1898	localized	213		"[@BosworthToller1898;
@ClarkHall1960]"	"[@BosworthToller1898, 213;
@ClarkHall1960]"	Old English dictionaries record forms such as `festan`, alongside related `fæstan` / `fǣstan` spellings and meanings [@BosworthToller1898; @ClarkHall1960]. The form selected here is **`festan`**, which fits the regular class-I phonological development.
2008-fern-fearn.model.md	BosworthToller1898	localized	219		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 219]	Clark Hall gives `fearn` as an Old English noun, and Bosworth-Toller records `fearn` with inflected forms such as `fearnes`, `fearna`, and `fearne` [@ClarkHall1960; @BosworthToller1898]. Kroonen's additional `fern` remains useful comparative background, but the best-supported citation target in the local lexical sources is `fearn` [@Kroonen2013].
2008-fern-fearn.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		From `*fárnaz`, loss of final `-z` and final `-a` gives `*fárn`; Anglo-Frisian brightening then yields `*færn`, and breaking before `r` plus consonant gives `fearn` [@Campbell1959; @RingeTaylor2014]. The development treated here is therefore the regular `rC`-breaking line.
2011-find-fundene.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898]		Bosworth-Toller records **`fundene`** under `findan` as an Old English participial form [@BosworthToller1898]. Clark Hall likewise preserves the participial stem in forms such as `funden` and `tō-fundennes` [@ClarkHall1960].
2011-find-fundene.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @Luick1914; @SieversBrunner1965]		That distinction matters because the familiar dictionary form `funden` is not the cleanest inherited comparison. Campbell, Luick, and Brunner treat the better-known nominative participial forms as analogically leveled from inflected cases of the paradigm [@Campbell1959; @Luick1914; @SieversBrunner1965]. The selected input therefore targets the cell in which the regular development is most transparent.
2011-find-fundene.model.md	Luick1914	broad		claim remained too general or handbook-level for a precise Luick page locator	[@Campbell1959; @Luick1914; @SieversBrunner1965]		That distinction matters because the familiar dictionary form `funden` is not the cleanest inherited comparison. Campbell, Luick, and Brunner treat the better-known nominative participial forms as analogically leveled from inflected cases of the paradigm [@Campbell1959; @Luick1914; @SieversBrunner1965]. The selected input therefore targets the cell in which the regular development is most transparent.
2013-fire-fȳre.model.md	BosworthToller1898	localized	288		[@BosworthToller1898]	[@BosworthToller1898, 288]	Bosworth-Toller records **`fyr`** as the noun 'fire' and also preserves oblique **`fyre`** in the Old English record [@BosworthToller1898]. The first is the regular inherited outcome of the phonological development from the selected input; the second shows the later restoration of a final `-e` within the paradigm.
2013-fire-fȳre.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	"[@RingeTaylor2014; @Hogg1992;
@Campbell1959]"		From `*fūri`, i-umlaut changes `ū` to `ȳ`, and subsequent loss of the final high vowel after a heavy syllable yields **`fȳr`** [@RingeTaylor2014; @Hogg1992; @Campbell1959]. The inherited phonology is complete at that point.
2016-flask-flasce.model.md	BosworthToller1898	localized	235		[@BosworthToller1898; @ClarkHall1960, 121]	[@BosworthToller1898, 235; @ClarkHall1960, 121]	Old English dictionaries record the noun as `flasce`, with inflectional support from forms such as `flascan`; a later West Saxon `flaxe` is also noted as a secondary variant [@BosworthToller1898; @ClarkHall1960, 121].
2016-flask-flasce.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		From `*fláskōn`, the weak feminine passes through the expected loss of `n` and the later Old English development of the unstressed ending, reaching `flasce`. Once the weak feminine formation is chosen, the noun follows a regular path to its Old English shape [@Campbell1959].
2022-fly-flēogan.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@ClarkHall1960; @BosworthToller1898; @BrightCassidyRingler1971]		Clark Hall and Bosworth-Toller record `flēogan` as the ordinary Old English strong verb, and Bright gives the familiar paradigm `flēag, flugon, flogen` with present `fleogeð` [@ClarkHall1960; @BosworthToller1898; @BrightCassidyRingler1971]. The target in this entry is therefore the attested verbal infinitive itself.
2027-follow-fylġan.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898]		The Old English evidence preserves both formations. Clark Hall gives `folgian` and cross-refers to `fylgan`, while also listing `fylgan` with variant spellings `fylgian` and `fyligan` [@ClarkHall1960]. Bosworth-Toller likewise has separate entries for `folgian` and `fylgean` [@BosworthToller1898].
2028-forlorn-lēosan.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@RingeTaylor2014; @ClarkHall1960; @BosworthToller1898]		The direct Old English evidence behind English `forlorn` lies in the prefixed verb `forlēosan` and especially in the participle `forloren`, recorded by Ringe and Taylor and in the dictionaries [@RingeTaylor2014; @ClarkHall1960; @BosworthToller1898]. The simplex infinitive `lēosan` represents the verbal base itself.
2034-fright-fyrhte.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898]		Bosworth-Toller records **`fyrhte`** with multiple textual attestations, and it also records nominative forms such as `fyrhtu` and `fyrhto` [@BosworthToller1898]. The noun must be kept distinct from the adjective `forht`, a distinction also reflected in Clark Hall [@ClarkHall1960].
2034-fright-fyrhte.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		From `*fúrxtīnaz`, the oblique in-stem develops through the loss and weakening of the final ending and the regular OE history summarized by Campbell as `-e < -i < -in` in this class of abstracts [@Campbell1959]. That yields `fyrhte`.
2037-gall-ġealla.model.md	BosworthToller1898	localized	297		"[@BosworthToller1898;
@ClarkHall1960, 145; @BrightCassidyRingler1971, 372]"	"[@BosworthToller1898, 297;
@ClarkHall1960, 145; @BrightCassidyRingler1971, 372]"	Old English dictionaries record the noun as `gealla`, and Bright also gives the dative `geallan`, confirming a weak-noun paradigm [@BosworthToller1898; @ClarkHall1960, 145; @BrightCassidyRingler1971, 372]. The form used here, **`ġealla`**, is a normalized spelling with macrons omitted and palatal `<ġ>` made explicit.
2037-gall-ġealla.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		Campbell also notes dialectal variation, contrasting West Saxon or Kentish `gealla` with Anglian `galla` [@Campbell1959]. The target of this entry is the West Saxon type `ġealla`.
2037-gall-ġealla.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		From `*gállô`, the weak noun develops through the expected Old English history of the suffix and the regular breaking environment before `ll`, yielding `ġealla` [@Campbell1959]. Once the weak masculine input is chosen, the noun follows a regular path to its attested Old English form.
2038-gang-gang.model.md	BosworthToller1898	localized	159		[@ClarkHall1960; @BosworthToller1898; @BrightCassidyRingler1971, 392]	[@ClarkHall1960; @BosworthToller1898, 159; @BrightCassidyRingler1971, 392]	Clark Hall and Bosworth-Toller both record `gang` as the noun 'going, journey, way', and Bright's glossary gives `gong (gang), m., path, course` [@ClarkHall1960; @BosworthToller1898; @BrightCassidyRingler1971, 392]. The target is therefore the attested noun headword itself.
2038-gang-gang.model.md	BosworthToller1898	localized	159		[@ClarkHall1960; @BosworthToller1898]	[@ClarkHall1960; @BosworthToller1898, 159]	This entry concerns the noun `gang`, not the separate verb `gangan` [@ClarkHall1960; @BosworthToller1898].
2041-give-ġiefan.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@Campbell1959; @ClarkHall1960]		Campbell gives `gefan (W-S giefan)` among examples of initial palatalization, and Clark Hall records the verb under plain `giefan` with forms such as `geaf` and `giefen` [@Campbell1959; @ClarkHall1960]. The spelling `ġiefan` used here makes the palatal initial explicit.
2041-give-ġiefan.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@Campbell1959; @RingeTaylor2014]		From `*gébaną`, initial `g` palatalizes before `e`; West Saxon palatal diphthongization then yields `ie`, and later tail reduction gives `giefan` [@Campbell1959; @RingeTaylor2014]. The result is therefore the regular West Saxon infinitive.
2043-gold-gold.model.md	BosworthToller1898	localized	121		[@BosworthToller1898; @ClarkHall1960, 152]	[@BosworthToller1898, 121; @ClarkHall1960, 152]	Bosworth-Toller and Clark Hall both record `gold` as the ordinary Old English neuter noun [@BosworthToller1898; @ClarkHall1960, 152]. The target is therefore the attested citation form itself.
2043-gold-gold.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@Campbell1959; @RingeTaylor2014, 42]		From `*gúlθą`, the regular consonant development gives `*gúldą`; Northwest Germanic / Old English lowering then yields `*góldą`, and apocope gives `gold` [@Campbell1959; @RingeTaylor2014, 42].
2046-grave-grafan.model.md	Campbell1959	localized	61		[@Campbell1959; @RingeTaylor2014]	[@Campbell1959, 61; @RingeTaylor2014]	Campbell gives `grafan` among the standard examples of Old English a-restoration before a single consonant and a following back vowel, and Ringe and Taylor describe the same development for Class VI infinitives [@Campbell1959; @RingeTaylor2014].
2046-grave-grafan.model.md	Campbell1959	localized	61		[@Campbell1959; @RingeTaylor2014]	[@Campbell1959, 61; @RingeTaylor2014]	From `*grábaną`, Anglo-Frisian brightening first gives a fronted stem vowel. A-restoration then returns `a` before single `b` plus the back-vocalic infinitive ending, and later apocope and weak-tail reduction yield `grafan` [@Campbell1959; @RingeTaylor2014].
2049-guest-ġiest.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960]		Bosworth-Toller and Clark Hall record the word under forms such as `gist`, `gest`, `giest`, and `gyst` [@BosworthToller1898; @ClarkHall1960]. The selected target `ġiest` is the normalized West Saxon form within that attested family.
2049-guest-ġiest.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@RingeTaylor2014; @BosworthToller1898]		West Saxon `ġiest` is the selected target here. Anglian `gest` and related spellings remain real Old English comparators rather than corrections to that choice [@RingeTaylor2014; @BosworthToller1898].
2049-guest-ġiest.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		Campbell and Ringe-Taylor treat the noun as an ordinary i-stem whose West Saxon development shows palatal diphthongization, while non-West-Saxon evidence preserves forms of the `gest` type [@Campbell1959; @RingeTaylor2014].
2049-guest-ġiest.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		From `*gástiz`, Anglo-Frisian brightening gives a `gæst-` stage, and i-mutation affects the front vowel before the lost high-vocalic ending. In West Saxon the initial palatal environment then produces `ie`, so the regular outcome is `ġiest` [@Campbell1959; @RingeTaylor2014].
2051-hair-hǣr.model.md	BosworthToller1898	localized	510		[@ClarkHall1960, 158; @BosworthToller1898]	[@ClarkHall1960, 158; @BosworthToller1898, 510]	Clark Hall and Bosworth-Toller record `hær` / `hǣr` as the ordinary Old English noun 'hair' [@ClarkHall1960, 158; @BosworthToller1898]. The target is therefore the attested headword itself.
2053-hammer-hameres.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898]		Bosworth-Toller directly records **`hameres`** in an Old English genitival phrase [@BosworthToller1898]. The same dictionary tradition and Clark Hall also preserve the simplex headword as `hamor` or `hamer` [@BosworthToller1898; @ClarkHall1960, 160].
2053-hammer-hameres.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960, 160]		Bosworth-Toller directly records **`hameres`** in an Old English genitival phrase [@BosworthToller1898]. The same dictionary tradition and Clark Hall also preserve the simplex headword as `hamor` or `hamer` [@BosworthToller1898; @ClarkHall1960, 160].
2057-harvest-hierfest.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960]		Bosworth-Toller and Clark Hall record `hærfest`, with `herfest` as a variant in the lexical tradition [@BosworthToller1898; @ClarkHall1960]. Those attested forms remain the main dictionary evidence for the noun.
2057-harvest-hierfest.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@RingeTaylor2014; @Campbell1959]		From `*xárbistuz`, Anglo-Frisian brightening, breaking, and i-mutation produce a `hierbist-` stage, and later lowering of unstressed medial `i` to `e` gives `hierfest`. That is the regular West Saxon development treated here [@RingeTaylor2014; @Campbell1959].
2058-have-hæfeþ.model.md	BosworthToller1898	broad		local Bosworth-Toller supplement did not contain a clean supplement entry sufficient to verify the cited base-dictionary evidence	[@BosworthToller1898; @ClarkHall1960, 157]		The ordinary Old English headword is `habban`, while the present paradigm also shows forms of the `hæf-` type [@BosworthToller1898; @ClarkHall1960, 157]. Campbell notes occasional unsyncopated forms that support the normalized target **`hæfeþ`** [@Campbell1959].
2058-have-hæfeþ.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@Campbell1959]		The ordinary Old English headword is `habban`, while the present paradigm also shows forms of the `hæf-` type [@BosworthToller1898; @ClarkHall1960, 157]. Campbell notes occasional unsyncopated forms that support the normalized target **`hæfeþ`** [@Campbell1959].
2058-have-hæfeþ.model.md	Campbell1959	broad		passage found but page or claim scope could not be verified tightly enough for a locator	[@RingeTaylor2014; @Campbell1959]		From `*xábēθi`, early apocope of final `-i`, subsequent vowel changes, and the regular fricative outcome of `b` in this environment yield `hæfeþ` [@RingeTaylor2014; @Campbell1959]. The derivation of the finite form itself is regular.
2068-heaven-heofon.model.md	BosworthToller1898	localized	43		"[@ClarkHall1960;
@BosworthToller1898]"	"[@ClarkHall1960;
@BosworthToller1898, 43]"	Old English dictionaries record the standard West Saxon noun as **`heofon`**, alongside Anglian or Mercian `hefen` material [@ClarkHall1960; @BosworthToller1898]. Campbell also cites an earlier stage `hefzen` in the history of the word [@Campbell1959].
2068-heaven-heofon.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959; @RingeTaylor2014]		That difference matters for the West Saxon target. The back-vocalic oblique stem provides the environment for the diphthong seen in `heofon`, whereas a front-vocalic stem yields Anglian or Mercian `hefen` / `heofen` [@Campbell1959; @RingeTaylor2014].
2068-heaven-heofon.model.md	Campbell1959	broad		claim remained too general or spread across broader/multi-page Campbell discussion	[@Campbell1959]		Old English dictionaries record the standard West Saxon noun as **`heofon`**, alongside Anglian or Mercian `hefen` material [@ClarkHall1960; @BosworthToller1898]. Campbell also cites an earlier stage `hefzen` in the history of the word [@Campbell1959].
