NUMBER	ENGLISH	OLD_ENGLISH	IPA_RAW
140	to say	cweþan, seċġan	/ˈkweðɑn/, /ˈsed.d͡ʒɑn/
141	to sing	singan	/ˈsiŋɡɑn/
142	to play	plegian	/ˈpleɣiɑn/
143	to float	flēotan	/ˈfleːo̯tɑn/
144	to flow	flōwan	/ˈfloːwɑn/
145	to freeze	frēosan	/ˈfreːo̯zɑn/
146	to swell	swellan	/ˈswel.lɑn/
147	sun	sunne	/ˈsun.ne/
148	moon	mōna	/ˈmoːnɑ/
149	star	steorra	/ˈsteo̯rˠ.rˠɑ/
150	water	wæter	/ˈwæter/
151	rain	reġn	/ˈrejn̩/
152	river	ēa	/æːɑ̯/
153	lake	mere	/ˈmere/
154	sea	sǣ	/sæː/
155	salt	sealt	/sæɑ̯ɫt/
156	stone	stān	/stɑːn/
157	sand	sand	/sɒnd/
158	dust	dust	/dust/
159	earth	eorþe	/eo̯rˠðe/
160	cloud	wolcn	/ˈwoɫkn̩/
161	fog	mist	/mist/
162	sky	heofon	/ˈheo̯von/
163	wind	wind	/wind/
164	snow	snāw	/snɑːw/
165	ice	īs	/iːs/
166	smoke	smoca	/smo.ka/
167	fire	fȳr	/fyːr/
168	ash	æsċe	/ˈæʃ.ʃe/
169	to burn	birnan (intransitive), bærnan (transitive)	/ˈbirˠ.nɑn/, /ˈbærˠ.nɑn/
170	road	weġ, strǣt	/wej/, /stræːt/
171	mountain	beorg, dūn, munt	/beo̯rˠɣ/, /duːn/, /munt/
172	red	rēad	/ræːɑ̯d/
173	green	grēne	/ˈɣreːne/
174	yellow	ġeolu	/ˈjeo̯ɫu/
175	white	hwīt	/ʍiːt/
176	black	sweart	/swæɑ̯rˠt/
177	night	niht	/niçt/
178	day	dæġ	/dæj/
179	year	ġēar	/jæːɑ̯r/
180	warm	wearm	/wæɑ̯rˠm/
181	cold	ċeald	/t͡ʃæɑ̯ɫd/
182	full	full	/fuɫː/
183	new	nīewe	/ˈniːy̯we/
184	old	eald	/æɑ̯ɫd/
185	good	gōd	/ɣoːd/
186	bad	yfel	/ˈyvel/
187	rotten	fūl, rotod (also ġerotod)	/fuːl/, /rotod/
188	dirty	horiġ	/ˈhorij/
189	straight	riht	/riçt/
190	round	sinewealt	/ˈsinewæɑ̯ɫt/
191	sharp (as a knife)	sċearp	/ʃæɑ̯rˠp/
192	dull (as a knife)	stump	/stump/
193	smooth	smēþe	/ˈsmeːðe/
194	wet	wǣt	/wæːt/
195	dry	drȳġe	/ˈdryːje/
196	correct	riht	/riçt/
197	near	nēah	/næːɑ̯x/
198	far	feorr	/feo̯rˠː/
199	right	swīþra	/ˈswiːðrɑ/
200	left	winestra	/ˈwinestrɑ/
201	at	æt	/æt/
202	in	on	/on/
203	with	mid	/mid/
204	and	and	/ɒnd/
205	if	ġif	/jif/
206	because	for þon þe (because), for	/for θon θe/, /for/
207	name	nama	/ˈnɒmɑ/
