row_id	lexical_item	counterpart	proto	protoform	derivation_class	proposed_protoform_stage	protoform_variety	decision_type	confidence	model_entry_path	evidence
2058	have	hæfeþ	*xabēną	*xábēθi	late_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md	3sg pres. indic. (lautgesetzlich); inf. habban is analogical (umlaut leveled, Fulk §12.47)
2068	heaven	heofon	*xémenaz	*xébun	early_analogy	nsgmc		post_pgmc_historical_input	high	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	Selected input is northern WGmc / pre-OE *xébun (Ringe-Taylor *hebun), NOT the PGmc citation *xémenaz. Early paradigm remodelling generalized the labial - regul
2086	knight	cniht	*kníxtaz	*knéxtaz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2086-knight-cniht.model.md	Proto corrected to *knextăz per R/T vol.2 p.127, Orel p.220, Kluge-Seebold
2087	knob	cnobba	*knúppaz	*knúbbô	reconstructed_oe	pgmc		pgmc_morphological_variant	high	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Both *knúppaz (voiceless) and *knúbbô (voiced weak-noun) are Proto-Germanic morphological variants (Kroonen 2011:297); selected input *knúbbô is a PGmc paradigm/formation variant.
2088	lade	hladan	*laθōjaną	*xláðaną	early_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2088-lade-hladan.model.md	Wiktionary: PGmc *hlaðaną (Verner) > OE hladan | Proto encoding: -aną (full vowel) for A-restoration; R/T §6.3.1
2090	lap	lappa	*lábbaz	*láppô	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2090-lap-lappa.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2092	laugh	hliehhan	*lákaną	*xláxjaną	early_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	§17.40: target hlæhhan → hliehhan (WS form per Bright p.597, Brunner §392,4; Anglian hlæhhan attested as variant — cascade defaults to WS). Added *x to PWGmcJGe
2101	life	līf	*lī́bą	*lḯbą	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2103	lime	līm	*lī́mą	*lḯmą	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2105	line	līne	*lī́nōn	*lḯnōn	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2106	list	līste	*lī́stōn	*lḯstōn	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2107	live	lifeþ	*libēną	*líbēθi	late_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2107-live-lifeþ.model.md	3sg pres. indic. (archaic North. lifed); infinitive libban shows j-gemination from *libjăną stem, not *-ē- stem
2109	loam	lām	*laimōn	*láimą	early_analogy	preoe	transponent	post_pgmc_oe_internal_class_shift	provisional	Germanic/docs/lexeme_reports/model_entries/2109-loam-lām.model.md	PGmc is the n-stem *laimô(n) (Orel 2003:272; Kroonen 2013:363). Selected neuter a-stem *láimą is an OE-internal class reformation, explicitly not reconstructible as a PGmc a-stem (research memo 2109). Model transponent: input chosen to drive the OE derivation.
2114	lung	lungen	*lungō	*lúnganjō	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2114-lung-lungen.model.md	*lunganjō (ō-stem feminine with *-anjō suffix; Wiktionary Reconstruction:Proto-Germanic/*lunganjō). OE lungen specifically reflects the *-anjō derivative.
2119	man	mannes	*mánnaz	*mánnas	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2119-man-mannes.model.md	Gen.sg. paradigm cell: *mannas → mannes. Word-final geminates are phonologically simplified (Kurath 1956, Brunner §231); using gen.sg. preserves medial geminate
2124	meed	meorde	*mizdō	*mízdai	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	Paradigm-cell switch to dat.sg. *mízdai > meorde, the directly-attested OE oblique (Bede 4.17 var.; Phoenix 17; GD 227.16; gen.pl. meorda GD 312.14). Lautgesetz
2133	navel	nafola	*nablô	*nábulô	early_analogy	pwgmc		post_pgmc_historical_stage	high	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	R/T 2014:270 (index): PNWGmc *nabulaz > PWGmc *nabulō; CAPR PROTOFORM *nábulô = PWGmc *nabulō. (Supersedes prior pnwgmc and the erroneous 'p.11090' citation, which was an OCR line number, not a page.)
2134	neck	hnecca	*xnákkaz	*xnékkô	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2136	needle	nǣdl	*nḗθlō	*nḗðlō	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model.md	R/T p.435: PGmc *nēdlō has Verner's alternation; OE nǣdl reflects *d variant
2140	night	niht	*náxtz	*náxti	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2140-night-niht.model.md	R/T vol.2 13912-15: OE niht < dat.sg. *nahti (i-umlaut); nom.sg. *nahts > neaht
2143	nose	nosu	*nasō	*núsō	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2143-nose-nosu.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2151	reek	rēac	*ráukiz	*ráukaz	reconstructed_oe	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2151-reek-rēac.model.md	Retargeted 2026-04-30 from attested Anglian rēc (smoothing relic) to reconstructed West Saxon *rēac. The FST cascade already produces rēac from *ráukaz by regul
2152	rest	ræste	*rastō	*rástōz	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2152-rest-ræste.model.md	Oblique (ō-stem gen.sg.) *rastōz > ræste: PGmc gen.sg. *-ōz did not undergo NWGmcFinalLongORaising (R/T §5.1.3) because *-ō was not word-final (*-z still presen
2153	ride	rīdan	*rī́daną	*rḯdaną	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2168	sap	sæp	*sapōn	*sápą	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2168-sap-sæp.model.md	OE neut. a-stem (Hall, K-S); Kroonen: n-stem *safō dissolved dialectally
2169	sea	sǣ	*sái	*sáiwiz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md	Kroonen (2013): *saiwi- m. 'sea', i-stem; R/T §6.7.1: *w lost before *i → *sāwi > *sǣi > sǣ
2182	shine	sċīnan	*skī́naną	*skḯnaną	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2183	shoulder	sċuldrum	*skuldrō	*skúldramiz	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2183-shoulder-sċuldrum.model.md	DatPl encoding: PROTOFORM is PGmc-proper *-amiz (inst.pl. branch of dat./inst. merger). See DEV_NOTES §17.41.
2184	shove	sċēaf	*skéubaną	*skáub	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md	1/3 sg pret. of *sċūfan 'to shove, push' (class II strong). Retargeted from 3pl pret. *skúbun → sċufon (analogical-overlay) per DEV_NOTES §17.51.A1.4 and dossie
2188	side	sīde	*sī́dōn	*sḯdōn	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2189	sieve	sife	*síbaz	*síbi	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2189-sieve-sife.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2197	slime	slīm	*slī́mą	*slḯmą	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2203	span	spanne	*spannō	*spánnai	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2203-span-spanne.model.md	Dat.sg. paradigm-cell (Brunner §252). Fem. ō-stem dat.sg. *-ai preserves medial geminate; unstressed word-final *ai→*ē (R/T §6.1.5; §17.12).
2205	spare	sparian	*sparēną	*spárōjaną	early_analogy	preoe	transponent	post_pgmc_morphological_refashioning	provisional	Germanic/docs/lexeme_reports/model_entries/2205-spare-sparian.model.md	PGmc/PWGmc verb is class-III *sparē- (Kroonen; Go. sparan, OHG sparēn, ON spara). R/T 2014:191 give the pre-OE class-II refashioning *spærōjan > OE sparian; selected class-II *spárōjaną is that pre-OE form. Model transponent (code already treats sparian as the one transponent row).
2212	staff	stæf	*stábiz	*stábaz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2212-staff-stæf.model.md	Kroonen: *staba- m. 'staff; letter' (a-stem). OE stæf has æ (not e), ruling out i-stem *-iz. Using a-stem *stabăz.
2216	stem	stefn	*stámnaz	*stámniz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md	Selected input is the i-stem variant *stámniz (Orel 2003:371, *stamnaz ~ *stamniz); citation reconstruction remains *stámnaz. Under literal adjacent SC022 (mn>β
2235	swan	swanes	*swánaz	*swánas	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2235-swan-swanes.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2238	swine	swīn	*swī́ną	*swḯną	regular	pgmc		same_stage_pgmc_model_encoding	high	Germanic/docs/lexeme_reports/model_entries/2238-swine-swīn.model.md	Proto: oblique *swīnăn→*swīną (n. a-stem nom.sg.; Kroonen) §17.46 Phase 2: PROTOFORM accented (ḯ = stressed long *ī, U+1E2F) so NWGmcInStemNLoss does not fire o
2250	thistle	þistles	*θéstilaz	*θístilas	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	Paradigm-cell target: GenSg þistles (masc. a-stem). NomSg simplex *þistl is unattested in OE manuscripts; the only attested simplex NomSg is broken þistel (via
2252	thousand	þūsend	*θūs-undī	*θūs-èndi	early_analogy	preoe	transponent	post_pgmc_analogical_oe_form	provisional	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md	Medial -e- is an OE-specific analogical development (Vorbild ærende < *arundiju), not regular phonology; PWGmc/OS/OHG retain -u- (thūsund). Selected *θūs-èndi is the OE-oriented transponent input (DEV_NOTES §14.7).
2257	tide	tīd	*tī́diz	*tḯdiz	regular	pgmc		same_stage_pgmc_model_encoding	high	Germanic/docs/lexeme_reports/model_entries/2257-tide-tīd.model.md	Kroonen *tīdiz f. i-stem 'time, hour' → OE tīd f.; tīdan is the verb 'to happen'
2258	timber	timber	*tímrą	*tímbrą	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2258-timber-timber.model.md	Kroonen *timbra- with *b; OE timber.
2268	wake	wacan	*wakēną	*wákaną	early_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2268-wake-wacan.model.md	OE wacan is the strong verb (Class VI) 'to wake up' < PGmc *wakaną, not the weak Class III *wakēną 'to be awake' (→ OE wacian). The cognate set GLOSSID 299 conf
2274	water	wæter	*wátną	*wátōr	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2274-water-wæter.model.md	Kroonen *watar-/*watan- r/n-stem, nom.sg. *watōr; R/T §3.1.4 *ō→*a before final *r in PWGmc.
2284	whale	hwæl	*wálaz	*xwálaz	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2284-whale-hwæl.model.md	Kroonen *hwalaz with initial *hw-; OE hwæl.
2285	while	hwīl	*xwī́lō	*xwḯlō	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2286	whine	hwīnan	*wainōjaną	*xwḯnaną	early_analogy	pgmc		same_stage_pgmc_alternative_formation	high	Germanic/docs/lexeme_reports/model_entries/2286-whine-hwīnan.model.md	(no TSV NOTE; PGmc paradigm/stem variant)
2290	wife	wīf	*wī́bą	*wḯbą	regular	pgmc		same_stage_pgmc_model_encoding	high		(no TSV NOTE; PGmc paradigm/stem variant)
2296	withy	wīþiġ	*wáiθiz	*wḯθagą	early_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md	Campbell §275(7), §376: OE -ig < PGmc *-ag- (cf. *xúnagą → huniġ); see DEV_NOTES §17.10.35 and notable_findings §9. Wiktionary/Kluge *wīþja- cannot derive -ig (
2302	world	weorold	*wíra-àldiz	*wír-àldu	early_analogy	pgmc	transponent	pgmc_base_model_transponent	provisional	Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md	R/T 2014:341 anchor the compound as PNWGmc *weraldiz (lowered *wer-), with the ō/u-stem shift a later/branch-level innovation. CAPR *wír-àldu keeps the older *wir- vowel (Orel 2003; Kluge-Seebold *wira-aldō) but post-PGmc ō/u-stem morphology: a genuine transponent whose vowel and morphology belong to different stages. Base recorded pgmc; flagged transponent.
2308	youth	ġeoguþ	*júgunθiz	*júgunθ	early_analogy	pwgmc		post_pgmc_apocope	provisional	Germanic/docs/lexeme_reports/model_entries/2308-youth-ġeoguþ.model.md	R/T 2014:141: PWGmc *jugunþi > *jugiþ > OE geoguþ. Selected *júgunθ is post-early-apocope (PWGmcEarlyIApocope, FST line 1593); apocope is early/PWGmc-internal. Final *-i loss precedes i-umlaut (Campbell §332).
2309	make (iptv.2sg)	maca	*makōną	*mákô	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2309-make-(iptv.2sg)-maca.model.md	Class II weak iptv. 2sg test (R/T §5.2). Trimoric *ō → OE -a.
2310	make (3sg)	macaþ	*makōną	*mákōθi	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2310-make-(3sg)-macaþ.model.md	Class II weak 3sg pres. indic. Regular: *-ōθi → -aþ (Campbell §355.4, R/T vol.2 p.80). No i-umlaut: 3sg ending never had -j-. Forms with -eþ are dialectal (Camp
2311	bore (iptv.2sg)	bora	*burōną	*búrô	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2311-bore-(iptv.2sg)-bora.model.md	Class II weak iptv. 2sg test. Trimoric *ō → OE -a.
2312	bore (3sg)	boraþ	*burōną	*búrōθi	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	Class II weak 3sg pres. indic. Regular: *-ōθi → -aþ (Campbell §355.4). No i-umlaut: 3sg ending never had -j-. Forms with -eþ are dialectal.
2313	learn (iptv.2sg)	liorna	*liznōjaną	*líznô	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2313-learn-(iptv.2sg)-liorna.model.md	Northumbrian iptv.2sg. Uses io from regular breaking; WS leorna has leveled eo.
2314	learn (3sg)	liornaþ	*liznōjaną	*líznōθi	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2314-learn-(3sg)-liornaþ.model.md	Class II weak 3sg. Regular: *-ōθi → -aþ. Root has io from breaking before rn. No i-umlaut: 3sg ending never had -j-. Forms with -eþ are dialectal (Campbell §757
2315	lick (iptv.2sg)	licca	*likkōną	*líkkô	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2315-lick-(iptv.2sg)-licca.model.md	Class II weak iptv. 2sg test. Trimoric *ō → OE -a.
2316	lick (3sg)	liccaþ	*likkōną	*líkkōθi	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2316-lick-(3sg)-liccaþ.model.md	Class II weak 3sg pres. indic. Regular: *-ōθi → -aþ. No i-umlaut: 3sg ending never had -j-. Root has cc from WGmc gemination.
2317	show (iptv.2sg)	sċēawa	*skawōną	*skáwô	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2317-show-(iptv.2sg)-sċēawa.model.md	Class II weak iptv. 2sg test. Trimoric *ō → OE -a. Normalized sċ: Campbell §440.
2318	show (3sg)	sċēawaþ	*skawōną	*skáwōθi	late_analogy	pgmc		same_stage_pgmc_paradigm_cell	high	Germanic/docs/lexeme_reports/model_entries/2318-show-(3sg)-sċēawaþ.model.md	Class II weak 3sg pres. indic. Regular: *-ōθi → -aþ. No i-umlaut: 3sg ending never had -j-. Normalized sċ: Campbell §440.
