ENGLISH	OE_FORM	SOURCE	DETAIL	PAGE
flask	flasce	inh	template:inh	flask
flax	fleax	inh	template:inh	flax
flea	flēah	inh	template:inh	flea
flee	flēon	inh	template:inh	flee
flesh	flǣsċ	inh	template:inh	flesh
flood	flōd	inh	template:inh	flood
fly	flȳġe	inh	template:inh	fly
foal	fola	inh	template:inh	foal
fold	fealdan	inh	template:inh	fold
folk	folc	inh	template:inh	folk
follow	folgian	inh	template:inh	follow
forlorn	forloren	inh	template:inh	forlorn
four	fēower	inh	template:inh	four
fowl	fugol	inh	template:inh	fowl
fox	fox	inh	template:inh	fox
freeze	frēosan	inh	template:inh	freeze
friend	frēond	inh	template:inh	friend
fright	fryhtu	inh	template:inh	fright
frost	forst	inh	template:inh	frost
furrow	furh	inh	template:inh	furrow
gall	ġealla	inh	template:inh	gall
gang	gangan	inh	template:inh	gang
ghost	gāst	inh	template:inh	ghost
gift	ġift	inh	template:inh	gift
give	giefan	der	template:der	give
god	god	inh	template:inh	god
gold	gold	inh	template:inh	gold
goose	gōs	inh	template:inh	goose
grass	græs	inh	template:inh	grass
grave	græf	inh	template:inh	grave
gripe	grīpan	inh	template:inh	gripe
ground	grund	inh	template:inh	ground
guest	appear	text	Old English link	guest
hail	hæġl	inh	template:inh	hail
hair	hǣr	inh	template:inh	hair
hall	heall	inh	template:inh	hall
hammer	hamor	inh	template:inh	hammer
hand	hand	inh	template:inh	hand
handle	handle	der	template:der	handle
harm	hearm	inh	template:inh	harm
harvest	hærfest	inh	template:inh	harvest
have	habban	inh	template:inh	have
haw	haga	inh	template:inh	haw
hawk	hafoc	inh	template:inh	hawk
hay	hīeġ	inh	template:inh	hay
hazel	hæsl	inh	template:inh	hazel
head	hēafod	inh	template:inh	head
heal	hǣlan	inh	template:inh	heal
heart	heorte	inh	template:inh	heart
hearth	heorþ	inh	template:inh	hearth
heath	hǣþ	inh	template:inh	heath
heaven	heofon	inh	template:inh	heaven
hedge	heċġ	inh	template:inh	hedge
helm	helma	inh	template:inh	helm
help	help	inh	template:inh	help
herd	hierd	inh	template:inh	herd
hew	hēawan	inh	template:inh	hew
hind	hindan	inh	template:inh	hind
hoard	hord	inh	template:inh	hoard
hold	hold	der	template:der	hold
home	hām	inh	template:inh	home
honey	huniġ	inh	template:inh	honey
hood	hōd	inh	template:inh	hood
hoof	hōf	inh	template:inh	hoof
horn	horn	inh	template:inh	horn
hound	hund	inh	template:inh	hound
knead	cnedan	inh	template:inh	knead
knee	cnēow	inh	template:inh	knee
knight	cniht	inh	template:inh	knight
lade	hladan	inh	template:inh	lade
land	land	inh	template:inh	land
lap	læppa	inh	template:inh	lap
last	lǣstan	der	template:der	last
laugh	hlæhhan	inh	template:inh	laugh
lead	lēad	inh	template:inh	lead
leaf	lēaf	inh	template:inh	leaf
learn	leornian	inh	template:inh	learn
leather	leþer	inh	template:inh	leather
leek	lēac	inh	template:inh	leek
let	lǣtan	der	template:der	let
lick	liccian	inh	template:inh	lick
lid	hlid	inh	template:inh	lid
life	līf	inh	template:inh	life
light	lēoht	inh	template:inh	light
lime	līm	inh	template:inh	lime
linden	linden	inh	template:inh	linden
line	līne	inh	template:inh	line
list	līste	inh	template:inh	list
live	lifian	inh	template:inh	live
liver	lifer	inh	template:inh	liver
loam	lām	inh	template:inh	loam
loath	lāð	inh	template:inh	loath
lock	loc	inh	template:inh	lock
louse	lūs	inh	template:inh	louse
lung	lungen	inh	template:inh	lung
lust	lust	inh	template:inh	lust
lye	lēah	inh	template:inh	lye
make	macian	der	template:der	make
malt	mealt	der	template:der	malt
man	mann	inh	template:inh	man
march	mearcian	inh	template:inh	march
mast	mæst	der	template:der	mast
meal	mǣl	inh	template:inh	meal
mean	mǣnan	inh	template:inh	mean
meed	mēd	inh	template:inh	meed
might	miht	inh	template:inh	might
milk	meolc	inh	template:inh	milk
month	mōnaþ	inh	template:inh	month
mood	mōd	inh	template:inh	mood
mother	mōdor	inh	template:inh	mother
nail	næġl	inh	template:inh	nail
name	nama	inh	template:inh	name
nave	nafu	inh	template:inh	nave
navel	nafola	inh	template:inh	navel
neck	hnecca	inh	template:inh	neck
need	nīed	inh	template:inh	need
needle	nǣdl	inh	template:inh	needle
nest	nest	inh	template:inh	nest
net	net	inh	template:inh	net
nettle	netle	inh	template:inh	nettle
night	niht	inh	template:inh	night
nightmare	mære	inh	template:inh (unattested; reconstructed *nihtmare) (OE mære attested (cognate with -mare); compound not attested)	nightmare
nine	nigon	inh	template:inh	nine
nose	nosu	inh	template:inh	nose
one	ān	inh	template:inh	one
oven	ofn	inh	template:inh	oven
ox	oxa	inh	template:inh	ox
rain	reġn	inh	template:inh	rain
rainbow	reġnboga	inh	template:inh	rainbow
raven	hræfn	inh	template:inh	raven
read	rǣdan	inh	template:inh	read
reek	rēc	inh	template:inh	reek
rest	ræst	inh	template:inh	rest
ride	rīdan	inh	template:inh	ride
rind	rind	inh	template:inh	rind
rock	rocc	inh	attested in compound stānrocc; cognate with ModE rock	rock
roe	-	inh	template:inh (unattested; reconstructed *hrogn)	roe
rood	rōd	inh	template:inh	rood
room	rūm	inh	template:inh	room
rope	rāp	inh	template:inh	rope
rudder	rōþor	inh	template:inh	rudder
run	rinnan	inh	template:inh	run
rust	rust	inh	template:inh	rust
rye	ryġe	inh	template:inh	rye
sail	seġl	inh	template:inh	sail
sake	sacu	inh	template:inh	sake
salt	sealt	inh	template:inh	salt
salve	sealf	inh	template:inh	salve
sap	sæp	inh	template:inh	sap
sea	sǣ	inh	template:inh	sea
seam	sēam	inh	template:inh	seam
seek	sēċan	inh	template:inh	seek
send	sendan	inh	template:inh	send
set	settan	inh	template:inh	set
seven	seofon	inh	template:inh	seven
shaft	sċeaft	inh	template:inh	shaft
shame	sċamu	inh	template:inh	shame
shear	sċieran	inh	template:inh	shear
sheath	sċēaþ	inh	template:inh	sheath
sheep	persona	text	Old English link	sheep
shield	scield	inh	template:inh	shield
shilling	sċilling	inh	template:inh	shilling
shine	sċīnan	inh	template:inh	shine
shoulder	sċuldra	inh	template:inh	shoulder
shove	sċūfan	inh	template:inh	shove
shovel	scofl	inh	template:inh	shovel
show	scēawian	inh	template:inh	show
shower	sċūr	inh	template:inh	shower
side	sīde	inh	template:inh	side
sieve	sife	inh	template:inh	sieve
sing	singan	inh	template:inh	sing
singe	senġan	inh	template:inh	singe
sister	swustor	inh	template:inh	sister
sit	sittan	inh	template:inh	sit
six	six	inh	template:inh	six
slay	slēan	inh	template:inh	slay
sleep	slǣp	inh	template:inh	sleep
slime	slīm	inh	template:inh	slime
smear	smerian	inh	template:inh	smear
snow	snāw	inh	template:inh	snow
sorrow	sorg	inh	template:inh	sorrow
soul	sāwol	inh	template:inh	soul
span	spann	inh	template:inh	span
spar	sperran	der	template:der	spar
spare	spær	inh	template:inh	spare
spear	spere	inh	template:inh	spear
spin	spinnan	inh	template:inh	spin
spindle	spindle	inh	template:inh	spindle
spoon	spōn	inh	template:inh	spoon
spread	sprǣdan	inh	template:inh	spread
spur	spora	inh	template:inh	spur
staff	stæf	inh	template:inh	staff
start	styrtan	inh	template:inh	start
starve	steorfan	inh	template:inh	starve
steal	viedä	text	Old English link	steal
stem	stemn	inh	template:inh	stem
still	stille	inh	template:inh	still
stilt	-	inh	template:inh (unattested; reconstructed *stilte)	stilt
stock	stocc	inh	template:inh	stock
stone	stān	inh	template:inh	stone
stool	stōl	inh	template:inh	stool
stork	storc	inh	template:inh	stork
storm	storm	der	template:der	storm
straw	strēaw	inh	template:inh	straw
stream	strēam	inh	template:inh	stream
stretch	streċċan	inh	template:inh	stretch
strew	strewian	inh	template:inh	strew
string	strenġ	inh	template:inh	string
stud	stōd	inh	template:inh	stud
summer	sumor	der	template:der	summer
sun	sunne	inh	template:inh	sun
sunder	sundor-	der	template:der	sunder
sup	sūpan	inh	template:inh	sup
swallow	swelgan	inh	template:inh	swallow
swan	swan	inh	template:inh	swan
swell	swellan	inh	template:inh	swell
swim	swimman	inh	template:inh	swim
swine	swīn	inh	template:inh	swine
sword	sweord	inh	template:inh	sword
tap	tæppa	inh	template:inh	tap
team	tēam	inh	template:inh	team
ten	tīen	inh	template:inh	ten
thane	þæġn	inh	template:inh	thane
thanks	þancas	inh	template:inh	thanks
thatch	þæc	inh	template:inh	thatch
thief	þēof	inh	template:inh	thief
thing	þing	inh	template:inh	thing
think	þenċan	inh	template:inh	think
thirst	þurst	inh	template:inh	thirst
thistle	þistel	inh	template:inh	thistle
thorn	þorn	inh	template:inh	thorn
thousand	þūsend	inh	template:inh	thousand
thrash	þresċan	inh	template:inh	thrash
three	þrī	inh	template:inh	three
thunder	þunor	inh	template:inh	thunder
tick	ticia	inh	template:inh	tick
tide	tīdan	der	template:der	tide
timber	timber	der	template:der	timber
toe	tā	inh	template:inh	toe
token	tācn	inh	template:inh	token
tongue	tunge	inh	template:inh	tongue
town	tūn	inh	template:inh	town
tread	tredan	inh	template:inh	tread
trough	troh	inh	template:inh	trough
wade	wadan	inh	template:inh	wade
wain	wæġn	inh	template:inh	wain
wake	wacan	inh	template:inh	wake
warp	wearp	inh	template:inh	warp
wart	wearte	inh	template:inh	wart
wash	wasċan	inh	template:inh	wash
wasp	wæsp	inh	template:inh	wasp
water	wæter	inh	template:inh	water
wax	weax	inh	template:inh	wax
way	weġ	inh	template:inh	way
weapon	wǣpn	inh	template:inh	weapon
weasel	weosule	inh	template:inh	weasel
weather	weder	inh	template:inh	weather
weave	wefan	inh	template:inh	weave
west	west	inh	template:inh	west
wether	weþer	inh	template:inh	wether
whale	hwæl	inh	template:inh	whale
while	hwīl	inh	template:inh	while
whine	hwīnan	inh	template:inh	whine
whore	hōre	inh	template:inh	whore
widow	widuwe	inh	template:inh	widow
wield	wealdan	inh	template:inh	wield
wife	wīf	inh	template:inh	wife
wight	wiht	inh	template:inh	wight
will	willan	inh	template:inh	will
wind	wind	inh	template:inh	wind
winter	winter	inh	template:inh	winter
withy	wīþiġ	inh	template:inh	withy
wold	wald	inh	template:inh	wold
wolf	wulf	inh	template:inh	wolf
wonder	wundor	inh	template:inh	wonder
wool	wull	inh	template:inh	wool
word	word	inh	template:inh	word
world	weorold	inh	template:inh	world
worm	wyrm	inh	template:inh	worm
wring	wringan	der	template:der	wring
yarn	ġearn	inh	template:inh	yarn
year	ġēar	inh	template:inh	year
yoke	ġeoc	inh	template:inh	yoke
youth	ġeoguþ	inh	template:inh	youth
fodder	fōdor	text	Wiktionary etymology bullet (fodder → Old English fōdor)	fodder
tongs	tange	text	Wiktionary etymology (tong entry: {{inh|en|ang|tange}})	tong
