emission_id	representative_occurrence_id	emission_path	site	index_command	language	variety	display	sort_key	form_role	source_scope	source_ref	source_occurrence_count	source_occurrence_ids
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}	oe		næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:1
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:2	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nædre}{}}	oe		nædre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:2
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}	oe		næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33:1
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:2	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}	oe		nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:2
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nedron@\iventry{*nḗdrōn}{}}	pgmc		*nḗdrōn	nedron	selected_input	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:1
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}	oe		nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39:1
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}	oe		næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40:1
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:2	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}	oe		bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:2
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:3	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:3	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}	oe		bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:3
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:5	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:5	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}	oe		bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:5
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:4	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:4	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	\index[iv]{05pwgmc@\ivlangheader{Proto-West Germanic}{}!bakan@\iventry{*bakan}{}}	pwgmc		*bakan	bakan	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:4
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bakanan@\iventry{*bakanan}{}}	pgmc		*bakanan	bakanan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:1
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}	oe		bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25:1
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:2	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}	oe		bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:2
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:4	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:4	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}	oe		bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:4
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bakana@\iventry{*bákaną}{}}	pgmc		*bákaną	bakana	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:1
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:3	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:3	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bakana@\iventry{*bákaną}{}}	pgmc		*bákaną	bakana	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29	1	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:3
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:21:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:21:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:21	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bannan@\iventry{*bannan}{}}	pgmc		*bannan	bannan	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:21:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:22:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:22:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:22	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!gebann@\iventry{gebann}{}}	oe		gebann	gebann	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:22	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:22:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:23:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:23:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:23	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!banna@\iventry{*bánną}{}}	pgmc		*bánną	banna	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:23	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:23:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:25:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:25	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bannas@\iventry{*bánnas}{}}	pgmc		*bánnas	bannas	selected_input	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:25	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:25:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:32:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:32:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:32	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!gebann@\iventry{ge-bann}{}}	oe		ge-bann	gebann	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:32	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:32:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:33:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:33:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:33	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!gebanne@\iventry{gebanne}{}}	oe		gebanne	gebanne	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:33	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:33:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bannes@\iventry{bannes}{}}	oe		bannes	bannes	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:40:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:40:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:40	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bannas@\iventry{*bánnas}{}}	pgmc		*bánnas	bannas	selected_input	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:40	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:40:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bannes@\iventry{bannes}{}}	oe		bannes	bannes	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!ban@\iventry{ban}{}}	oe		ban	ban	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:52:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:52:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:52	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!banna@\iventry{*bánną}{}}	pgmc		*bánną	banna	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:52	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:52:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bannas@\iventry{*bánnas}{}}	pgmc		*bánnas	bannas	selected_input	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:1
Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:2	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bannes@\iventry{bannes}{}}	oe		bannes	bannes	target_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53	1	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:2
Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21:1	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bece@\iventry{bēce}{}}	oe		bēce	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21:1
Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bece@\iventry{bēce}{}}	oe		bēce	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25	1	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:1
Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:2	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bece@\iventry{bēċe}{}}	oe		bēċe	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25	1	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:2
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!biginnana@\iventry{*bigínnaną}{}}	pgmc		*bigínnaną	biginnana	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:1
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:2	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!ginnan@\iventry{ginnan}{}}	oe		ginnan	ginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:2
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!beginnan@\iventry{be-ginnan}{}}	oe		be-ginnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:1
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:2	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!beginnan@\iventry{beginnan}{}}	oe		beginnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:2
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:3	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:3	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!beginnan@\iventry{beġinnan}{}}	oe		beġinnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25	1	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:3
