occurrence_id	disposition	emission_id	index_command	exclusion_reason	language	variety	form	display	sort_key	form_role	source_scope	source_ref
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:8	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:8	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!godum@\iventry{gōdum}{}}		oe		gōdum	gōdum	godum	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:9	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:9	\index[iv]{12os@\ivlangheader{Old Saxon}{}!godum@\iventry{gōdum}{}}		os		gōdum	gōdum	godum	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:10	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:10	\index[iv]{11goth@\ivlangheader{Gothic}{}!godamma@\iventry{godamma}{}}		goth		godamma	godamma	godamma	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:11	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:11	\index[iv]{08on@\ivlangheader{Old Norse}{}!berum@\iventry{berum}{}}		on		berum	berum	berum	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:12	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:12	\index[iv]{09ohg@\ivlangheader{Old High German}{}!berumes@\iventry{berumēs}{}}		ohg		berumēs	berumēs	berumes	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:13	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:13	\index[iv]{11goth@\ivlangheader{Gothic}{}!bairam@\iventry{baíram}{}}		goth		baíram	baíram	bairam	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!fedwor@\iventry{*fedwōr}{}}		pgmc		fedwōr	*fedwōr	fedwor	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:2	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!feower@\iventry{fēower}{}}		oe		fēower	fēower	feower	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:3	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:3	\index[iv]{10ofris@\ivlangheader{Old Frisian}{}!fiuwer@\iventry{fiuwer}{}}		ofris		fiuwer	fiuwer	fiuwer	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:4	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:4	\index[iv]{12os@\ivlangheader{Old Saxon}{}!fiuwar@\iventry{fiuwar}{}}		os		fiuwar	fiuwar	fiuwar	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:5	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:5	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!wator@\iventry{*watōr}{}}		pgmc		watōr	*watōr	wator	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:6	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289:6	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!waeter@\iventry{wæter}{}}		oe		wæter	wæter	waeter	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:289
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!fedwor@\iventry{*fedwōr}{}}		pgmc		fedwōr	*fedwōr	fedwor	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304:2	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304:2	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!wator@\iventry{*watōr}{}}		pgmc		watōr	*watōr	wator	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304:3	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304:3	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!waeter@\iventry{wæter}{}}		oe		wæter	wæter	waeter	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:304
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!heofon@\iventry{heofon}{}}		oe		heofon	heofon	heofon	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:2	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:2	\index[iv]{05pwgmc@\ivlangheader{Proto-West Germanic}{}!hebun@\iventry{*hebun}{}}		pwgmc		hebun	*hebun	hebun	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:3	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:3	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!heofon@\iventry{heofon}{}}		oe		heofon	heofon	heofon	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:4	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602:4	\index[iv]{12os@\ivlangheader{Old Saxon}{}!heban@\iventry{heban}{}}		os		heban	heban	heban	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:602
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:900:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:900:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!deuzaz@\iventry{*déuzaz}{}}		pgmc		déuzaz	*déuzaz	deuzaz	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:900
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:901:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:901:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!xurdaz@\iventry{*xúrdaz}{}}		pgmc		xúrdaz	*xúrdaz	xurdaz	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:901
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:902:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:902:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!liznojana@\iventry{*líznōjaną}{}}		pgmc		líznōjaną	*líznōjaną	liznojana	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:902
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:919:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:919:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!rastoz@\iventry{*rástōz}{}}		pgmc		rástōz	*rástōz	rastoz	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:919
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nadra@\iventry{*nadra-}{}}		pgmc		*nadra-	*nadra-	nadra	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nedron@\iventry{*nēdrōn-}{}}		pgmc		*nēdrōn-	*nēdrōn-	nedron	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:2	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}		oe		nǣdre	nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:3	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:3	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}		oe		næddre	næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nedron@\iventry{*nēdrōn}{}}		pgmc		nēdrōn	*nēdrōn	nedron	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:2	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:2	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nadron@\iventry{*nadrōn}{}}		pgmc		nadrōn	*nadrōn	nadron	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}		oe		nǣdre	nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:2	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}		oe		næddre	næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}		oe		næddre	næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:2	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nædre}{}}		oe		nædre	nædre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:32
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}		oe		næddre	næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:33
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nedron@\iventry{*nḗdrōn}{}}		pgmc		nḗdrōn	*nḗdrōn	nedron	selected_input	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:2	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}		oe		nǣdre	nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:38
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}		oe		nǣdre	nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:39
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40:1	emit	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}		oe		næddre	næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:40
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:1	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bakanan@\iventry{*bakanan}{}}		pgmc		bakanan	*bakanan	bakanan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:2	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}		oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:3	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:3	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}		oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:4	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:4	\index[iv]{05pwgmc@\ivlangheader{Proto-West Germanic}{}!bakan@\iventry{*bakan}{}}		pwgmc		bakan	*bakan	bakan	comparison_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:5	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:5	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}		oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25:1	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}		oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:1	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bakana@\iventry{*bákaną}{}}		pgmc		bákaną	*bákaną	bakana	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:2	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}		oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:3	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:3	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!bakana@\iventry{*bákaną}{}}		pgmc		bákaną	*bákaną	bakana	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29
Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:4	emit	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:4	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bacan@\iventry{bacan}{}}		oe		bacan	bacan	bacan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29
Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21:1	emit	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bece@\iventry{bēce}{}}		oe		bēce	bēce	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21
Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:1	emit	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bece@\iventry{bēce}{}}		oe		bēce	bēce	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25
Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:2	emit	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!bece@\iventry{bēċe}{}}		oe		bēċe	bēċe	bece	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:1	emit	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!biginnana@\iventry{*bigínnaną}{}}		pgmc		bigínnaną	*bigínnaną	biginnana	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:2	emit	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!ginnan@\iventry{ginnan}{}}		oe		ginnan	ginnan	ginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:21
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:1	emit	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!beginnan@\iventry{be-ginnan}{}}		oe		be-ginnan	be-ginnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:2	emit	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!beginnan@\iventry{beginnan}{}}		oe		beginnan	beginnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:3	emit	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25:3	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!beginnan@\iventry{beġinnan}{}}		oe		beġinnan	beġinnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:25
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33:1	emit	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!biginnana@\iventry{*bigínnaną}{}}		pgmc		bigínnaną	*bigínnaną	biginnana	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33
Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33:2	emit	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33:2	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!beginnan@\iventry{beġinnan}{}}		oe		beġinnan	beġinnan	beginnan	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md:33
