form	source_path	source_ref	heading	category	sort_key	context	note
*bóraθ	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:33	### Development to Old English	likely_pgmc	bora	Early loss of final **`-i`** first gives **`*búrōθ`** from **`*búrōθi`**. Northwest Germanic lowering then produces **`*bórōθ`**, and late shortening of unstres	
*boraþ	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2404	## SC070. Early fronting of unstressed \emph{*a} (`OEUnstressedFrontingEarly`) {#rule-OEUnstressedFrontingEarly}	likely_pgmc	borath	Its chronology is explicit on both sides. If the rule is moved before [SC052 OEVelarPalatalization](#rule-OEVelarPalatalization), PGmc \emph{*lúnganjō} yields *	
*boraþ	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2418	## SC071. Later shortening of unstressed \emph{*ō} (`OELateOShortening`) {#rule-OELateOShortening}	likely_oe	borath	In prose, the rule shortens the remaining unstressed long \emph{*ō} after the earlier fronting stage has already done its work. This is the stage that leaves th	
*boraþ	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2420	## SC071. Later shortening of unstressed \emph{*ō} (`OELateOShortening`) {#rule-OELateOShortening}	likely_pgmc	borath	Its earlier boundary is the reciprocal side of the [SC070 OEUnstressedFrontingEarly](#rule-OEUnstressedFrontingEarly) relation. If the rule is moved before [SC0	
Boraþ	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:29	### Old English evidence	likely_oe	borath	Campbell's dialect survey allows secondary **`-e-`** and **`-o-`** spellings in 2sg and 3sg class-II forms, but the basic ending remains **`-aþ`** [@Campbell195	
*borian	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2641	## SC082. Intervocalic vocalization of \emph{*j} (`OEIntervocalicJVocalization`) {#rule-OEIntervocalicJVocalization}	likely_pgmc	borian	Its chronology is concrete on both sides. If the rule is moved before [SC081 OEJStrengtheningAfterFrontDiphthong](#rule-OEJStrengtheningAfterFrontDiphthong), PG	
*borian	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:2657	## SC083. Contraction of unstressed \emph{ei} (`OEUnstressedEIContraction`) {#rule-OEUnstressedEIContraction}	likely_pgmc	borian	Its earlier boundary is the reciprocal side of the [SC082 OEIntervocalicJVocalization](#rule-OEIntervocalicJVocalization) relation. If the rule is moved before 	
*bórōθ	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:33	### Development to Old English	likely_pgmc	boro	Early loss of final **`-i`** first gives **`*búrōθ`** from **`*búrōθi`**. Northwest Germanic lowering then produces **`*bórōθ`**, and late shortening of unstres	
brand	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md:22	### Reconstruction and comparative evidence	likely_false_positive	brand	`brand` and its continental cognates [@Orel2003, 53]. The selected	
brand	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md:33	### Old English evidence	likely_oe	brand	Old English dictionaries lemmatize the noun as `brand` [@ClarkHall1960, 49;	
brand	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md:46	### Development to Old English	likely_false_positive	brand	the stressed vowel are the same as in the citation lemma `brand`.	
brand	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md:63	### Form comparison	likely_false_positive	brand	that `brandes` belongs to the same regular a-stem paradigm as `brand`, even	
branda	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md:35	### Old English evidence	likely_oe	branda	`brandas`, `branda`, and `brandum` under the same entry [@BosworthToller1898, 116].	
brandas	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md:35	### Old English evidence	likely_oe	brandas	`brandas`, `branda`, and `brandum` under the same entry [@BosworthToller1898, 116].	
brandum	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md:35	### Old English evidence	likely_oe	brandum	`brandas`, `branda`, and `brandum` under the same entry [@BosworthToller1898, 116].	
bréc	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md:21	### Reconstruction and comparative evidence	likely_nwgmc	brec	Kroonen cites the noun under `*brōk-`, with Old English `brōc` and plural 'breeches' among its reflexes [@Kroonen2013]. Ringe and Taylor give the plural develop	
brēc	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md:25	### Old English evidence	likely_oe	brec	Bright notes `brōc` with plural `brēc`, and Clark Hall gives `brēc fp. breeches` while also listing `broc` as a feminine noun probably represented chiefly in th	
breóst	Germanic/docs/lexeme_reports/model_entries/1968-breast-brēost.model.md	Germanic/docs/lexeme_reports/model_entries/1968-breast-brēost.model.md:34	### Old English evidence	likely_oe	breost	Clark Hall records the noun as `brēost` / `breóst`	
breóstrocc	Germanic/docs/lexeme_reports/model_entries/2155-coat-rocc.model.md	Germanic/docs/lexeme_reports/model_entries/2155-coat-rocc.model.md:25	### Old English evidence	likely_oe	breostrocc	Clark Hall and Bosworth-Toller record `rocc` as an over-garment or tunic and preserve compounds such as `bisceoprocc` and `breóstrocc` [@ClarkHall1960; @Boswort	
briost	Germanic/docs/lexeme_reports/model_entries/1968-breast-brēost.model.md	Germanic/docs/lexeme_reports/model_entries/1968-breast-brēost.model.md:24	### Reconstruction and comparative evidence	likely_false_positive	briost	Norse `brjóst` and Old Saxon `briost` [@Kroonen2013, 114; @Orel2003, 95;	
brōc	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md:21	### Reconstruction and comparative evidence	likely_nwgmc	broc	Kroonen cites the noun under `*brōk-`, with Old English `brōc` and plural 'breeches' among its reflexes [@Kroonen2013]. Ringe and Taylor give the plural develop	
brōc	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md	Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md:25	### Old English evidence	likely_oe	broc	Bright notes `brōc` with plural `brēc`, and Clark Hall gives `brēc fp. breeches` while also listing `broc` as a feminine noun probably represented chiefly in th	
bucca	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:23	### Reconstruction and comparative evidence	likely_oe	bucca	material behind Old English `bucca` [@Orel2003, 62]. The selected input	
bucca	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:29	### Old English evidence	likely_oe	bucca	Old English preserves a mixed lexical picture. Campbell cites `bucca` in the	
bucca	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:31	### Old English evidence	likely_oe	bucca	Hall and Bosworth-Toller show that Old English has both `bucca` and `bucc`	
bucca	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:33	### Old English evidence	likely_oe	bucca	is the target treated here, with `bucca` kept as genuine philological	
būgan	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:31	### Reconstruction and comparative evidence	likely_oe	bugan	of the present stem belongs to the separate history behind `būgan`	
būgan	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:37	### Old English evidence	likely_oe	bugan	`būgan` [@BosworthToller1898, 122; @ClarkHall1960, 45]. The form discussed here is	
būgan	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:41	### Old English evidence	likely_oe	bugan	The ordinary dictionary headword remains `būgan`, but the relevant comparison	
būgan	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:53	### Development to Old English	likely_oe	bugan	seen in `būgan`. The selected input differs from the citation form because the	
būgan	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:69	### Paradigm comparison	likely_oe	bugan	lautgesetzlich path to attested `bēag`, while the citation form `būgan`	
*bukkaz	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:21	### Reconstruction and comparative evidence	likely_pgmc	bukkaz	Kroonen and Orel both reconstruct the word with a geminate stop, `*bukkaz`	
*búrōθ	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md	Germanic/docs/lexeme_reports/model_entries/2312-bore-(3sg)-boraþ.model.md:33	### Development to Old English	likely_pgmc	buro	Early loss of final **`-i`** first gives **`*búrōθ`** from **`*búrōθi`**. Northwest Germanic lowering then produces **`*bórōθ`**, and late shortening of unstres	
byċċ	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md	Germanic/docs/lexeme_reports/model_entries/1973-buck-bucc.model.md:43	### Development to Old English	likely_oe	bycc	introduce i-umlaut and produce a `byċċ`-type form rather than the target.	
Caelf	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md:25	### Old English evidence	likely_oe	caelf	Clark Hall gives [`cealf`]{.iv lang=oe sort=cealf} I. (æ, e) nm. (nap. [`cealfru`]{.iv lang=oe sort=cealfru}), and Bosworth-Toller likewise records `Caelf` / `C	
calfur	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md:25	### Old English evidence	likely_oe	calfur	Clark Hall gives [`cealf`]{.iv lang=oe sort=cealf} I. (æ, e) nm. (nap. [`cealfru`]{.iv lang=oe sort=cealfru}), and Bosworth-Toller likewise records `Caelf` / `C	
Cealf	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md:21	### Reconstruction and comparative evidence	likely_false_positive	cealf	Kroonen treats the noun under `*kalbiz-` and notes an older s-stem `*kalbaz, pl. *kalbizō`, while Orel cites `*kalbaz` as the citation form and Ringe and Taylor	
Cealf	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md:25	### Old English evidence	likely_oe	cealf	Clark Hall gives [`cealf`]{.iv lang=oe sort=cealf} I. (æ, e) nm. (nap. [`cealfru`]{.iv lang=oe sort=cealfru}), and Bosworth-Toller likewise records `Caelf` / `C	
*ċēowan	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:858	## SC033. Long \emph{ēow} before following vowels and weak endings (`OEEwLongDiphthong`) {#rule-OEEwLongDiphthong}	likely_pgmc	ceowan	Its ordinary historical chronology is one-sided. If the rule is delayed until after [SC044 OEBreaking](#rule-OEBreaking), PGmc \emph{*kéwwaną} yields *ċeowan* r	
cneohtas	Germanic/docs/lexeme_reports/model_entries/2086-knight-cniht.model.md	Germanic/docs/lexeme_reports/model_entries/2086-knight-cniht.model.md:34	### Old English evidence	likely_oe	cneohtas	@BosworthToller1898, 71]. Campbell cites plural `cneohtas` among the broken	
cneohtas	Germanic/docs/lexeme_reports/model_entries/2086-knight-cniht.model.md	Germanic/docs/lexeme_reports/model_entries/2086-knight-cniht.model.md:45	### Development to Old English	likely_false_positive	cneohtas	notes the early West-Saxon alternation `cniht` beside plural `cneohtas`	
*cnobba	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:38	### Old English evidence	likely_oe	cnobba	The target **`*cnobba`** is different in status. It is a **reconstructed Old	
*cnobba	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:42	### Old English evidence	likely_oe	cnobba	of `*cnobba` is therefore a modeling and comparative decision rather than a	
*cnobba	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:48	### Development to Old English	likely_pgmc	cnobba	`*cnobba`, with Proto-Germanic `kn-` represented in Old English as `cn-` and	
*cnobba	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:51	### Development to Old English	likely_pgmc	cnobba	The entry therefore does not claim that `*cnobba` is attested. Its claim is	
*cnobba	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:53	### Development to Old English	likely_oe	cnobba	`*cnobba` is the regular Old English form corresponding to that branch.	
*cnobba	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:67	### Reconstruction status	likely_pgmc	cnobba	reconstructed `*cnobba` and attested `cnoppa` is still a comparator-policy	
cnoppa	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:34	### Old English evidence	likely_oe	cnoppa	Clark Hall preserves Old English evidence of the `cnoppa` type	
cnoppa	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:41	### Old English evidence	likely_oe	cnoppa	the attested `cnoppa` branch to stand in for a different prehistory. The choice	
cnoppa	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md	Germanic/docs/lexeme_reports/model_entries/2087-knob-cnobba.model.md:67	### Reconstruction status	likely_false_positive	cnoppa	reconstructed `*cnobba` and attested `cnoppa` is still a comparator-policy	
cornes	Germanic/docs/lexeme_reports/model_entries/1979-corn-corn.model.md	Germanic/docs/lexeme_reports/model_entries/1979-corn-corn.model.md:25	### Old English evidence	likely_oe	cornes	Clark Hall gives `corn n. 'corn,' grain`, Bright's glossary lists `corn, n.` with genitive singular `cornes`, and Bosworth-Toller treats `corn` as an ordinary n	
*cræft	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:1027	## SC041. Loss of final bare \emph{*a} (`PWGmcFinalBareALoss`) {#rule-PWGmcFinalBareALoss}	likely_pgmc	craeft	Its chronology is broad on the left and sharper on the right. If the rule is moved before [SC020 PGmcFinalZDeletion](#rule-PGmcFinalZDeletion), PGmc \emph{*bárd	
craft	Germanic/docs/lexeme_reports/model_entries/1981-craft-cræft.model.md	Germanic/docs/lexeme_reports/model_entries/1981-craft-cræft.model.md:37	### Development to Old English	likely_false_positive	craft	gives `craft`. The a-stem-shaped input `*kráftaz` yields `cræft` and is	
creft	Germanic/docs/lexeme_reports/model_entries/1981-craft-cræft.model.md	Germanic/docs/lexeme_reports/model_entries/1981-craft-cræft.model.md:36	### Development to Old English	likely_false_positive	creft	comparator `*kráftiz` gives `creft`, while the u-stem comparator `*kráftuz`	
cūm	Germanic/docs/lexeme_reports/model_entries/1980-cow-cȳ.model.md	Germanic/docs/lexeme_reports/model_entries/1980-cow-cȳ.model.md:34	### Old English evidence	likely_oe	cum	dat.sg. `cȳ`, nom.-acc.pl. `cȳ`, and dat.pl. `cūm` [@ClarkHall1960, 67]. Ringe	
cūs	Germanic/docs/lexeme_reports/model_entries/1980-cow-cȳ.model.md	Germanic/docs/lexeme_reports/model_entries/1980-cow-cȳ.model.md:42	### Old English evidence	likely_oe	cus	singular is less stable, with `cā`, `cȳ`, `cū(e)`, and `cūs` all appearing in	
*dadiz	Germanic/docs/lexeme_reports/model_entries/1987-deed-dǣd.model.md	Germanic/docs/lexeme_reports/model_entries/1987-deed-dǣd.model.md:21	### Reconstruction and comparative evidence	likely_pgmc	dadiz	Orel reconstructs the noun as `*dēdiz`, and Ringe and Taylor derive the same inherited i-stem from Proto-Germanic `*dédiz` through northwest Germanic `*dadiz` [	
dæd	Germanic/docs/lexeme_reports/model_entries/1987-deed-dǣd.model.md	Germanic/docs/lexeme_reports/model_entries/1987-deed-dǣd.model.md:25	### Old English evidence	likely_oe	daed	Campbell states that Primitive Germanic `ē` appears as West Saxon `ǣ` but in other Old English dialects mostly as `ē`, and Brunner gives the contrast explicitly	
