source_ref	form	display	sort_key	evidence_text	proposed_variety	decision	rationale	upstream_source
Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md:21	haldan	haldan	haldan	Campbell and Ringe-Taylor treat the verb as a regular `a + lC` breaking case, with West Saxon [`healdan`]{.iv lang=oe sort=healdan role=comparison_form} 'hold' opposed to Anglian and Mercian [`haldan`]{.iv lang=oe variety=angl sort=haldan role=comparison_form} 'hold' [@Campbell1959; @RingeTaylor2014	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md:33	haldan	haldan	haldan	West Saxon [`healdan`]{.iv lang=oe sort=healdan role=comparison_form} 'hold' is the selected target here. Anglian and Mercian [`haldan`]{.iv lang=oe variety=angl sort=haldan role=comparison_form} 'hold' are genuine non-West-Saxon doublets rather than corrections to that choice [@Campbell1959; @Ringe	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2102-light-līehtan.model.md:33	lihtan	lihtan	lihtan	Ringe and Taylor and Campbell distinguish West Saxon [`liehtan`]{.iv lang=oe sort=liehtan role=comparison_form} 'light, illuminate' from Anglian [`lihtan`]{.iv lang=oe variety=angl sort=lihtan role=comparison_form} 'light, illuminate', while later West Saxon also shows [`lyhtan`]{.iv lang=oe variety	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2102-light-līehtan.model.md:33	lyhtan	lyhtan	lyhtan	Ringe and Taylor and Campbell distinguish West Saxon [`liehtan`]{.iv lang=oe sort=liehtan role=comparison_form} 'light, illuminate' from Anglian [`lihtan`]{.iv lang=oe variety=angl sort=lihtan role=comparison_form} 'light, illuminate', while later West Saxon also shows [`lyhtan`]{.iv lang=oe variety	lws	annotated	source explicitly labels this occurrence late West Saxon; encoded as narrowest supported assignable variety 'lws'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2107-live-lifeþ.model.md:24	lifed	lifed	lifed	continued in late Northumbrian [`lifed`]{.iv lang=oe variety=north sort=lifed role=comparison_form} 'lives', which they treat as an archaism	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md:33	nafola	nafola	nafola	Ringe and Taylor note the early West Saxon shift [`nafola`] > nafela		not_variety_evidence	describes an EWS sound SHIFT affecting the form, not an EWS attribution of the occurrence	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2196-sleep-slǣpan.model.md:29	slēpan	slēpan	slepan	Anglian or Kentish [`slēpan`] 'sleep'		unresolved	'Anglian or Kentish' has no single assignable code (Kentish is not under Anglian); cannot encode as one scalar; left blank (legitimate unknown-narrower-variety)	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2198-smear-smierwan.model.md:21	smirwan	smirwan	smirwan	Kroonen gives the comparative headword as `*smerwjan-` [@Kroonen2013]. Ringe and Taylor instead cite a later-stage [smirwijana]{.recon} ‘smear’, from which they derive West Saxon [`smierwan`]{.iv lang=oe sort=smierwan role=comparison_form} 'smear', Mercian [`smirwan`]{.iv lang=oe variety=merc sort=s	merc	annotated	source explicitly labels this occurrence Mercian; encoded as narrowest supported assignable variety 'merc'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2198-smear-smierwan.model.md:29	smirwan	smirwan	smirwan	From [smérwijaną]{.recon} ‘smear’, breaking before `r + consonant` yields `eo`, and later i-umlaut produces `ie`. The result is West Saxon [`smierwan`]{.iv lang=oe sort=smierwan role=comparison_form} 'smear'. Anglian [`smirwan`]{.iv lang=oe variety=angl sort=smirwan role=comparison_form} 'smear' ref	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2205-spare-sparian.model.md:32	spæria	spæria	spaeria	Ritual forms, normalized here as spæria, spær, spærede		not_variety_evidence	named manuscript (Durham Ritual) only; no explicit dialect word (no inference from manuscript origin)	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2205-spare-sparian.model.md:33	spearad	spearad	spearad	Vespasian Psalter [`spearad`] 'spare'		not_variety_evidence	named manuscript (Vespasian Psalter) only; no explicit dialect word	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2205-spare-sparian.model.md:35	spærede	spærede	spaerede	Northumbrian [`spæria`]{.iv lang=oe variety=north sort=spaeria} 'spare', [`spærede`]{.iv lang=oe variety=north sort=spaerede} 'spare' beside common Old English [`sparian`]{.iv lang=oe sort=sparian} 'spare' and	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2205-spare-sparian.model.md:35	spæria	spæria	spaeria	Northumbrian [`spæria`]{.iv lang=oe variety=north sort=spaeria} 'spare', [`spærede`]{.iv lang=oe variety=north sort=spaerede} 'spare' beside common Old English [`sparian`]{.iv lang=oe sort=sparian} 'spare' and	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2227-strew-strīeġan.model.md:31	strēzan	strēzan	strezan	[kauwjan]{.recon} 'chew', yielding Anglian [`strēzan`]{.iv lang=oe variety=angl sort=strezan role=comparison_form} 'strew' beside West Saxon forms of	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2227-strew-strīeġan.model.md:38	strēgan	strēgan	stregan	The attested inherited Old English form is [`strēgan`]{.iv lang=oe variety=angl sort=stregan role=comparison_form} 'strew' in Anglian. The attested	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2227-strew-strīeġan.model.md:54	strēgan	strēgan	stregan	This differs from Anglian [`strēgan`]{.iv lang=oe variety=angl sort=stregan role=comparison_form} 'strew', where smoothing removes the diphthongal	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2227-strew-strīeġan.model.md:63	strēgan	strēgan	stregan	| [`strēgan`]{.iv lang=oe variety=angl sort=stregan role=comparison_form} 'strew' | attested Anglian inherited class-I form | proves that the inherited verb survived into Old English |	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2234-swallow-swealwe.model.md:21	swalwe	swalwe	swalwe	Kroonen gives the bird name as `*swalwōn-`, and Ringe and Taylor cite the later West Germanic stage [swalwa]{.recon} ‘swallow’, from which West Saxon [`swealwe`]{.iv lang=oe sort=swealwe role=comparison_form} 'swallow' and Mercian [`swalwe`]{.iv lang=oe variety=merc sort=swalwe role=comparison_form}	merc	annotated	source explicitly labels this occurrence Mercian; encoded as narrowest supported assignable variety 'merc'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2273-wasp-wæfs.model.md:28	wasp	wasp	wasp	explicit by deriving later `wæps` and late West Saxon [`wasp`]{.iv lang=oe variety=lws sort=wasp role=comparison_form} 'wasp' from earlier	lws	annotated	source explicitly labels this occurrence late West Saxon; encoded as narrowest supported assignable variety 'lws'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2297-wold-weald.model.md:25	wald	wald	wald	Clark Hall glosses wald as (N,VPs) — Northumbrian and Vespasian Psalter (Mercian) — making this an explicitly dialect-labelled Anglian form. Ringe and Taylor give WS wealdan ~ Merc. waldan supporting the same Anglian/non-WS distribution.	angl	annotated	Clark Hall explicitly labels wald as Northumbrian and Vespasian Psalter (Mercian); this is source-backed Anglian evidence. Encoded as 'angl' since the evidence supports both Northumbrian and Mercian without a narrower single-dialect basis.	Clark Hall (N,VPs) gloss; RingeTaylor2014 p.313 WS wealdan ~ Merc. waldan
Germanic/docs/lexeme_reports/model_entries/2297-wold-weald.model.md:33	wald	wald	wald	Dialect note cites Clark Hall wald (N,VPs) Northumbrian and Vespasian Psalter; same Clark Hall source-backed evidence applies to this occurrence of wald as to line 25.	angl	annotated	Same Clark Hall (N,VPs) source-backed evidence as line 25. Encoded as 'angl' without sharpening since both N and Mercian VPs are represented.	Clark Hall (N,VPs) gloss
Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md:37	weoruld	weoruld	weoruld	Saxon [`weorold`]{.iv lang=oe sort=weorold role=target_form} 'world' ~ [`worold`]{.iv lang=oe sort=worold role=comparison_form} 'world', Mercian [`weoruld`]{.iv lang=oe variety=merc sort=weoruld role=comparison_form} 'world', Northumbrian	merc	annotated	source explicitly labels this occurrence Mercian; encoded as narrowest supported assignable variety 'merc'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md:38	wiarald	wiarald	wiarald	[`woruld`]{.iv lang=oe sort=woruld role=comparison_form} 'world', and Kentish [`wiarald`]{.iv lang=oe variety=kent sort=wiarald role=comparison_form} 'world' [@RingeTaylor2014, 341]. Sievers-Brunner and Bright present the same wider	kent	annotated	source explicitly labels this occurrence Kentish; encoded as narrowest supported assignable variety 'kent'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2313-learn-(iptv.2sg)-liorna.model.md:60	liornian	liornian	liornian	| lexeme-level infinitive | [`*liznōjaną`]{.iv lang=pgmc sort=liznojana role=source_protoform} | Northumbrian [`liornian`]{.iv lang=oe variety=north sort=liornian role=comparison_form} 'learn'; dictionary headword often [`leornian`]{.iv lang=oe sort=leornian role=comparison_form} 'learn' | [`liornia	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2313-learn-(iptv.2sg)-liorna.model.md:61	liorna	liorna	liorna	| selected imperative singular | [`*líznô`]{.iv lang=pgmc sort=lizno role=selected_input} | trace output and Brunner's Northumbrian [`liorna`]{.iv lang=oe variety=north sort=liorna role=regular_output} | [`liorna`]{.iv lang=oe sort=liorna role=target_form} | exact match |	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2314-learn-(3sg)-liornaþ.model.md:67	liornian	liornian	liornian	| lexeme-level infinitive | [`*liznōjaną`]{.iv lang=pgmc sort=liznojana role=source_protoform} | Northumbrian [`liornian`]{.iv lang=oe variety=north sort=liornian role=comparison_form} 'learn'; dictionary headword often [`leornian`]{.iv lang=oe sort=leornian role=comparison_form} 'learn' | [`liornia	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2314-learn-(3sg)-liornaþ.model.md:69	liorna	liorna	liorna	| imperative singular companion | [`*líznô`]{.iv lang=pgmc sort=lizno role=comparison_form} | trace output and Brunner's Northumbrian [`liorna`]{.iv lang=oe variety=north sort=liorna role=comparison_form} | [`liorna`]{.iv lang=oe variety=north sort=liorna role=comparison_form} | useful control, but 	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:45	heofen	heofen	heofen	Mercian [`heofen`]{.iv lang=oe variety=merc sort=heofen} 'heaven' (Ringe-Taylor)	merc	annotated	source labels this occurrence Mercian; encoded as narrowest supported assignable variety	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:129	hefun	hefun	hefun	earliest witnesses (Cædmon's Hymn) are [`hefun`]{.iv lang=oe variety=north sort=hefun} 'heaven'	north	annotated	Cædmon's Hymn is Northumbrian; encoded as 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:129	hefen	hefen	hefen	[`hefen`]{.iv lang=oe variety=north sort=hefen} 'heaven' (Cædmon's Hymn)	north	annotated	Cædmon's Hymn is Northumbrian; encoded as 'north'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md:130	heben	heben	heben	(Moore Bede) [`heben`]{.iv lang=oe variety=north sort=heben} 'heaven'	north	annotated	Moore Bede is Northumbrian; encoded as 'north'	model-entry .iv span
