audit_id	record_type	entry	layer	file	line	citation_span	broad_keys	appears_in_generated	action_taken	notes
AUDIT01-SCAN-0021	scan_finding	gall / ġealla	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4553	[@Campbell1959]	Campbell1959	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0022	scan_finding	knight / cniht	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4630	[@KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0023	scan_finding	lade / hladan	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4722	[@Kroonen2013]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0024	scan_finding	lap / lappa	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4833	[@SieversBrunner1965]	SieversBrunner1965	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0025	scan_finding	loam / lām	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	4994	[@Orel2003; @Kroonen2013, 363]	Orel2003	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0026	scan_finding	loam / lām	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5004	[@BosworthToller1898; @ClarkHall1960, 196]	BosworthToller1898	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0027	scan_finding	navel / nafola	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5172	[@Kroonen2013; @RingeTaylor2014, 270]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0028	scan_finding	neck / hnecca	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5264	[@KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0029	scan_finding	neck / hnecca	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5267	[@Orel2003]	Orel2003	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0030	scan_finding	needle / nǣdl	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5366	[@Hogg1992]	Hogg1992	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0031	scan_finding	sap / sæp	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5534	[@KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0032	scan_finding	sap / sæp	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5543	[@KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0033	scan_finding	staff / stæf	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	5894	[@KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0034	scan_finding	swan / swanes	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	6080	[@ClarkHall1960]	ClarkHall1960	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0035	scan_finding	withy / wīþiġ	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	6699	[@KlugeSeebold2011; @Orel2003, 503]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0036	scan_finding	world / weorold	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	6802	[@Orel2003; @RingeTaylor2014, 341]	Orel2003	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0037	scan_finding	world / weorold	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	6803	[@KlugeSeebold2011]	KlugeSeebold2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0038	scan_finding	world / weorold	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	6818	[@SieversBrunner1965; @BrightCassidyRingler1971, 465]	SieversBrunner1965	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0039	scan_finding	youth / ġeoguþ	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	6904	[@Kroonen2013]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0040	scan_finding	ban / bannes	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7021	[@ClarkHall1960; @BosworthToller1898, 303]	ClarkHall1960	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0041	scan_finding	ban / bannes	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7031	[@Campbell1959]	Campbell1959	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0042	scan_finding	fright / fyrhte	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7489	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0043	scan_finding	fright / fyrhte	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7497	[@BosworthToller1898]	BosworthToller1898	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0044	scan_finding	fright / fyrhte	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7498	[@ClarkHall1960]	ClarkHall1960	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0045	scan_finding	fright / fyrhte	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7508	[@Campbell1959]	Campbell1959	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0046	scan_finding	hammer / hameres	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7592	[@BosworthToller1898]	BosworthToller1898	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0047	scan_finding	hammer / hameres	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7594	[@BosworthToller1898; @ClarkHall1960, 160]	BosworthToller1898	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0048	scan_finding	have / hæfeþ	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7678	[@Kroonen2013; @RingeTaylor2014, 93]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0049	scan_finding	have / hæfeþ	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7687	[@Fulk2018]	Fulk2018	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0050	scan_finding	man / mannes	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	7986	[@Campbell1959]	Campbell1959	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0051	scan_finding	meed / meorde	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	8072	[@ClarkHall1960; @BosworthToller1898, 647]	ClarkHall1960	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0052	scan_finding	meed / meorde	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	8083	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0053	scan_finding	shove / sċēaf	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	8427	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0054	scan_finding	span / spanne	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	8510	[@Orel2003; @Seebold1970, 450]	Orel2003	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0055	scan_finding	span / spanne	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	8512	[@SieversBrunner1965]	SieversBrunner1965	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0056	scan_finding	span / spanne	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	8519	[@ClarkHall1960]	ClarkHall1960	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0057	scan_finding	learn (iptv.2sg) / liorna	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	8994	[@Fulk2018]	Fulk2018	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0058	scan_finding	lick (iptv.2sg) / licca	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	9145	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0059	scan_finding	lick (3sg) / liccaþ	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	9219	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0060	scan_finding	show (3sg) / sċēawaþ	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	9375	[@BrightCassidyRingler1971]	BrightCassidyRingler1971	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0061	scan_finding	knob / cnobba	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	9453	[@Kroonen2011]	Kroonen2011	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0062	scan_finding	rust / rust	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	10147	[@RingeTaylor2014]	RingeTaylor2014	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0063	scan_finding	wolf / wulf	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	10221	[@Kroonen2013; @RingeTaylor2014, 47]	Kroonen2013	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0064	scan_finding	wolf / wulf	generated_compact_md	Germanic/docs/assembly/lexical_volume_regular_compact_alpha_01.md	10252	[@SieversBrunner1965]	SieversBrunner1965	yes	reopened_manifest	Fresh post-exhaustion scan found this broad citation in the generated compact Markdown.
AUDIT01-SCAN-0065	scan_finding	birth / byrd	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/1951-birth-byrd.book.md	3	[@Hogg1992]	Hogg1992	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0066	scan_finding	fly / flēogan	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2022-fly-flēogan.book.md	1	[@BosworthToller1898]	BosworthToller1898	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0067	scan_finding	forlorn / lēosan	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2028-forlorn-lēosan.book.md	1	[@RingeTaylor2014]	RingeTaylor2014	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0068	scan_finding	gang / gang	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2038-gang-gang.book.md	1	[@Orel2003]	Orel2003	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0069	scan_finding	shilling / sċilling	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2181-shilling-sċilling.book.md	1	[@Kroonen2013; @Orel2003, 377]	Kroonen2013	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0070	scan_finding	shilling / sċilling	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2181-shilling-sċilling.book.md	3	[@Kroonen2013]	Kroonen2013	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0071	scan_finding	smear / smierwan	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2198-smear-smierwan.book.md	3	[@RingeTaylor2014; @ClarkHall1960, 283]	RingeTaylor2014	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0072	scan_finding	still / stillan	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2217-still-stillan.book.md	1	[@KlugeSeebold2011]	KlugeSeebold2011	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0073	scan_finding	still / stillan	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2217-still-stillan.book.md	3	[@ClarkHall1960, 292; @KlugeSeebold2011]	KlugeSeebold2011	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0074	scan_finding	think / þenċan	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2248-think-þenċan.book.md	1	[@BosworthToller1898]	BosworthToller1898	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0075	scan_finding	town / tūn	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2263-town-tūn.book.md	1	[@SieversBrunner1965]	SieversBrunner1965	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0076	scan_finding	warp / weorpan	regular_book_prose	Germanic/docs/assembly/book_prose/regular_all_01/2270-warp-weorpan.book.md	1	[@RingeTaylor2014]	RingeTaylor2014	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0077	scan_finding	bake / bacan	model_entry	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	21	[@Orel2003]	Orel2003	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0078	scan_finding	bake / bacan	model_entry	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	21	[@Campbell1959, 61; @RingeTaylor2014]	RingeTaylor2014	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0079	scan_finding	bake / bacan	model_entry	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	25	[@BosworthToller1898, 72; @ClarkHall1960]	ClarkHall1960	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0080	scan_finding	bake / bacan	model_entry	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md	29	[@Campbell1959, 61; @RingeTaylor2014]	RingeTaylor2014	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0081	scan_finding	ban / bannes	model_entry	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	34	[@ClarkHall1960; @BosworthToller1898, 303]	ClarkHall1960	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0082	scan_finding	ban / bannes	model_entry	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md	44	[@Campbell1959]	Campbell1959	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0083	scan_finding	beech / bōc	model_entry	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md	21	[@Kroonen2013]	Kroonen2013	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0084	scan_finding	beech / bōc	model_entry	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md	25	[@Kroonen2013]	Kroonen2013	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0085	scan_finding	begin / beġinnan	model_entry	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	21	[@RingeTaylor2014]	RingeTaylor2014	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0086	scan_finding	begin / beġinnan	model_entry	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	25	[@BosworthToller1898, 84; @ClarkHall1960]	ClarkHall1960	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0087	scan_finding	begin / beġinnan	model_entry	Germanic/docs/lexeme_reports/model_entries/1943-begin-beġinnan.model.md	29	[@RingeTaylor2014]	RingeTaylor2014	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0088	scan_finding	bier / bǣr	model_entry	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	25	[@ClarkHall1960; @BosworthToller1898, 73; @Kroonen2013, 717]	ClarkHall1960	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0089	scan_finding	bier / bǣr	model_entry	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md	29	[@ClarkHall1960; @BosworthToller1898, 73; @Kroonen2013, 717]	ClarkHall1960	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0090	scan_finding	birth / byrd	model_entry	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	21	[@Kroonen2013]	Kroonen2013	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0091	scan_finding	birth / byrd	model_entry	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	25	[@ClarkHall1960; @BosworthToller1898, 125]	ClarkHall1960	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0092	scan_finding	birth / byrd	model_entry	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	25	[@Kroonen2013; @BosworthToller1898, 125; @Campbell1959]	Kroonen2013; Campbell1959	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0093	scan_finding	birth / byrd	model_entry	Germanic/docs/lexeme_reports/model_entries/1951-birth-byrd.model.md	29	[@Hogg1992]	Hogg1992	yes	upstream_support_for_generated_broad	Upstream source prose still contains a broad citation that also surfaces in the generated compact entry.
AUDIT01-SCAN-0094	scan_finding	bone / bān	model_entry	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	21	[@Kroonen2013; @Orel2003]	Kroonen2013; Orel2003	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0095	scan_finding	bone / bān	model_entry	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	25	[@ClarkHall1960; @BosworthToller1898]	ClarkHall1960; BosworthToller1898	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0096	scan_finding	bone / bān	model_entry	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md	25	[@BrightCassidyRingler1971]	BrightCassidyRingler1971	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0097	scan_finding	bow / bīeġan	model_entry	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	21	[@Kroonen2013]	Kroonen2013	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
AUDIT01-SCAN-0098	scan_finding	bow / bīeġan	model_entry	Germanic/docs/lexeme_reports/model_entries/1961-bow-bīeġan.model.md	21	[@RingeTaylor2014]	RingeTaylor2014	no	upstream_only_not_generated	Upstream source prose still contains a broad citation, but the current compact assembly does not surface it in generated output.
