manifest_id	entry	source_key	action_taken	locator_added_or_removed	final_status	source_file	notes
CLMM01-0186	lap / lappa	KlugeSeebold2011	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/lexeme_reports/model_entries/2090-lap-lappa.model.md	The Kluge entry remains verifiable only without stable page architecture.
CLMM01-0193	laugh / hliehhan	RingeTaylor2014	retained_broad_after_recheck		retained_broad_multi_page_discussion	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	The relevant Ringe-Taylor material still spans multiple non-adjacent discussion pages.
CLMM01-0207	navel / nafola	Ringe2006	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	The row remains a broad literature note about the medial-vowel dispute.
CLMM01-0208	navel / nafola	Mayrhofer1992	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	The source still functions as background to the medial-vowel dispute rather than a page-bound claim.
CLMM01-0209	navel / nafola	SieversBrunner1965	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	The Brunner citation remains broad comparative background in the current literature note.
CLMM01-0220	needle / nǣdl	Orel2003	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model.md	The Orel citation remains broad comparative framing rather than a narrow claim in the current prose.
CLMM01-0267	whine / hwīnan	SieversBrunner1965	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2286-whine-hwīnan.model.md	Removed the redundant broad Sievers-Brunner citation after the surviving sentence no longer needed it.
CLMM01-0269	withy / wīþiġ	Orel2003	locator_added	503	locator_added	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md	Localized the Orel comparative-family citation to p. 503.
CLMM01-0277	youth / ġeoguþ	Fulk2018	locator_added	109	locator_added	Germanic/docs/lexeme_reports/model_entries/2308-youth-ġeoguþ.model.md	Localized the Fulk intermediate-form citation to p. 109.
CLMM01-0295	find / fundene	Luick1914	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model.md	Luick still functions as broad paradigm-background support in the current sentence.
CLMM01-0296	find / fundene	SieversBrunner1965	retained_broad_after_recheck		claim_not_isolated	Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model.md	The paradigm-cell argument still needs a cleaner sentence split before Brunner can be localized.
CLMM01-0322	heaven / heofon	Campbell1959	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	The surviving Campbell citation still functions as handbook background across several linked steps in the development.
CLMM01-0326	live / lifeþ	ClarkHall1960	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/lexeme_reports/model_entries/2107-live-lifeþ.model.md	The archaic 3sg evidence remains verified, but this pass still did not recover a safe Clark Hall page marker.
CLMM01-0332	man / mannes	RingeTaylor2014	retained_broad_after_recheck		claim_not_isolated	Germanic/docs/lexeme_reports/model_entries/2119-man-mannes.model.md	The lexeme-level reconstruction sentence still bundles several sources and analytical levels.
CLMM01-0340	meed / meorde	RingeTaylor2014	retained_broad_after_recheck		human_review_needed	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	After the Fulk and Bosworth locators were added, the remaining Ringe-Taylor issue is analytical policy, not locator recovery.
CLMM01-0341	meed / meorde	Fulk2018	locator_added	69	locator_added	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	Localized the compensatory-lengthening comparison to Fulk p. 69.
CLMM01-0345	meed / meorde	BosworthToller1898	locator_added	647	locator_added	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	Localized the attested oblique-form evidence to Bosworth-Toller p. 647.
CLMM01-0347	meed / meorde	BosworthToller1898	locator_added	647	locator_added	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	Localized the companion Bosworth-Toller dictionary clause to p. 647.
CLMM01-0370	thistle / þistles	KlugeSeebold2011	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	The Kluge entry remains verifiable only without a safe printed page in the current witness.
CLMM01-0434	fire / fȳre	Hogg1992	locator_added	§3.3.3.1	locator_added	Germanic/docs/lexeme_reports/model_entries/2013-fire-fȳre.model.md	Split the bundled sentence and localized the i-umlaut clause to Hogg §3.3.3.1.
CLMM01-0435	fire / fȳre	Campbell1959	locator_added	§345	locator_added	Germanic/docs/lexeme_reports/model_entries/2013-fire-fȳre.model.md	Split the bundled sentence and localized the final-vowel-loss clause to Campbell §345.
CLMM01-0447	wolf / wulf	RingeTaylor2014	locator_added	47	locator_added	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md	Localized the exception-side comparative sentence to Ringe-Taylor p. 47.
CLMM01-0454	wolf / wulf	RingeTaylor2014	locator_added	42-44	locator_added	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md	Localized the regular lowered-vowel control path to Ringe-Taylor pp. 42-44.
