manifest_id	entry	class_bucket	source_key	current_status	current_citation_span	surrounding_sentence	source_layer	local_sources_checked	external_or_alternate_sources_checked	search_terms_used	passage_found	page_or_section_verified	action_taken	locator_added	new_status	file_changed	notes
CLMM01-0095	spar / spearra	regular	Orel2003	verified_page_candidate	[@Kroonen2013, 506; @Orel2003]	Form note. This entry concerns the noun _spearra_ only. It should be kept separate from verb _sperran_, even though the Modern English glosses overlap [@Kroonen2013, 506; @Orel2003].	regular_book_prose	docs/references/orel_handbook_germanic_etymology.vision.txt		sparrōn; sperran; spearra	yes	p. 362	locator_added	362	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2204-spar-spearra.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The same Orel page supports the form note separating the noun from the verb.
CLMM01-0107	think / þenċan	regular	Kroonen2013	headword_not_found	[@Kroonen2013; @RingeTaylor2014]	Kroonen gives the verb as _\*þankjan-_ 'to think', and Ringe and Taylor cite fully inflected _\*þankijaną_ beside OE _þenċan_ [@Kroonen2013; @RingeTaylor2014]. The noun _\*þankaz_ belongs only to the wider derivational background. Bosworth-Toller preserves the verb under _þencan_/_geþencan_, and the citation form here is the ordinary infinitive _þenċan_ [@BosworthToller1898]. From _\*θánkijaną_, palatalization before _\*j_ and i-umlaut produce _þenċan_. Campbell's assibilation discussion uses the same verb _þencan_; the class-III relic _hycgan_ is a different lexeme [@Campbell1959, §438; @Hogg1992, §3.4.2.4].	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		þankjan; þencan; think	yes	p. 533	locator_added	533	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2248-think-þenċan.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen entry directly supports the think verb headword.
CLMM01-0113	token / tācn	regular	Kroonen2013	verified_page_candidate	[@Kroonen2013; @Orel2003, 438]	Kroonen cites _\*taikna-_ and Orel _\*taiknan_ for the noun 'sign, token' [@Kroonen2013; @Orel2003, 438]. The selected input _\*táikną_ is the simple citation-form noun used for the derivation. Campbell preserves unbroken _tācn_ and oblique _tācnes_ [@Campbell1959, §574], and also records the later broken form _tācen_ [@Campbell1959, §365]. Sievers-Brunner likewise preserves both unbroken and broken shapes [@SieversBrunner1965, §155]. Monophthongization of _ai_ yields _ā_, and loss of the final nasal vowel leaves _tācn_.	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		taikna; tācn; token	yes	p. 506	locator_added	506	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2260-token-tācn.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The direct Kroonen token entry supports the noun clause.
CLMM01-0130	way / weġ	regular	Kroonen2013	verified_page_candidate	[@Kroonen2013]	Kroonen cites the noun as _\*wega-_ 'way, road', while the selected derivational form here is nominative-singular _\*wégaz_ [@Kroonen2013]. Campbell, Hogg, and Ringe and Taylor use the same word as the standard contrast between singular palatal _weġ_ and inflected _wegas/wegum_ [@Campbell1959; @Hogg1992; @RingeTaylor2014, 341]. The Old English singular is the ordinary noun _weg_, here normalized as _weġ_ to show the palatal final. From _\*wégaz_, final _\*z_ is lost and the weak tail apocopates, leaving word-final _\*g_ after a front vowel.	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		wega; way; weg	yes	p. 577	locator_added	577	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2277-way-weġ.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen way entry directly supports the noun clause.
CLMM01-0137	wind / windan	regular	Kroonen2013	verified_page_candidate	[@Kroonen2013]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960, 335; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960, 335].	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		windan; wind	yes	p. 587	locator_added	587	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2294-wind-windan.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen entry distinguishes the verb from the noun.
CLMM01-0141	wind / windan	regular	Kroonen2013	verified_page_candidate	[@Kroonen2013; @ClarkHall1960, 335]	Kroonen distinguishes noun _\*winda-_ from verb _\*windan-_, and the present row belongs to the verb [@Kroonen2013]. Later handbook discussion keeps the dental original from PIE _\*wendh-_, not a Verner alternant [@Fulk2018; @RingeTaylor2014]. Clark Hall and Bosworth-Toller record _windan_ as the verb headword [@ClarkHall1960, 335; @BosworthToller1898, 101]. The selected input _\*wíndaną_ yields the regular infinitive _windan_ by ordinary heavy-syllable apocope and weak-tail reduction. English *wind* also names the noun. This row targets the class-III verb, not the noun [@Kroonen2013; @ClarkHall1960, 335].	regular_book_prose	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		windan; wind	yes	p. 587	locator_added	587	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2294-wind-windan.book.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The same Kroonen page supports the note that the row targets the verb, not the noun.
CLMM01-0148	three / þrīe	attested_variant	Kroonen2013	retained_broad_general_background	[@Kroonen2013]	Kroonen cites the numeral under a broader stem-style reconstruction rather than under one Old English-ready paradigm cell [@Kroonen2013]. The input _\*θréjez_ is therefore best understood as the inherited masculine nominative-accusative singular.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		þrīe	no		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	The current noun-side note remains broad comparative framing rather than a single locator-safe Kroonen claim.
CLMM01-0150	brand / brandes	early_analogy	Orel2003	general_background	[@Orel2003; @Kroonen2013]	The inherited noun is the masculine a-stem _\*brándaz_, continued by Old English _brand_ and its continental cognates [@Orel2003; @Kroonen2013]. The selected input _\*brándas_ is not a different lexeme but the genitive singular of that same a-stem noun.	nonregular_model_entry	docs/references/orel_handbook_germanic_etymology.vision.txt		brandaz; brand	yes	p. 53	locator_added	53	locator_added	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Orel brand entry supports the inherited a-stem noun clause.
CLMM01-0151	brand / brandes	early_analogy	Kroonen2013	general_background	[@Orel2003; @Kroonen2013]	The inherited noun is the masculine a-stem _\*brándaz_, continued by Old English _brand_ and its continental cognates [@Orel2003; @Kroonen2013]. The selected input _\*brándas_ is not a different lexeme but the genitive singular of that same a-stem noun.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		brand	no		citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md; Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck did not recover a Kroonen brand entry supporting the current sentence; the citation was removed from the live prose.
CLMM01-0153	breast / brēost	early_analogy	Kroonen2013	retained_broad_multi_page_discussion	[@Kroonen2013; @Orel2003, 95; @RingeTaylor2014, 43]	The word family shows two related but distinct Proto-Germanic formations. The root noun _\*brust-_ lies behind forms such as Gothic _brusts_, whereas Old English _brēost_ belongs to a thematic formation _\*breusta-_, alongside Old Norse _brjóst_ and Old Saxon _briost_ [@Kroonen2013; @Orel2003, 95; @RingeTaylor2014, 43].	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		brēost; *breusta-	yes	p. 62	retained_broad_multi_page_discussion		retained_broad_multi_page_discussion	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered Kroonen’s breast material, but the present sentence still summarizes a broader comparative discussion rather than one page-bound claim.
CLMM01-0156	dill / dile	early_analogy	Kroonen2013	retained_broad_general_background	[@Kroonen2013]	Kroonen treats the word as preserving evidence for both an i-stem and a ja-stem formation, with Old English _dile_ on one side and continental forms such as Old Saxon _dilli_ and Old High German _tilli_ on the other [@Kroonen2013]. The selected input _\*déliz_ therefore represents the i-stem side of the paradigm, whereas the citation label _\*déljaz_ is a broader comparative headword.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		dile; *delja-	yes	p. 92	claim_not_isolated		claim_not_isolated	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered Kroonen’s dill entry, but the current sentence still mixes dictionary headword evidence with later OE-facing comparison.
CLMM01-0159	fast / festan	early_analogy	Kroonen2013	retained_broad_general_background	[@Kroonen2013]	Kroonen places the verb under a comparative headword _\*fastēną_, the wider Germanic family behind meanings such as 'make firm' and, in Old English, 'fast' [@Kroonen2013]. Ringe and Taylor, however, distinguish the Old English verb more closely: they treat OE 'to fast' as originally a class-I weak verb that later acquired the stative meaning through lexical association with that wider family [@RingeTaylor2014].	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		fast; *fast-	no		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Current Kroonen use remains broad comparative background for the fast/festan comparator rather than a single page-bound claim.
CLMM01-0163	flask / flasce	early_analogy	Orel2003	verified_page_candidate	[@Orel2003; @Kroonen2013]	The wider Germanic family is often cited under a form such as _\*flaskō_, but the evidence relevant for Old English points instead to a weak feminine formation _\*fláskōn_ / _\*flaskǭ_ [@Orel2003; @Kroonen2013]. That distinction is crucial for the suffixal history of the noun.	nonregular_model_entry	docs/references/orel_handbook_germanic_etymology.vision.txt		flaskō; flasce	yes	p. 104	locator_added	104	locator_added	Germanic/docs/lexeme_reports/model_entries/2016-flask-flasce.model.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Orel flask entry supports the weak feminine formation used in the OE-facing clause.
CLMM01-0164	flask / flasce	early_analogy	Kroonen2013	general_background	[@Orel2003; @Kroonen2013]	The wider Germanic family is often cited under a form such as _\*flaskō_, but the evidence relevant for Old English points instead to a weak feminine formation _\*fláskōn_ / _\*flaskǭ_ [@Orel2003; @Kroonen2013]. That distinction is crucial for the suffixal history of the noun.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		flask	no		citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2016-flask-flasce.model.md; Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck did not recover a Kroonen flask entry supporting the weak feminine clause used here; the citation was removed from the live prose.
CLMM01-0167	follow / fylġan	early_analogy	Kroonen2013	general_background	[@Kroonen2013]	Kroonen keeps the verb under _\*fulgen-_ and gives Old English _fylgan, folgian_, adding that Old Norse _fylgja_ and Old English _fylg(e)an_ continue a formation _\*fulgjan-_ [@Kroonen2013]. The comparative headword and the class-I formation are therefore related but not identical.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		fulgen; fylgan; folgian	yes	p. 159	locator_added	159	locator_added	Germanic/docs/lexeme_reports/model_entries/2027-follow-fylġan.model.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen follow entry directly supports the comparative headword clause.
CLMM01-0170	gall / ġealla	early_analogy	Kroonen2013	general_background	[@Kroonen2013]	The wider cognate family can be presented under a form such as _\*gállą_, but the Old English noun itself belongs with a weak noun _\*gallōn-_, cited here as _\*gállô_ [@Kroonen2013]. The selected input therefore differs from the broader comparative headword in stem class.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		galla; gealla	yes	p. 165	locator_added	165	locator_added	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Kroonen gall entry supports the weak-noun comparator.
CLMM01-0180	lade / hladan	early_analogy	Kroonen2013	general_background	[@Kroonen2013]	Ringe and Taylor cite the strong verb _hladan_ directly [@RingeTaylor2014, 248]. Kroonen treats the wider Germanic family under a weak-verb label such as _\*laθōjaną_ [@Kroonen2013]. The two forms are related as members of one word family, but they do not play the same role in the OE derivation.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		hladan	yes	p. 229	claim_not_isolated		claim_not_isolated	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered Kroonen’s hladan material, but the current sentence still bundles dictionary background with a larger modeling point.
CLMM01-0184	lap / lappa	early_analogy	Orel2003	general_background	[@Orel2003; @Kroonen2013; @KlugeSeebold2011]	The comparative sources point to a weak noun with _pp_: Orel gives _\*lappōn_, Kroonen places the word in a weak _\*lappan-_ family, and Kluge-Seebold cites West Germanic _lappa_ forms alongside Old English _læppa_ [@Orel2003; @Kroonen2013; @KlugeSeebold2011]. The selected input _\*láppô_ follows that evidence.	nonregular_model_entry	docs/references/orel_handbook_germanic_etymology.vision.txt		lappōn; lappa	yes	p. 236	locator_added	236	locator_added	Germanic/docs/lexeme_reports/model_entries/2090-lap-lappa.model.md; Germanic/docs/assembly/citation_locator_primary_source_evidence.tsv; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Orel lap entry supports the weak noun with pp.
CLMM01-0185	lap / lappa	early_analogy	Kroonen2013	general_background	[@Orel2003; @Kroonen2013; @KlugeSeebold2011]	The comparative sources point to a weak noun with _pp_: Orel gives _\*lappōn_, Kroonen places the word in a weak _\*lappan-_ family, and Kluge-Seebold cites West Germanic _lappa_ forms alongside Old English _læppa_ [@Orel2003; @Kroonen2013; @KlugeSeebold2011]. The selected input _\*láppô_ follows that evidence.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		lap	no		citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2090-lap-lappa.model.md; Germanic/docs/assembly/citation_locator_remaining_master.tsv	The cited Kroonen *lappan- material did not support the OE lap noun sentence as written, so the citation was removed from the live prose.
CLMM01-0192	laugh / hliehhan	early_analogy	Kroonen2013	general_background	[@Kroonen2013; @RingeTaylor2014]	The wider Germanic family includes a non-j branch represented here by the citation label _\*lákaną_, but Kroonen and Ringe-Taylor both distinguish a j-present formation behind Old English _hliehhan_ [@Kroonen2013; @RingeTaylor2014]. The selected input _\*xláxjaną_ reflects that j-present line.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		hlahjan-; laugh	yes	p. 99	claim_not_isolated		claim_not_isolated	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered Kroonen’s laugh-family material, but the current sentence still needs a cleaner source-specific split before a safe locator can be attached.
CLMM01-0200	loam / lām	early_analogy	Orel2003	retained_broad_general_background	[@Orel2003; @Kroonen2013, 363]	The inherited comparative noun is given as _\*laimōn_ or _\*laiman-_, and both Orel and Kroonen identify Old English _lām_ as a neuter reflex of that family [@Orel2003; @Kroonen2013, 363]. The selected input _\*láimą_ differs from the comparative headword because it represents the stem class that matches the Old English noun most directly.	nonregular_model_entry	docs/references/orel_handbook_germanic_etymology.vision.txt		lām; loam	no		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	The Orel citation remains broad comparative framing for the loam entry rather than a page-bound claim in the current prose.
CLMM01-0204	navel / nafola	early_analogy	Kroonen2013	general_background	[@Kroonen2013; @RingeTaylor2014, 270]	Kroonen lemmatizes the word with a syncopated comparative headword _\*nablô_, while Ringe and Taylor give the derivational pathway _\*nabulō_ > _\*næbula_ > _nafola_ [@Kroonen2013; @RingeTaylor2014, 270]. The difference is one of stage and notation rather than of lexeme identity: the selected input _\*nábulô_ is the pre-syncope form needed for the Old English development.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		nablan-; nafela	yes	p. 380	claim_not_isolated		claim_not_isolated	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered Kroonen’s navel entry under a different headword shape than the one currently described in the sentence.
CLMM01-0215	neck / hnecca	early_analogy	Orel2003	headword_not_found	[@Orel2003]	A competing comparative label _\*xnákkaz_ remains useful for the wider family, and Orel also gives an a-grade headword line [@Orel2003]. The selected input _\*xnékkô_, however, is the form that matches the Old English branch.	nonregular_model_entry	docs/references/orel_handbook_germanic_etymology.vision.txt		hnecca	no		headword_not_found_after_recheck		headword_not_found_after_recheck	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct OCR recheck did not recover an Orel neck entry that safely supports the current hnecca sentence.
CLMM01-0219	needle / nǣdl	early_analogy	Kroonen2013	general_background	[@Kroonen2013; @Orel2003]	Kroonen and Orel preserve different comparative headwords for the family [@Kroonen2013; @Orel2003]. The development discussed here follows the Ringe-Taylor alternant framework.	nonregular_model_entry	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt		needle; *neplō-	yes	p. 1	claim_not_isolated		claim_not_isolated	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Direct recheck recovered Kroonen’s needle material, but the current sentence still needs a more careful headword-level rewrite before a page locator is attached.
CLMM01-0220	needle / nǣdl	early_analogy	Orel2003	retained_broad_general_background	[@Kroonen2013; @Orel2003]	Kroonen and Orel preserve different comparative headwords for the family [@Kroonen2013; @Orel2003]. The development discussed here follows the Ringe-Taylor alternant framework.	nonregular_model_entry	docs/references/orel_handbook_germanic_etymology.vision.txt		needle; nædl	no		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	The current Orel needle citation remains broad comparative background rather than a clean page-bound claim in the present prose.
