manifest_id	entry	source_key	current_status	cited_claim_summary	local_source_file_checked	alternate_witnesses_checked	headword_or_rule_found	page_or_section_anchor_found	anchor_reliable	action_taken	new_status	locator_added	source_preparation_needed	notes
CLMM01-0154	breast / brēost	BosworthToller1898	source_preparation_needed	Bosworth citation for OE dictionary headword brēost / breóst	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	example-only breost hits, no clean headword		no	citation_removed	resolved		none	Clark Hall 65 already supports the OE dictionary evidence, so the unresolved Bosworth citation was removed.
CLMM01-0203	lung / lungen	ClarkHall1960	page_markers_unreliable	Clark Hall citation for lungen family material	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	lungen compounds and family material only	page found but printed numeral still unsafe	no	left_page_markers_unreliable	page_markers_unreliable		better Clark Hall page-exposing witness	The available witness surfaces lung-family material, but not with a safe printed page anchor for the current sentence.
CLMM01-0207	navel / nafola	Ringe2006	source_preparation_needed	Ringe2006 citation for broad literature disagreement over medial u	docs/refs.bib; docs/references/	docs/references/orel_handbook_germanic_etymology.vision.txt; docs/references/legacy/etymological_dictionary_of_proto_germanic_kroonen.txt; docs/references/kluge_seebold_etymologisches_woerterbuch.txt; docs/references/mayrhofer_ewaia_III.txt; docs/references/ringe_taylor_linguistic_history_vol2.txt	no dedicated local Ringe2006 witness found		no	reclassified_to_general_background	general_background		none	The sentence is broad literature framing rather than a locator-dependent headword claim, so it no longer belongs in the source-preparation bucket.
CLMM01-0213	neck / hnecca	Kroonen2011	page_markers_unreliable	Kroonen2011 citation for hnekkō / hnecca e-grade line	docs/references/kroonen_2011_n_stems.pdf	docs/references/kroonen_2011_n_stems.vision.txt; docs/references/kroonen_2011_n_stems.txt	"*hnekkan-: OE hnecca m. ""id."""	167	yes	locator_added	resolved	167		The PDF witness exposes the printed page and the exact hnecca entry line.
CLMM01-0237	sea / sǣ	Kroonen2013	page_markers_unreliable	Kroonen citation for *saiwi- headword	docs/references/kroonen_etymological_dictionary_pgmc.pdf	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt	"*saiwi- m. ""sea"" ... OE sæ"	423	yes	locator_added	resolved	423		The Kroonen PDF exposes both the printed page and the exact sea entry.
CLMM01-0238	sea / sǣ	Kroonen2013	page_markers_unreliable	Kroonen citation for OE sæ / sǣ reflex	docs/references/kroonen_etymological_dictionary_pgmc.pdf	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt	"*saiwi- m. ""sea"" ... OE sæ"	423	yes	locator_added	resolved	423		The same Kroonen page safely supports the OE reflex sentence.
CLMM01-0241	sieve / sife	Orel2003	page_markers_unreliable	Orel citation for *sibaz ... OE sife	docs/references/orel_handbook_germanic_etymology.pdf	docs/references/orel_handbook_germanic_etymology.vision.txt	*sibaz sb.n.: ... OE sife	328	yes	locator_added	resolved	328		The Orel PDF exposes the printed page and exact sife entry.
CLMM01-0244	spare / sparian	Orel2003	page_markers_unreliable	Orel citation for inherited *sparēnan	docs/references/orel_handbook_germanic_etymology.pdf	docs/references/orel_handbook_germanic_etymology.vision.txt	*sparēnan wk.vb.: ... OE sparian	362	yes	locator_added	resolved	362		The Orel PDF exposes the printed page and exact sparian entry.
CLMM01-0258	whale / hwæl	Kroonen2013	page_markers_unreliable	Kroonen citation for competing *hwali- headword	docs/references/kroonen_etymological_dictionary_pgmc.pdf	docs/references/kroonen_etymological_dictionary_pgmc.vision.txt	"*hwali- m. ""whale"" ... OE hwæl"	262	yes	locator_added	resolved	262		The Kroonen PDF exposes the printed page and exact whale entry.
CLMM01-0266	whine / hwīnan	Seebold1970	page_markers_unreliable	Seebold citation for present-only attestation note	docs/references/seebold_vergleichendes_woerterbuch.pdf	docs/references/seebold_vergleichendes_woerterbuch.vision.txt; docs/references/seebold_vergleichendes_woerterbuch.txt	Nur ein Präsensbeleg hwinan	280	yes	locator_added	resolved	280		The Seebold PDF exposes the printed page and the exact note on hwinan.
CLMM01-0272	withy / wīþiġ	ClarkHall1960	page_markers_unreliable	Clark Hall citation for wiðig entry	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	wiðig, wiði(g)e m. withe, withy, willow	page numeral not recovered	no	left_page_markers_unreliable	page_markers_unreliable		better Clark Hall page-exposing witness	The entry text is visible, but the local Clark Hall witness still does not expose a safe printed page number.
CLMM01-0286	ban / bannes	Seebold1970	source_preparation_needed	Seebold citation for neuter bann-stem and OE gebann	docs/references/seebold_vergleichendes_woerterbuch.pdf	docs/references/seebold_vergleichendes_woerterbuch.vision.txt; docs/references/seebold_vergleichendes_woerterbuch.txt	bann-a-m (n): ... ae. gebann	89	yes	locator_added	resolved	89		The Seebold PDF exposes the printed page and exact noun entry.
CLMM01-0299	fright / fyrhte	Orel2003	page_markers_unreliable	Orel citation for inherited in-stem abstract	docs/references/orel_handbook_germanic_etymology.pdf	docs/references/orel_handbook_germanic_etymology.vision.txt	*furxtīn sb.f.: ... OE fyrhtu	120	yes	locator_added	resolved	120		The Orel PDF exposes the printed page and exact fright-family entry.
CLMM01-0312	have / hæfeþ	BosworthToller1898	source_preparation_needed	Bosworth citation for ordinary headword habban	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	example-only habban hits, no clean headword		no	citation_removed	resolved		none	The sentence was narrowed to Clark Hall plus Campbell, so the unresolved Bosworth citation is no longer needed.
CLMM01-0325	live / lifeþ	BosworthToller1898	source_preparation_needed	Bosworth citation for libban / lifian dictionary headwords	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	a-libban / lifian cross-reference material only		no	left_source_preparation_needed	source_preparation_needed		better Bosworth base-dictionary witness or OCR	The available Bosworth witnesses still do not expose a clean libban headword page for the current sentence.
CLMM01-0359	shoulder / sċuldrum	BosworthToller1898	source_preparation_needed	Bosworth share of mixed headword sentence	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt	sculdrum and supplement sculdra found, but not a clean main sculdor headword		no	citation_removed	resolved		none	The mixed sentence was split so Clark Hall now carries the sculdor headword and Bosworth is used only for attested oblique forms.
CLMM01-0361	shoulder / sċuldrum	BosworthToller1898	source_preparation_needed	Bosworth citation for attested dative plural sculdrum	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt	on bǣm sculdrum	85	yes	locator_added	resolved	85		The Bosworth PDF exposes a clean printed page for the attested dative plural.
CLMM01-0362	shoulder / sċuldrum	BosworthToller1898	source_preparation_needed	Bosworth supplement citation for weak-feminine sculdra	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt	sculdor. Add: sculdra, an	699	yes	locator_added	resolved	699		The Bosworth PDF exposes a clean printed page for the supplement addendum.
CLMM01-0366	shove / sċēaf	Sweet1953	page_markers_unreliable	Sweet citation for scufan / sceaf / scufon / scofen paradigm	docs/references/sweet_anglo_saxon_primer.pdf	docs/references/sweet_anglo_saxon_primer.txt	scufan (push) ... sceaf ... scufon ... scofen	29	yes	locator_added	resolved	29		The Sweet PDF exposes a clean printed page for the strong-verb paradigm table.
CLMM01-0387	bore (3sg) / boraþ	ClarkHall1960	page_markers_unreliable	Clark Hall citation for borian headword	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	borian to bore, perforate	48	yes	locator_added	resolved	48		The Clark Hall OCR preserves a printed page numeral directly above the borian headword.
CLMM01-0403	lick (iptv.2sg) / licca	BosworthToller1898	source_preparation_needed	Bosworth citation for liccian headword in imperative-cell entry	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt	LICCIAN ... liccian	614	yes	locator_added	resolved	614		The Bosworth PDF exposes a clean printed page header and headword.
CLMM01-0412	lick (3sg) / liccaþ	BosworthToller1898	source_preparation_needed	Bosworth citation for liccian headword in 3sg entry	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt	LICCIAN ... liccian	614	yes	locator_added	resolved	614		The Bosworth PDF exposes a clean printed page header and headword for the companion row.
