manifest_id	entry	source_key	original_status	search_terms_used	forms_found	page_or_section_found	action_taken	new_status	file_changed	notes
CLMM01-0387	bore (3sg) / boraþ	ClarkHall1960	headword_not_found	borian; bora	headword	page found but printed number unsafe	reclassified	page_markers_unreliable	manifest only	Clark Hall borian was found, but the printed page number was not safely visible.
CLMM01-0391	learn (iptv.2sg) / liorna	ClarkHall1960	headword_not_found	leornian; liorna	headword	186	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2313-learn-(iptv.2sg)-liorna.model.md	Clark Hall leornian recovered with printed page header.
CLMM01-0396	learn (3sg) / liornaþ	ClarkHall1960	headword_not_found	leornian; liornaþ	headword	186	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2314-learn-(3sg)-liornaþ.model.md	Clark Hall leornian recovered with printed page header.
CLMM01-0026	forlorn / lēosan	Kroonen2013	headword_not_found	leusan; forlēosan; lose	headword	374	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2028-forlorn-lēosan.book.md	Kroonen lose entry recovered directly.
CLMM01-0045	hair / hǣr	Kroonen2013	headword_not_found	hēra; hair; hær	headword	260	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2051-hair-hǣr.book.md	Kroonen hair headword recovered directly.
CLMM01-0046	hair / hǣr	Kroonen2013	headword_not_found	hēra; hair; hær	headword	260	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2051-hair-hǣr.book.md	Same Kroonen hair headword supports the form note.
CLMM01-0086	shilling / sċilling	Kroonen2013	headword_not_found	skellinga; skillinga; skeld-linga	internal analysis mention only		left_unresolved	headword_not_found	none	Kroonen only surfaced the internal *skeld-linga analysis, not the exact cited headword pair.
CLMM01-0088	shilling / sċilling	Kroonen2013	headword_not_found	skellinga; skillinga; skeld-linga	internal analysis mention only		left_unresolved	headword_not_found	none	The form-note row still lacks the exact Kroonen headword pair in local text.
CLMM01-0089	sleep / slǣpan	Kroonen2013	headword_not_found	slēpan; sleep; slæpan	headword	493	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2196-sleep-slǣpan.book.md	Kroonen sleep headword recovered directly.
CLMM01-0118	town / tūn	Kroonen2013	headword_not_found	tūna; town; tūn	headword	566	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2263-town-tūn.book.md	Kroonen town headword recovered directly.
CLMM01-0133	will / willa	Kroonen2013	headword_not_found	weljan; willa; will	headword	618	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2293-will-willa.book.md	Kroonen noun-side will headword recovered directly.
CLMM01-0136	will / willa	Kroonen2013	headword_not_found	weljan; willa; will	headword	618	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2293-will-willa.book.md	Same Kroonen noun-side will entry supports the later noun/verb distinction.
CLMM01-0143	wold / weald	Kroonen2013	headword_not_found	walþu; weald; wood	headword	611	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2297-wold-weald.book.md	Kroonen weald evidence recovered directly.
CLMM01-0202	lung / lungen	Kroonen2013	headword_not_found	lungōn; lungunjō; lungen	headword + derivative	384	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2114-lung-lungen.model.md	Kroonen base noun and derivative were both recovered on one page.
CLMM01-0226	nose / nosu	Kroonen2013	headword_not_found	nasō; nusō; nosu	zero-grade line	423	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2143-nose-nosu.model.md	Kroonen nosu line recovered directly.
CLMM01-0231	sap / sæp	Kroonen2013	headword_not_found	safō; sappaz; sæp	comparative family found, claim too broad	460	reclassified	claim_not_isolated	manifest only	Kroonen's sap family is present, but the current sentence compresses more analysis than the entry directly states.
CLMM01-0339	meed / meorde	Kroonen2013	headword_not_found	mizdō; meord; mēd	headword	410	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	Kroonen meed/meord evidence recovered directly.
CLMM01-0356	rest / ræste	Kroonen2013	headword_not_found	rastō; ræst; rest	headword	445	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2152-rest-ræste.model.md	Kroonen ræst headword recovered directly.
CLMM01-0357	rest / ræste	Kroonen2013	headword_not_found	rastō; ræst; rest	headword	445	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2152-rest-ræste.model.md	Same Kroonen ræst entry supports the ordinary citation-form sentence.
CLMM01-0027	forlorn / lēosan	Orel2003	headword_not_found	leusanan; for-leósan; lose	headword	282	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2028-forlorn-lēosan.book.md	Orel lose entry recovered directly.
CLMM01-0094	spar / spearra	Orel2003	headword_not_found	sparran; spearra; spar	none		left_unresolved	headword_not_found	none	Layered Orel search did not recover a safe spar/spearra entry.
CLMM01-0095	spar / spearra	Orel2003	headword_not_found	sparran; spearra; spar	none		left_unresolved	headword_not_found	none	The Orel form-note row remains unresolved after layered search.
CLMM01-0102	sunder / sundrian	Orel2003	headword_not_found	sundrōjanan; sundrian	headword	426	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2232-sunder-sundrian.book.md	Orel Class II sundrian entry recovered directly.
CLMM01-0105	sunder / sundrian	Orel2003	headword_not_found	sundrōjanan; sundrian	headword	426	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2232-sunder-sundrian.book.md	Same Orel Class II sundrian entry supports the form note.
CLMM01-0134	will / willa	Orel2003	headword_not_found	weljōn; willa; will	headword	492	locator_added	resolved	Germanic/docs/assembly/book_prose/regular_all_01/2293-will-willa.book.md	Orel noun-side will entry recovered directly.
CLMM01-0200	loam / lām	Orel2003	headword_not_found	laima; lām; loam	none		left_unresolved	headword_not_found	none	Layered Orel search did not recover a safe loam entry.
CLMM01-0215	neck / hnecca	Orel2003	headword_not_found	hnecca; hnekk; neck	none		left_unresolved	headword_not_found	none	Layered Orel search did not recover a safe hnecca entry.
CLMM01-0228	nose / nosu	Orel2003	headword_not_found	nasō; nasu; nose	headword	320	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2143-nose-nosu.model.md	Orel full-grade nasō entry recovered directly.
CLMM01-0236	sap / sæp	Orel2003	headword_not_found	sapōn; sapan; sæp	headword already localized in prose	319	locator_added	resolved	manifest/evidence sync only	Live prose already carried the safe Orel locator; this pass synchronized manifest and evidence.
CLMM01-0342	meed / meorde	Orel2003	headword_not_found	mizđō; mēđō; meord	headword	311	locator_added	resolved	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	Orel explicit meed doublet entry recovered directly.
CLMM01-0436	tap / tæppa	Orel2003	headword_not_found	tæppa; tap	index only		left_unresolved	headword_not_found	none	Only the Orel index line surfaced; no safe entry text was recovered in this pass.
CLMM01-0437	tap / tæppa	Orel2003	headword_not_found	tæppa; tap	index only		left_unresolved	headword_not_found	none	The companion Orel tap row remains unresolved for the same reason.
CLMM01-0442	rust / rust	Orel2003	headword_not_found	rust; rūst	none		left_unresolved	headword_not_found	none	Layered Orel search did not recover a safe rust entry.
