audit_id	prepass_manifest_id	entry	source_key	prepass_citation_span	action_taken	source_passage_checked	locator_or_reason	appears_in_generated_after	postpass_status	notes
AUDIT02-ROW-0014	AUDIT01-REM-0014	breast / brēost	Campbell1959	[@Campbell1959]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Campbell1959 citation still supports a combined scholarly claim rather than a single isolated fact: From _\*bréustą_, the regular Old English development gives _brēost_, with the expected _eu_ > _ēo_ vowel history [@Campbell1959].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0015	AUDIT01-REM-0015	dill / dile	Kroonen2013	[@Kroonen2013]	retained_broad_with_precise_reason	No fresh page recovery was completed in audit 02 after row-level triage of the current comparative-headword sentence.	This surviving Kroonen2013 citation now sits only on comparative-headword or staging prose: Kroonen treats the word as preserving evidence for both an i-stem and a ja-stem formation, with Old English _dile_ on one side and continental forms such as Old Saxon _dilli_ and Old High German _tilli_ on the other [@Kroonen2013].	yes	remaining_generated_broad	Either recover the exact article page or soften the sentence to explicit project framing.
AUDIT02-ROW-0016	AUDIT01-REM-0016	dill / dile	Fulk2018	[@Fulk2018]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Fulk2018 citation still supports a combined scholarly claim rather than a single isolated fact: That stem-class distinction matters for the Old English consonant shape.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0017	AUDIT01-REM-0017	fast / festan	Kroonen2013	[@Kroonen2013]	retained_broad_with_precise_reason	No fresh page recovery was completed in audit 02 after row-level triage of the current comparative-headword sentence.	This surviving Kroonen2013 citation now sits only on comparative-headword or staging prose: Kroonen places the verb under a comparative headword _\*fastēną_, the wider Germanic family behind meanings such as 'make firm' and, in Old English, 'fast' [@Kroonen2013].	yes	remaining_generated_broad	Either recover the exact article page or soften the sentence to explicit project framing.
AUDIT02-ROW-0018	AUDIT01-REM-0018	fast / festan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Kroonen places the verb under a comparative headword _\*fastēną_, the wider Germanic family behind meanings such as 'make firm' and, in Old English, 'fast' [@Kroonen2013].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0019	AUDIT01-REM-0019	fast / festan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: The _æ_-forms remain relevant, but they do not control the entry.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0020	AUDIT01-REM-0020	gall / ġealla	Campbell1959	[@Campbell1959]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Campbell1959 citation still supports a combined scholarly claim rather than a single isolated fact: Campbell also notes dialectal variation, contrasting West Saxon or Kentish _gealla_ with Anglian _galla_ [@Campbell1959].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0021	AUDIT01-REM-0021	gall / ġealla	Campbell1959	[@Campbell1959]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Campbell1959 citation still supports a combined scholarly claim rather than a single isolated fact: From _\*gállô_, the weak noun develops through the expected Old English history of the suffix and the regular breaking environment before _ll_, yielding _ġealla_ [@Campbell1959].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0022	AUDIT01-REM-0022	knight / cniht	KlugeSeebold2011	[@KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR at the `*knehta-` / `ae. cniht` entry; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0023	AUDIT01-REM-0023	lade / hladan	Kroonen2013	[@Kroonen2013]	retained_broad_with_precise_reason	No fresh page recovery was completed in audit 02 after row-level triage of the current comparative-headword sentence.	This surviving Kroonen2013 citation now sits only on comparative-headword or staging prose: Ringe and Taylor cite the strong verb _hladan_ directly [@RingeTaylor2014, 248].	yes	remaining_generated_broad	Either recover the exact article page or soften the sentence to explicit project framing.
AUDIT02-ROW-0024	AUDIT01-REM-0024	lap / lappa	SieversBrunner1965	[@SieversBrunner1965]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving SieversBrunner1965 citation still supports a combined scholarly claim rather than a single isolated fact: Campbell explicitly lists _lappa_ among the forms with restored _a_ [@Campbell1959, §158].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0025	AUDIT01-REM-0025	loam / lām	Orel2003	[@Orel2003; @Kroonen2013, 363]	retained_broad_with_precise_reason	Searched Orel for the loam family; current hits were too noisy to isolate a clean article page.	The remaining Orel citation still sits on comparative-headword background that could not be anchored safely from the present witness.	yes	remaining_generated_broad	Recheck Orel with a tighter headword search or rewrite the comparative-background sentence.
AUDIT02-ROW-0026	AUDIT01-REM-0026	loam / lām	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960, 196]	retained_broad_with_precise_reason	No page-safe Bosworth-Toller loam headword recovery was completed in this pass.	The remaining Bosworth-Toller half is dictionary background beyond the already localized Clark Hall support and was not recovered to a safe printed page.	yes	remaining_generated_broad	Either recover a Bosworth-Toller page-safe lemma citation or drop the duplicate dictionary support.
AUDIT02-ROW-0027	AUDIT01-REM-0027	navel / nafola	Kroonen2013	[@Kroonen2013; @RingeTaylor2014, 270]	retained_broad_with_precise_reason	Searched Kroonen for `nabl-` / `nabul-` / `nafola`; the witness surfaced related `*nablan-` material but not a clean page-safe `*nablô`-style article for the current sentence.	The surviving broad Kroonen citation now supports only the comparative headword/staging clause and still lacks a verified article page.	yes	remaining_generated_broad	Keep the comparative-headword citation broad until the exact article page is recovered or the sentence is softened to project staging.
AUDIT02-ROW-0028	AUDIT01-REM-0028	neck / hnecca	KlugeSeebold2011	[@KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR at the `hnecca` / Nacken-family entry; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0029	AUDIT01-REM-0029	neck / hnecca	Orel2003	[@Orel2003]	retained_broad_with_precise_reason	Searched Orel for `hnekk-` / `hnecc-` / `neck`; the hits were false positives (`NECKEL`, unrelated `*anzwōn`) rather than the target entry.	The Orel row remains broad because the exact comparative article was not safely recoverable from the current witness.	yes	remaining_generated_broad	Retain broad for now and revisit with a better headword recovery.
AUDIT02-ROW-0030	AUDIT01-REM-0030	needle / nǣdl	Hogg1992	[@Hogg1992]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Hogg1992 citation still supports a combined scholarly claim rather than a single isolated fact: Clark Hall records the attested citation form _nǣdl_ [@ClarkHall1960, 210].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0031	AUDIT01-REM-0031	sap / sæp	KlugeSeebold2011	[@KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR at the `wg. *sapi- ... ae. sæp` entry; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0032	AUDIT01-REM-0032	sap / sæp	KlugeSeebold2011	[@KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR at the `wg. *sapi- ... ae. sæp` entry; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0033	AUDIT01-REM-0033	staff / stæf	KlugeSeebold2011	[@KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR at the `g. *stabi-/a-` entry; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0034	AUDIT01-REM-0034	swan / swanes	ClarkHall1960	[@ClarkHall1960]	citation_removed_as_redundant	Bright 441 already gives both `swan` and the exact inflected `swanes` form.	Removed the redundant broad Clark Hall citation and kept the localized Bright evidence.	no	resolved_in_audit02	Removed the redundant broad Clark Hall citation and kept the localized Bright evidence.
AUDIT02-ROW-0035	AUDIT01-REM-0035	withy / wīþiġ	KlugeSeebold2011	[@KlugeSeebold2011; @Orel2003, 503]	citation_removed_as_redundant	Orel 503 already carries the comparative family claim that the sentence needed.	Removed the broad Kluge-Seebold duplicate from the comparative-evidence sentence.	no	resolved_in_audit02	Removed the broad Kluge-Seebold duplicate from the comparative-evidence sentence.
AUDIT02-ROW-0036	AUDIT01-REM-0036	world / weorold	Orel2003	[@Orel2003; @RingeTaylor2014, 341]	retained_broad_with_precise_reason	Searched Orel for world-family forms; the current witness yielded only an index pointer (`weorold 462`) and not the article page itself.	The Orel row remains broad because the index pointer alone is not safe enough to cite as the article locator.	yes	remaining_generated_broad	Recover the actual article page before narrowing the Orel citation.
AUDIT02-ROW-0037	AUDIT01-REM-0037	world / weorold	KlugeSeebold2011	[@KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR at the `*wira-aldō` / simplex `*wera-` material; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0038	AUDIT01-REM-0038	world / weorold	SieversBrunner1965	[@SieversBrunner1965; @BrightCassidyRingler1971, 465]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving SieversBrunner1965 citation still supports a combined scholarly claim rather than a single isolated fact: Old English does not preserve a single isolated form.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0039	AUDIT01-REM-0039	youth / ġeoguþ	Kroonen2013	[@Kroonen2013]	locator_added	Checked Kroonen p. 316: `*ju(w)unbi- ... OE geogoð`.	Localized the earlier etymological headword citation to `[@Kroonen2013, 316]`.	no	resolved_in_audit02	Localized the earlier etymological headword citation to `[@Kroonen2013, 316]`.
AUDIT02-ROW-0040	AUDIT01-REM-0040	ban / bannes	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 303]	citation_removed_as_redundant	Bosworth-Toller 303 already carries the noun and oblique `gebanne` evidence used in the sentence.	Removed the redundant broad Clark Hall citation from the Old English evidence sentence.	no	resolved_in_audit02	Removed the redundant broad Clark Hall citation from the Old English evidence sentence.
AUDIT02-ROW-0041	AUDIT01-REM-0041	ban / bannes	Campbell1959	[@Campbell1959]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Campbell1959 citation still supports a combined scholarly claim rather than a single isolated fact: From _\*bánnas_, the geminate remains medial before the case ending and the unstressed vowel develops regularly to give _bannes_.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0042	AUDIT01-REM-0042	fright / fyrhte	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Ringe and Taylor treat the later nominative forms with _-u_ or _-o_ as analogically remodeled, whereas the oblique in-stem forms continue the older history more directly [@RingeTaylor2014].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0043	AUDIT01-REM-0043	fright / fyrhte	BosworthToller1898	[@BosworthToller1898]	locator_added	Checked Bosworth-Toller p. 160: attested `fyrhte` in running text.	Localized the attested oblique form to `[@BosworthToller1898, 160]`.	no	resolved_in_audit02	Localized the attested oblique form to `[@BosworthToller1898, 160]`.
AUDIT02-ROW-0044	AUDIT01-REM-0044	fright / fyrhte	ClarkHall1960	[@ClarkHall1960]	locator_added	Checked Clark Hall p. 141: `fyrht ... fyrht-an, ian`.	Localized the adjective/verb distinction to `[@ClarkHall1960, 141]`.	no	resolved_in_audit02	Localized the adjective/verb distinction to `[@ClarkHall1960, 141]`.
AUDIT02-ROW-0045	AUDIT01-REM-0045	fright / fyrhte	Campbell1959	[@Campbell1959]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Campbell1959 citation still supports a combined scholarly claim rather than a single isolated fact: From _\*fúrxtīnaz_, the oblique in-stem develops through the loss and weakening of the final ending and the regular OE history summarized by Campbell as _-e < -i < -in_ in this class of abstracts [@Campbell1959].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0046	AUDIT01-REM-0046	hammer / hameres	BosworthToller1898	[@BosworthToller1898]	locator_added	Checked Bosworth-Toller p. 78: `beátendes hameres`.	Localized the genitival `hameres` citation to `[@BosworthToller1898, 78]`.	no	resolved_in_audit02	Localized the genitival `hameres` citation to `[@BosworthToller1898, 78]`.
AUDIT02-ROW-0047	AUDIT01-REM-0047	hammer / hameres	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960, 160]	citation_removed_as_redundant	The second broad Bosworth-Toller half was unnecessary once the attested genitive had its own BT locator and Clark Hall 160 already covered the simplex headword.	Dropped the redundant broad Bosworth-Toller half from the mixed dictionary sentence.	no	resolved_in_audit02	Dropped the redundant broad Bosworth-Toller half from the mixed dictionary sentence.
AUDIT02-ROW-0048	AUDIT01-REM-0048	have / hæfeþ	Kroonen2013	[@Kroonen2013; @RingeTaylor2014, 93]	retained_broad_with_precise_reason	Searched Kroonen for `hab-` / `haf-` / `hæf-` / `heb-`; the current hits were noisy and did not isolate the relevant verb article.	The surviving Kroonen citation still supports comparative verb-family background but was not page-recoverable in this pass.	yes	remaining_generated_broad	Leave broad until the exact comparative verb entry can be recovered safely.
AUDIT02-ROW-0049	AUDIT01-REM-0049	have / hæfeþ	Fulk2018	[@Fulk2018]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Fulk2018 citation still supports a combined scholarly claim rather than a single isolated fact: The selected input _\*xábēθi_ is therefore the 3sg present cell rather than a rephrasing of the infinitive.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0050	AUDIT01-REM-0050	man / mannes	Campbell1959	[@Campbell1959]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Campbell1959 citation still supports a combined scholarly claim rather than a single isolated fact: From _\*mánnas_, Anglo-Frisian brightening yields _\*mánnæs_, and the later unstressed merger gives _\*mánnes_, hence _mannes_ [@Campbell1959].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0051	AUDIT01-REM-0051	meed / meorde	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 647]	locator_added	Checked Clark Hall p. 214: `mēd I. f. ...`.	Localized the competing `mēd` doublet citation to `[@ClarkHall1960, 214]`.	no	resolved_in_audit02	Localized the competing `mēd` doublet citation to `[@ClarkHall1960, 214]`.
AUDIT02-ROW-0052	AUDIT01-REM-0052	meed / meorde	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: From _\*mízdai_, rhotacism gives _\*mírdai_.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0053	AUDIT01-REM-0053	shove / sċēaf	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Kroonen reconstructs the strong verb as _\*skeuban-_ ~ _\*skūban-_ and cites Old English present forms _scēofan_, _scūfan_ [@Kroonen2013, 444].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0054	AUDIT01-REM-0054	span / spanne	Orel2003	[@Orel2003; @Seebold1970, 450]	citation_removed_as_redundant	The Orel comparative-headword citation was not needed once the sentence was recast around Seebold 450 and the remaining broad Sievers-Brunner paradigm claim.	Removed the redundant broad Orel citation from the reconstruction sentence.	no	resolved_in_audit02	Removed the redundant broad Orel citation from the reconstruction sentence.
AUDIT02-ROW-0055	AUDIT01-REM-0055	span / spanne	SieversBrunner1965	[@SieversBrunner1965]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving SieversBrunner1965 citation still supports a combined scholarly claim rather than a single isolated fact: Seebold gives Old English _spann_ under this noun family [@Seebold1970, 450].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0056	AUDIT01-REM-0056	span / spanne	ClarkHall1960	[@ClarkHall1960]	locator_added	Checked Clark Hall p. 286: `span spann`.	Localized the citation noun support to `[@ClarkHall1960, 286]`.	no	resolved_in_audit02	Localized the citation noun support to `[@ClarkHall1960, 286]`.
AUDIT02-ROW-0057	AUDIT01-REM-0057	learn (iptv.2sg) / liorna	Fulk2018	[@Fulk2018]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Fulk2018 citation still supports a combined scholarly claim rather than a single isolated fact: Ringe and Taylor give Old English _liornian_ ~ _leornian_ from a learn-family base of the _\*lizn-_ type [@RingeTaylor2014, 38], and Kroonen likewise keeps the weak verb as _\*liznōn-_ [@Kroonen2013, 380].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0058	AUDIT01-REM-0058	lick (iptv.2sg) / licca	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Ringe and Taylor place the verb among the West Germanic class-II weak verbs, with PWGmc _\*li_/_ekkōn_ continuing as Old English _liccian_, Old Saxon _likkon_, and Old High German _lecchon_ [@RingeTaylor2014].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0059	AUDIT01-REM-0059	lick (3sg) / liccaþ	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Ringe and Taylor place the verb among the West Germanic class-II weak verbs, with PWGmc _\*li_/_ekkōn_ continuing as Old English _liccian_, Old Saxon _likkon_, and Old High German _lecchon_ [@RingeTaylor2014].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0060	AUDIT01-REM-0060	show (3sg) / sċēawaþ	BrightCassidyRingler1971	[@BrightCassidyRingler1971]	locator_added	Checked Bright p. 383: `geond-scēawian ... 3 sg. -sceawað`.	Localized the finite-cell evidence to `[@BrightCassidyRingler1971, 383]`.	no	resolved_in_audit02	Localized the finite-cell evidence to `[@BrightCassidyRingler1971, 383]`.
AUDIT02-ROW-0061	AUDIT01-REM-0061	knob / cnobba	Kroonen2011	[@Kroonen2011]	locator_added	"Checked Kroonen 2011 p. 297: `*knūbō, knuppaz ""knob""`."	Localized the knob-family comparative citation to `[@Kroonen2011, 297]`.	no	resolved_in_audit02	Localized the knob-family comparative citation to `[@Kroonen2011, 297]`.
AUDIT02-ROW-0062	AUDIT01-REM-0062	rust / rust	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Under Campbell's regular lowering of stressed _u_ before a following mid or low vowel, the citation-form input gives _rost_, not _rust_ [@Campbell1959, §115].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0063	AUDIT01-REM-0063	wolf / wulf	Kroonen2013	[@Kroonen2013; @RingeTaylor2014, 47]	retained_broad_with_precise_reason	Searched Kroonen for `wulfaz` / `wulf`; the current witness returned collateral mentions in other etymologies rather than a clean headword article.	The surviving Kroonen row remains broad because the direct wolf article was not recovered safely from the current witness.	yes	remaining_generated_broad	Retain broad until the direct Kroonen wolf article is recovered.
