inventory_id	manifest_or_spot_id	entry	source_key	action_taken	outcome_summary	follow_up_needed
AUDIT05-ROW-0011	AUDIT04-REM-0011	loam / lām	Orel2003	source_preparation_needed	Marked the Orel loam-family citation as source-preparation-needed because the entry is visible in local text but not tied to a safe printed page.	Recover the exact Orel page from a PDF/page image or keep the comparative-family citation broad.
AUDIT05-ROW-0012	AUDIT04-REM-0012	loam / lām	BosworthToller1898	source_preparation_needed	Marked the Bosworth-Toller _lām_ headword citation as source-preparation-needed because the OCR still is not page-safe.	Recover a page-safe Bosworth-Toller witness or keep the broad corroborating dictionary citation.
AUDIT05-ROW-0013	AUDIT04-REM-0013	neck / hnecca	KlugeSeebold2011	source_witness_needed	Marked the Kluge neck-family citation as witness-blocked pending a paginated witness.	Use a paginated Kluge-Seebold witness for the _Nacken_ entry.
AUDIT05-ROW-0014	AUDIT04-REM-0014	neck / hnecca	Orel2003	source_preparation_needed	Marked the Orel neck-family citation as source-preparation-needed because the current witness does not recover a safe page.	Recover the exact Orel page from a PDF/page image or keep the comparative label broad.
AUDIT05-ROW-0015	AUDIT04-REM-0015	needle / nǣdl	Hogg1992	retained_broad_with_source_specific_reason	Retained the broad Hogg citation because the needle cluster history remains a distributed handbook discussion.	Keep the broad handbook citation unless the historical-background sentence is split further.
AUDIT05-ROW-0016	AUDIT04-REM-0016	sieve / sife	KlugeSeebold2011	source_witness_needed	Marked the Kluge sieve-family citation as witness-blocked pending a paginated witness.	Use a paginated Kluge-Seebold witness for the sieve entry.
AUDIT05-ROW-0017	AUDIT04-REM-0017	world / weorold	Orel2003	source_preparation_needed	Marked the Orel world-family citation as source-preparation-needed because the current witness does not recover a safe page.	Recover the exact Orel page from a PDF/page image or keep the comparative vocalism citation broad.
AUDIT05-ROW-0018	AUDIT04-REM-0018	world / weorold	KlugeSeebold2011	source_witness_needed	Marked the Kluge world-family citation as witness-blocked pending a paginated witness.	Use a paginated Kluge-Seebold witness for the world-family entry.
AUDIT05-ROW-0019	AUDIT04-REM-0019	world / weorold	SieversBrunner1965	retained_broad_with_source_specific_reason	Retained the broad Sievers-Brunner world-form-set citation because the variant cluster remains distributed across the paradigm discussion.	Retain broad unless the variant-set sentence is split into a narrower localized clause.
AUDIT05-ROW-0020	AUDIT04-REM-0020	ban / bannes	Campbell1959	retained_broad_with_source_specific_reason	Retained the broad Campbell citation for `ban / bannes` because the nominative-versus-genitive contrast still bundles multiple rule steps.	Retain broad unless a safer Campbell section for the nominative simplification clause is recovered.
AUDIT05-ROW-0021	AUDIT04-REM-0021	fright / fyrhte	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor citation for `fright / fyrhte` because the nominative-remodeling argument remains specialized and distributed.	Retain broad unless the nominative-remodeling clause can be isolated to a verified page.
AUDIT05-ROW-0022	AUDIT04-REM-0022	fright / fyrhte	Campbell1959	prose_softened_to_project_framing	Softened the Campbell-based derivational sentence in `fright / fyrhte` to explicit project framing and removed the unsupported broad attribution.	No further action on this generated row in audit 05.
AUDIT05-ROW-0023	AUDIT04-REM-0023	man / mannes	Campbell1959	locator_added	Localized the Campbell citation in `man / mannes` to `§621` and recast the derivational sentence as project framing around the verified paradigm.	No further action on this generated row in audit 05.
AUDIT05-ROW-0024	AUDIT04-REM-0024	shove / sċēaf	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor citation for `shove / sċēaf` because the class-II present/preterite split remains distributed.	Retain broad unless the class-II split clause is separated from the rest of the paragraph.
AUDIT05-ROW-0025	AUDIT04-REM-0025	span / spanne	SieversBrunner1965	retained_broad_with_source_specific_reason	Retained the broad Sievers-Brunner citation for `span / spanne` because the dative-singular background still spans the broader paradigm discussion.	Retain broad unless the paradigm-cell sentence is recast around already localized Seebold and Clark Hall evidence.
AUDIT05-ROW-0026	AUDIT04-REM-0026	learn (iptv.2sg) / liorna	Fulk2018	retained_broad_with_source_specific_reason	Retained the broad Fulk citation for `learn (iptv.2sg) / liorna` because the exact page for the learn-family clause is still unverified.	Retain broad until the precise Fulk page is recovered.
AUDIT05-ROW-0027	AUDIT04-REM-0027	lick (iptv.2sg) / licca	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor family-background citation for `lick (iptv.2sg) / licca`; the finite-cell ending point is already localized to p. 80.	Retain broad family framing unless a page-localized Ringe-Taylor discussion of the lick family is recovered.
AUDIT05-ROW-0028	AUDIT04-REM-0028	lick (3sg) / liccaþ	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor family-background citation for `lick (3sg) / liccaþ`; the finite-cell ending point is already localized to p. 80.	Retain broad family framing unless a page-localized Ringe-Taylor discussion of the lick family is recovered.
AUDIT05-ROW-0029	AUDIT04-REM-0029	wolf / wulf	Kroonen2013	source_preparation_needed	Marked the Kroonen wolf-family citation as source-preparation-needed because the entry is confirmed locally but not page-safe.	Recover the exact Kroonen page from a PDF/page image or keep the comparative-family citation broad.
AUDIT05-ROW-0030	AUDIT04-REM-0030	wolf / wulf	SieversBrunner1965	prose_softened_to_project_framing	Softened the high-vowel control sentence in `wolf / wulf` to explicit project framing and relied on the already localized Sievers-Brunner `§160` evidence elsewhere in the entry.	No further action on this generated row in audit 05.
AUDIT05-SPOT-0001	AUDIT04-0001	three / þrīe	Kroonen2013	spotcheck_confirmed_safe	Confirmed p. 586 in the Kroonen witness; the `*pri-` numeral entry and OE `þrī` line are present and the prose remains within source support.	No correction needed.
AUDIT05-SPOT-0002	AUDIT04-0002	have / hæfeþ	Kroonen2013	spotcheck_confirmed_safe	Confirmed p. 237 in the Kroonen witness; the `*haben-` entry and OE `habban` continuation are present and the prose remains within source support.	No correction needed.
AUDIT05-SPOT-0003	AUDIT03-0009	meed / meorde	RingeTaylor2014	spotcheck_confirmed_safe	Confirmed the corrected Ringe page 99 entry for `PGmc *mizdo ... > OE meord ~ méd`; the detailed oblique-cell chain still reads as explicit project framing.	No correction needed.
