audit_id	category	prepass_manifest_id	entry	source_key	prepass_citation_span	action_taken	source_passage_checked	locator_or_reason	appears_in_generated_after	postpass_status	notes
AUDIT04-ROW-0017	generated_row	AUDIT03-REM-0017	sieve / sife	KlugeSeebold2011	[@KlugeSeebold2011; @Campbell1959, §609]	source_witness_needed	Rechecked Kluge for the _*sibi-_ / _sife_ line and confirmed that the local witness remains unpaginated.	Kluge still serves as secondary comparative support for the West Germanic _*sibi-_ line behind _sife_, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available.
AUDIT04-ROW-0018	generated_row	AUDIT03-REM-0018	world / weorold	Orel2003	[@Orel2003; @RingeTaylor2014, 341]	source_witness_needed	Rechecked Orel for a page-safe _weorold_ article and did not recover one in the available witness.	Orel still preserves the older _*wira-_ vocalism tradition behind _weorold_, but this pass did not recover a page-safe article in the available witness.	yes	remaining_generated_broad	Recover a page-safe Orel world-family article or keep the broad vocalism citation as comparative framing.
AUDIT04-ROW-0019	generated_row	AUDIT03-REM-0019	world / weorold	KlugeSeebold2011	[@KlugeSeebold2011]	source_witness_needed	Rechecked Kluge for the _*wira-aldō_ compound support and confirmed that the local witness remains unpaginated.	Kluge still preserves the _*wira-aldō_ compound line behind _weorold_, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available.
AUDIT04-ROW-0020	generated_row	AUDIT03-REM-0020	world / weorold	SieversBrunner1965	[@SieversBrunner1965; @BrightCassidyRingler1971, 465]	retained_broad_with_source_specific_reason	Rechecked the broader _weorold / world / wurold_ form set in Sievers-Brunner and left the citation broad.	The remaining Sievers-Brunner citation still carries the wider _weorold / world / wurold_ form set, which was not isolated to one safer section in this pass.	yes	remaining_generated_broad	Retain broad for now or split the orthographic/paradigmatic background from the localized Bright evidence.
AUDIT04-ROW-0021	generated_row	AUDIT03-REM-0021	ban / bannes	Campbell1959	[@Campbell1959]	retained_broad_with_source_specific_reason	Rechecked the Campbell comparison between medial-geminate _bannes_ and citation-form _ban_.	The Campbell citation still supports the nominative _ban_ contrast against medial-geminate _bannes_, but the combined apocope-plus-simplification clause was not isolated to a safer section.	yes	remaining_generated_broad	Retain broad for now and isolate the exact Campbell section if the comparison sentence is kept.
AUDIT04-ROW-0022	generated_row	AUDIT03-REM-0022	fright / fyrhte	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the Ringe-Taylor analogical-nominative discussion for _fyrhte_ and left it broad.	The Ringe-Taylor citation still carries the nominative-remodeling versus oblique-inheritance contrast behind _fyrhte_.	yes	remaining_generated_broad	Retain broad for now and isolate the exact Ringe-Taylor page if the analogical contrast remains in prose.
AUDIT04-ROW-0023	generated_row	AUDIT03-REM-0023	fright / fyrhte	Campbell1959	[@Campbell1959]	retained_broad_with_source_specific_reason	Rechecked the Campbell abstract-noun development claim for _fyrhte_ and left it broad.	The Campbell citation still carries the abstract-noun _-e < -i < -in_ development behind _fyrhte_, but the exact section was not safely isolated in this pass.	yes	remaining_generated_broad	Retain broad for now and isolate the exact Campbell section if the derivational sentence remains combined.
AUDIT04-ROW-0024	generated_row	AUDIT03-REM-0024	have / hæfeþ	Kroonen2013	[@Kroonen2013; @RingeTaylor2014, 93]	locator_added	"Verified Kroonen p. 237 for `*haben- w.v. ""to have"" ... OE habban w.v.`."	Localized to `[@Kroonen2013, 237; @RingeTaylor2014, 93]`.	no	resolved_in_audit04	The broader class-III weak-verb Kroonen clause is now page-specific.
AUDIT04-ROW-0025	generated_row	AUDIT03-REM-0025	man / mannes	Campbell1959	[@Campbell1959]	retained_broad_with_source_specific_reason	Rechecked the Campbell derivational chain for _mannes_ and left the combined rule chain broad.	The Campbell citation still supports the brightening-plus-unstressed-merger path behind _mannes_, but the combined rule chain was not isolated to a safer section in this pass.	yes	remaining_generated_broad	Retain broad for now and isolate the exact Campbell section if the derivational sentence remains combined.
AUDIT04-ROW-0026	generated_row	AUDIT03-REM-0026	shove / sċēaf	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the Ringe-Taylor present-versus-preterite split behind _sċēaf_ and left it broad.	The remaining Ringe-Taylor citation still supplies the class-II present-versus-preterite split behind the selected _sċēaf_ cell, but not on an isolated page yet.	yes	remaining_generated_broad	Retain broad for now and isolate the exact class-II discussion page if the sentence remains combined.
AUDIT04-ROW-0027	generated_row	AUDIT03-REM-0027	span / spanne	SieversBrunner1965	[@SieversBrunner1965]	retained_broad_with_source_specific_reason	Rechecked the Sievers-Brunner dative-singular paradigm background for _spanne_ and left it broad.	The remaining Sievers-Brunner citation still supplies the dative-singular paradigm background behind _spanne_, but the exact supporting section was not isolated safely.	yes	remaining_generated_broad	Retain broad for now or recast the paradigm sentence around already localized Seebold and Clark Hall evidence.
AUDIT04-ROW-0028	generated_row	AUDIT03-REM-0028	learn (iptv.2sg) / liorna	Fulk2018	[@Fulk2018]	retained_broad_with_source_specific_reason	Rechecked Fulk for a page-safe _*liznō-_ learn-family citation and did not verify one safely in this pass.	The Fulk citation still marks the _*liznō-_ learn-family background behind _liorna_, but the exact page was not verified safely in this pass.	yes	remaining_generated_broad	Retain broad for now and verify the exact Fulk page before narrowing the citation.
AUDIT04-ROW-0029	generated_row	AUDIT03-REM-0029	lick (iptv.2sg) / licca	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked Ringe-Taylor for a page-safe class-II weak-verb citation behind imperative _licca_ and left it broad.	The Ringe-Taylor citation still supplies the West Germanic class-II weak-verb background behind imperative _licca_.	yes	remaining_generated_broad	Retain broad for now and verify the exact Ringe-Taylor page before narrowing the citation.
AUDIT04-ROW-0030	generated_row	AUDIT03-REM-0030	lick (3sg) / liccaþ	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked Ringe-Taylor for a page-safe class-II weak-verb citation behind 3sg _liccaþ_ and left it broad.	The Ringe-Taylor citation still supplies the West Germanic class-II weak-verb background behind 3sg _liccaþ_.	yes	remaining_generated_broad	Retain broad for now and verify the exact Ringe-Taylor page before narrowing the citation.
AUDIT04-ROW-0031	generated_row	AUDIT03-REM-0031	wolf / wulf	Kroonen2013	[@Kroonen2013; @RingeTaylor2014, 47]	retained_broad_with_source_specific_reason	Rechecked the broader Kroonen wolf-family clause and did not recover a safe direct article page.	Kroonen still supplies broader wolf-family background, but the direct _*wulfa-_ article page was not safely recovered in this pass.	yes	remaining_generated_broad	Recover the direct Kroonen wolf article page or keep the broad comparative-family citation.
AUDIT04-ROW-0032	generated_row	AUDIT03-REM-0032	wolf / wulf	SieversBrunner1965	[@SieversBrunner1965]	retained_broad_with_source_specific_reason	Rechecked the Sievers-Brunner counterfactual high-vowel-oblique clause for _wulf_ and left it broad.	The remaining Sievers-Brunner citation still frames the counterfactual high-vowel oblique comparison behind _wulf_, which has not yet been rewritten into fully explicit project framing.	yes	remaining_generated_broad	Either isolate the exact paradigm rule or soften the counterfactual sentence further.
AUDIT04-SPOT-0009	audit03_spotcheck	AUDIT03-0009	meed / meorde	RingeTaylor2014	[@RingeTaylor2014, 285]	prose_softened_to_project_framing	Audit-04 spot-check verified that the direct `PGmc *mizdo > ... > OE meord ~ méd` line is on p. 99 of the local witness; p. 285 does not contain the cited material.	Corrected the localized citation to `[@RingeTaylor2014, 99]` and revised the sentence so the fuller oblique-cell chain is explicit project framing.	no	spotcheck_corrected	Audit 03 evidence discipline held for the other eight spot-checked locators; this was the only correction needed.
