# Retraction trigger-vowel survey
# OE rows with surface 'a' suggesting retraction, n=143
# columns: ID	PROTOFORM	COUNTERPART	vowel-sequence

2207	*spínnaną	spinnan	í,a,ą
2210	*spráidijaną	sprǣdan	á,i,i,a,ą
2213	*stúrtijaną	styrtan	ú,i,a,ą
2214	*stérbaną	steorfan	é,a,ą
2215	*stélaną	stelan	é,a,ą
2217	*stéllijaną	stillan	é,i,a,ą
2224	*stráwą	strēaw	á,ą
2225	*stráumaz	strēam	á,u,a
2226	*strákkijaną	streċċan	á,i,a,ą
2227	*stráwjaną	strewian	á,a,ą
2233	*sūpaną	sūpan	ū,a,ą
2234	*swálwōn	swealwe	á,ō
2235	*swánas	swanes	á,a
2236	*swéllaną	swellan	é,a,ą
2237	*swímmaną	swimman	í,a,ą
2240	*táppan	tæppan	á,a
2241	*táugmaz	tēam	á,u,a
2244	*θánkaz	þanc	á,a
2248	*θánkijaną	þenċan	á,i,a,ą
2253	*θréskaną	þresċan	é,a,ą
2261	*tángō	tange	á,ō
2264	*trédaną	tredan	é,a,ą
2266	*wádaną	wadan	á,a,ą
2268	*wákaną	wacan	á,a,ą
2269	*wárpą	wearp	á,ą
2270	*wérpaną	weorpan	é,a,ą
2271	*wártōn	wearte	á,ō
2272	*wáskaną	wascan	á,a,ą
2275	*wáxsą	weax	á,ą
2276	*wáxsaną	weaxan	á,a,ą
2281	*wébaną	wefan	é,a,ą
2286	*xwīnaną	hwīnan	ī,a,ą
2289	*wáldaną	wealdan	á,a,ą
2292	*wéljaną	willan	é,a,ą
2294	*wíndaną	windan	í,a,ą
2297	*wálθuz	weald	á,u
2304	*wrínganą	wringan	í,a,ą
2305	*gárną	ġearn	á,ą
2309	*mákô	maca	á,ô
2310	*mákōθi	macaþ	á,ō,i
2317	*skáwô	sċēawa	á,ô
2318	*skáwōθi	sċēawaþ	á,ō,i
