# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv + registry/sc_inventory_notes.tsv + germanic.txt + rule_coverage_census
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# current_order is the ARCHIVAL inventory order (registry inventory_order),
# not the executable cascade position; executable positions come from
# oe_pipeline / cascade_order_manifest.tsv.
change_id	current_order	display_name	stage	trace_stage	rule_source_path	rule_source_anchor	foma_definition_raw	plain_description_draft	appears_in_compact_trace	firing_count	firing_lexemes	illustrative_lexemes	literature_status	order_sensitivity_status	notes	entry_type	include_in_volume	historical_stage	pipeline_stage	canonical_change_id	duplicate_group	is_reader_facing	review_note	needs_human_review
SC011	11	PWGmc Syllabic J	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcSyllabicJ	define PWGmcSyllabicJ [ {*j} {*a} -> {*i} || EnglishStarShortVowel EnglishStarConsonant _ .#., {*j} {*ą} -> {*i} || EnglishStarShortVowel EnglishStarConsonant _ .#. ];	PWGmc Syllabic J	no	0			not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Proto-West Germanic developments	SC011		yes		no
SC012	12	Northern West Germanic *lþ*-voicing	Northern West Germanic	Northern West Germanic	Germanic/fsts/germanic.txt	define EAFLThVoicing	define EAFLThVoicing [ {*θ} -> {*d} || {*l} _ ];	PWGmc L Th Voicing	yes	4	field, fold, gold, wold		not_started	not_started		historical_sound_change	yes	Northern West Germanic	Northern West Germanic	SC012		yes	Scope north_wgmc (confidence B): comparative evidence supports lþ>ld most clearly in northern West Germanic, not as an unqualified pan-PWGmc change (R/T pp.170-171; Campbell §414). Identifier EAFLThVoicing retained as stable impl name.	no
SC013	13	PWGmc Dental Hardening	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcDentalHardening	define PWGmcDentalHardening [ {*ð} -> {*d} ];	PWGmc Dental Hardening	yes	4	cud, find, lade, needle		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Proto-West Germanic developments	SC013		yes		no
SC014	1	NWGmc Unstressed Ai Monophthongization	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcUnstressedAiMonophthongization	define PNWGmcUnstressedAiMonophthongization [ {*ai} -> {*ē} ];	NWGmc Unstressed Ai Monophthongization	yes	2	meed, span		not_started	not_started	Unstressed *ai → *ē in final AND nonfinal environments (Ringe-Taylor's rule is unstressed *ai > *ē, not merely word-final; Proto-Northwest Germanic, early; R/T pp.37-41, §6.1.5). Split out of the former bundled SC004; executes at the head of EarlyEnglishLineChanges (former SC004 slot). Two corpus witnesses by PROTOFORM: span (*spánnai dat.sg → spanne) and meed (*mízdai → meorde). Former no-op {*ăi}->{*ē} removed.	historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC014		yes		no
SC015	15	NWGmc I Lowering	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcILowering	define PNWGmcILowering [ {*i} -> {*e} || .#. EnglishStarNonVelarConsonant* _ EnglishStarCoronal+ EnglishStarNonHighVowel, {*í} -> {*é} || .#. EnglishStarNonVelarConsonant* _ EnglishStarCoronal+ EnglishStarNonHighVowel ];	NWGmc I Lowering	yes	4	meed, nest, wether, world		not_started	not_started		historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC015		yes		no
SC016	16	OE Ws Palatal Glide	Orthography & surface	Orthography & surface	Germanic/fsts/germanic.txt	define OEWsPalatalGlide	define OEWsPalatalGlide [ {*ó} -> {*éo} || .#. ġ _ , {*ú} -> {*éo} || .#. ġ _ , {*o} -> {*eo} || .#. ġ _ , {*u} -> {*eo} || .#. ġ _ ];	OE Ws Palatal Glide	yes	2	yoke, youth		adjudicated	not_started		orthography_surface	yes	Old English	Orthography & surface	SC016		yes	REPAIRED (sc016-017-adjudication.md): moved to its historical OE/WS position after OldEnglishOrthography and reformulated as glide spelling of back vowels (o/ó/u/ú) after word-initial ġ (R/T p.5: geoc is /jok/, eo orthographic; Hogg CHEL I p.112; Brunner §92.1; Bülbring §§298-299; Campbell §44). SC017 now feeds SC016 (*juka > *joka > geoc). Absorbs the former SC093 OEGlideUToEO. Historical domain is broader (also a/ā/ō subcases in the handbooks), but the executable rule is intentionally complete only for currently selected corpus witnesses.	no
SC017	17	NWGmc U Lowering	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcULowering	define PNWGmcULowering [ {*u} -> {*o} || .#. EnglishStarConsonant* _ [EnglishStarConsonantNoJ - EnglishStarNasal] EnglishStarConsonantNoJ* EnglishStarNonHighVowel, {*ú} -> {*ó} || .#. EnglishStarConsonant* _ [EnglishStarConsonantNoJ - EnglishStarNasal] EnglishStarConsonantNoJ* EnglishStarNonHighVowel ];	NWGmc U Lowering	yes	39	board, bore, bottom, bow, corn, crop, door, foal, folk, fox, frost, god, gold, hoard, horn, knob, lock, nose, oven, ox, coat, shovel, sorrow, spur, stock, stork, storm, thorn, trough, word, yoke, bore (iptv.2sg), bore (3sg), buck, fowl, rust, wolf, wool		adjudicated	not_started		historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC017		yes		no
SC018	18	NWGmc Stressed Monosyllable O Raising	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcStressedMonosyllableORaising	define PNWGmcStressedMonosyllableORaising [ {*ō} -> {*ū} || .#. [EnglishStarConsonant | EnglishPalatalConsonant]* _ .#. ];	NWGmc Stressed Monosyllable O Raising	yes	1	both		not_started	not_started		historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC018		yes		no
SC019	19	NWGmc Final Long O Raising	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcFinalLongORaising	define PNWGmcFinalLongORaising [ {*ō} -> {*u} || EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#. ];	NWGmc Final Long O Raising	yes	29	beech, bier, dew, hall, help, herd, hind, linden, liver, lung, lye, march, nave, needle, nose, rind, rood, sake, salve, shame, shovel, shower, sorrow, soul, spindle, tongs, while, rust, wool		not_started	not_started		historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC019		yes		no
SC020	20	West Germanic final *z*-deletion	West Germanic	West Germanic	Germanic/fsts/germanic.txt	define EAFFinalZDeletion	define EAFFinalZDeletion [{*z} -> 0 || .#. ?* EnglishStarVocalic [EnglishStarConsonant | EnglishPalatalConsonant]+ EnglishStarVocalic ?* _ .#., .#. [EnglishStarConsonant | EnglishPalatalConsonant]* EnglishStarVocalic+ [EnglishStarConsonant | EnglishPalatalConsonant]+ _ .#.];	PGmc Final Z Deletion	yes	111	beard, beaver, belly, birth, bosom, bottom, bough, breeches, bride, calf, comb, craft, crop, cud, dale, day, deal, deed, dill, dough, dream, drench, eel, fern, field, finger, fish, fist, flesh, flood, fox, friend, fright, gang, ghost, gift, ground, guest, hand, harm, harvest, hawk, hazel, hearth, heath, hedge, helm, home, hood, hoof, hound, knight, leek, loath, lock, lust, malt, mast, might, milk, month, mood, nail, need, one, oven, raven, reek, rest, coat, rudder, rye, sea, seam, sheath, shield, shilling, shoulder, snow, spoon, staff, stem, stock, stone, stool, stork, storm, stream, string, summer, team, thane, thanks, thief, thirst, thorn, three, thunder, tide, wain, wasp, way, whale, wight, winter, wold, worm, you, buck, fowl, wolf		adjudicated	not_started	Narrowed 2026 (three-rule split, adjudication memo sc020-three-rule-adjudication.md): now the PWGmc loss of word-final *z in unstressed syllables only (R/T 2014 pp.44-45, 212; Crist 2002 §5). Clause (i) polysyllabic final *z; clause (ii) post-consonantal monosyllabic *z at corridor stage, reached only by contraction-created *fríundz (friend) whose lost syllable was unstressed when the change applied. Root-noun nominatives (book/flea/goose/louse) now fall under SC096; the later northern stressed-monosyllable loss is SC097 (unwitnessed). Identifier EAFFinalZDeletion retained pending global rename; hist stage corrected West Germanic -> Proto-West Germanic per Dossier B.	historical_sound_change	yes	Proto-West Germanic	West Germanic	SC020		yes	Historically a West Germanic loss of word-final *z in unstressed syllables (Crist2002 §5; Campbell p.166; Hogg p.37; Kilday2024) — NOT Proto-Germanic. Precedes rhotacism (Crist); implemented via scoping. One computational rule stands for the pan-WGmc core + later Ingvaeonic deletions; all-WGmc vs Ingvaeonic scope unresolved (B). Identifier EAFFinalZDeletion retained as stable impl name.	no
SC022	22	Common Germanic Mn Dissimilation	Common Germanic	SC018-SC025 editorial holding zone	Germanic/fsts/germanic.txt	define PNWGmcMnDissimilation	define PNWGmcMnDissimilation [ {*m} -> {*β} || EnglishStarVocalic _ {*n} ];	Common Germanic Mn Dissimilation	yes	1	stem		adjudicated	boundary_limited	Literal adjacent mn > βn. Fulk 2018 p.121 §6.11 and Polomé 1967 pp.818-819 support a late PGmc/Common-Germanic cluster change, not a securely PNWGmc innovation; PNWGmcMnDissimilation remains the stable Foma identifier only. witness_count (trace_occurrence_count) = 1 (stem: *stámniz > stefn). heaven is deeper comparative/paradigmatic evidence (ON himinn:hifni), NOT a direct row-level witness; SC022 does not fire in selected *xébun > heofon. No positive local ordering is established; executable position 22 is an editorial/computational holding-zone placement, not historical subgroup evidence.	historical_sound_change	yes	Proto-Germanic	SC018-SC025 editorial holding zone	SC022		yes		no
SC023	23	Proto-Germanic Word-Final N Loss	Proto-Germanic	SC018-SC025 editorial holding zone	Germanic/fsts/germanic.txt	define PNWGmcNStemNLoss	define PNWGmcNStemNLoss [ {*ō} {*n} -> {*ǭ} || _ .#. ];	Proto-Germanic Word-Final N Loss	yes	17	adder, earth, flask, heart, line, list, nettle, nightmare, side, sun, swallow, toe, tongue, wart, weasel, whore, widow		adjudicated	first_break_complete	General (pre-)PGmc loss of word-final *-n with nasalization (Ringe 2017 pp.101-103; proof set includes verb *dedǭ and pronoun *þanǭ; Goth. tuggo shares the weak nom.sg. outcome). Executable {*ō}{*n}-only environment is a deliberate citation-form proxy: all 17 firings are weak-noun citation stems in *-ōn-, and PGmc *sebun/*nigun/*tehun/*hebun retained -un (numeral analogy, Ringe 2017 p.103) and must not be touched. do is a counterfeeding (negative) witness only: OE dōn retains secondary final -n created by SC047, so the loss predates the OE apocope; stage-entailed, not a tight local adjacency. PNWGmcNStemNLoss remains the stable Foma identifier only; executable position 23 is an editorial/computational holding-zone placement. See sc023-adjudication.md.	historical_sound_change	yes	Proto-Germanic	SC018-SC025 editorial holding zone	SC023		yes		no
SC024	24	NWGmc Long E1 Lowering (e1 > a)	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcLongELowering	define PNWGmcLongELowering [ {*ḗ} -> {*ā} ];	NWGmc Long E1 Lowering	yes	17	adder, bier, deed, eel, hair, let, meal, month, needle, read, sheep, sleep, spoon, weapon, year, sow, betray		adjudicated	first_break_complete	Change A of the e1 complex (re-adjudication superseding the one-step proxy): early NWGmc stressed *ē₁ > *ā in ALL environments, nasal forms included (R/T print PNWGmc *mānō, *mānōþ-, *spānuz; vol.2 pp.11-12). Pan-NWGmc, Early Runic makija later 2nd c. AD (Grønvik 1998: 87 apud R/T p.12); R/T p.13 + n.3 restrict the law to stressed syllables — executable input is the stressed tier {*ḗ} only, so the five unstressed selected-input tokens (father, mother, sister, have, live) no longer fire here and take the §6.8.3 shortening path (R/T p.147 *fadēr > *fader). Reconstruction disputed: Fulk 2018 §4.6 (low-front *ǣ retained in Anglo-Frisian), Bennett 1950: 232-235 and Grønvik retention view, Campbell §§128-129 noncommittal — confidence B. Fires 17 times (14 oral roots incl. betray, plus sow, month, spoon); output *ā is consumed by SC025 (nasal) and SC101 (non-nasal). Moved to executable position 4: composed inside EarlyEnglishLineChanges immediately after PNWGmcAToUBeforeM, ahead of every genuinely PWGmc innovation (early i-apocope, *ij contraction, j-gemination, syllabic *j, dental hardening), matching its early pan-NWGmc dating (Early Runic makija, later 2nd c. AD). See sc024-sc025-sc101-e1-complex-adjudication.md.	historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC024		yes		no
SC025	25	NSGmc Long A Nasalization (*a-long > *a-nasal-long / _N)	Early Anglo-Frisian	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define EAFLongANasalRounding	define EAFLongANasalRounding [ {*ā} -> {*ã} || _ EnglishStarNasal ];	NSGmc Long A Nasalization	yes	2	month, spoon		adjudicated	first_break_complete	ADJUDICATED (sc025-sc104-nasalized-low-vowel-adjudication.md): SPLIT. This rule now performs NASALIZATION only — inherited long *ā is nasalized before a retained nasal — and the rounding to *ō is the separate later Anglo-Frisian change SC104 EAFNasalizedLowRounding. Campbell §128 n.1 p.50 shows the intermediate was nasalized but NOT rounded, and that one later change rounded the nasalized vowel from §119, from §121 and from *ǣ alike. Scope north_sea_germanic is now correct for the nasalization specifically: Old Saxon nasalizes stressed low vowels (R/T §5.1.2 p.142) but does not share the Anglo-Frisian rounding. Input is the historical *ā of that stage (centrally *ā < *ē₁ via SC024); confidence B is inherited from that disputed *ē₁ pathway and does not transfer to SC104. Must precede SC004: displacing SC004 before this rule wrongly rounds stone/home (**stōn, **hōm). Identifier EAFLongANasalRounding kept as a stable implementation name; rename deferred to an isolated rename pass.	historical_sound_change	yes	North Sea Germanic	Early Anglo-Frisian	SC025		yes		no
SC026	26	North Sea Germanic Nasal-Spirant Law (lengthening step)	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define EAFNasalSpirantLengthening	define EAFNasalSpirantLengthening [ {*a} -> {*ã} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*i} -> {*ī} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*u} -> {*ū} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*á} -> {*ã} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*í} -> {*ī} || _ EnglishStarNasal EnglishStarNSGmcSpirant, {*ú} -> {*ū} || _ EnglishStarNasal EnglishStarNSGmcSpirant ];	North Sea Germanic Nasal-Spirant Law (lengthening step)	yes	2	goose, youth		adjudicated	first_break_complete	ADJUDICATED (sc026-sc027-nasal-spirant-adjudication.md): SC026+SC027 are ONE historical sound change — the North Sea Germanic (Ingvaeonic) nasal-spirant law — implemented as two ordered transducer operations, because the vowel must be read while the conditioning nasal is still present. Domain restricted to *mf/*nþ/*ns (Campbell §121 p.47; Fulk §4.11; Sievers-Brunner §186.1; R/T §5.1.1 pp.139-41). Nasal loss before *x split out as the pan-Germanic SC103 PGmcNasalLossBeforeX (Campbell §119 p.44; Fulk §4.1); fist therefore withdrawn as a witness. Input vowels narrowed to *a/*i/*u (Fulk §4.1: e and o do not occur here). Corpus outputs unchanged.	historical_sound_change	yes	North Sea Germanic	Northwest Germanic developments	SC026		yes		no
SC027	27	North Sea Germanic Nasal-Spirant Law (nasal-loss step)	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define EAFNasalSpirantLoss	define EAFNasalSpirantLoss [ EnglishStarNasal -> 0 || _ EnglishStarNSGmcSpirant ];	North Sea Germanic Nasal-Spirant Law (nasal-loss step)	yes	2	goose, youth		adjudicated	first_break_complete	ADJUDICATED (sc026-sc027-nasal-spirant-adjudication.md): SC026+SC027 are ONE historical sound change — the North Sea Germanic (Ingvaeonic) nasal-spirant law — implemented as two ordered transducer operations, because the vowel must be read while the conditioning nasal is still present. Domain restricted to *mf/*nþ/*ns (Campbell §121 p.47; Fulk §4.11; Sievers-Brunner §186.1; R/T §5.1.1 pp.139-41). Nasal loss before *x split out as the pan-Germanic SC103 PGmcNasalLossBeforeX (Campbell §119 p.44; Fulk §4.1); fist therefore withdrawn as a witness. Input vowels narrowed to *a/*i/*u (Fulk §4.1: e and o do not occur here). Corpus outputs unchanged.	historical_sound_change	yes	North Sea Germanic	Northwest Germanic developments	SC026		yes		no
SC028	28	NWGmc Preconsonantal X Loss	Northwest Germanic developments	Northwest Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcPreconsonantalXLoss	define PNWGmcPreconsonantalXLoss [ {*x} -> 0 || _ {*s} EnglishStarConsonant ];	NWGmc Preconsonantal X Loss	yes	1	fist		not_started	not_started		historical_sound_change	yes	Northwest Germanic	Northwest Germanic developments	SC028		yes		no
SC029	29	OE Awj Glide Formation	Old English	Old English	Germanic/fsts/germanic.txt	define OEAwjGlideFormation	define OEAwjGlideFormation [ {*á} {*w} {*w} {*j} -> {*áu} {*j}, {*a} {*w} {*w} {*j} -> {*au} {*j}, {*á} {*w} {*j} -> {*áu} {*j}, {*a} {*w} {*j} -> {*au} {*j} ];	OE Awj Glide Formation	yes	2	hay, strew		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC029		yes		no
SC030	30	OE Au Fronting	Old English	Old English	Germanic/fsts/germanic.txt	define OEAuFronting	define OEAuFronting [ {*au} -> {*aeu}, {*áu} -> {*áeu} ];	OE Au Fronting	yes	18	believe, bow, bread, dream, flea, hay, head, leaf, leek, lye, need, reek, seam, shove, stream, strew, team		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC030		yes		no
SC031	31	OE WW Simplification	Old English	Old English	Germanic/fsts/germanic.txt	define OEWWSimplification	define OEWWSimplification [ {*w} {*w} -> {*w} ];	OE WW Simplification	yes	5	chew, dew, four, hew, you		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC031		yes		no
SC032	32	OE Diphthong Leveling	Old English	Old English	Germanic/fsts/germanic.txt	define OEDiphthongLeveling	define OEDiphthongLeveling [ {*aeu} -> {*ēa}, {*áeu} -> {*ēa}, {*eu} -> {*ēo}, {*éu} -> {*ēo}, {*iu} -> {*ēo}, {*íu} -> {*ēo}, {*e} {*u} -> {*eo}, {*é} {*u} -> {*éo}, {*i} {*u} -> {*eo} ];	OE Diphthong Leveling	yes	27	believe, bow, bread, breast, deer, dream, flea, flee, fly, forlorn, freeze, friend, hay, head, leaf, leek, light, lye, need, reek, seam, shove, stream, strew, team, thief		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC032		yes		no
SC033	33	OE Ew Long Diphthong	Old English	Old English	Germanic/fsts/germanic.txt	define OEEwLongDiphthong	define OEEwLongDiphthong [ {*e} {*w} -> {*ēo} {*w} || _ OEEwLongContext, {*i} {*w} -> {*ēo} {*w} || _ OEEwLongContext, {*é} {*w} -> {*ēo} {*w} || _ OEEwLongContext, {*í} {*w} -> {*ēo} {*w} || _ OEEwLongContext ];	OE Ew Long Diphthong	yes	4	chew, four, knee, you		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC033		yes		no
SC034	34	OE Aw Long Diphthong	Old English	Old English	Germanic/fsts/germanic.txt	define OEAwLongDiphthong	define OEAwLongDiphthong [ {*a} {*w} -> {*ēa} {*w} || _ [EnglishStarVocalic | {*ô}], {*á} {*w} -> {*ḗa} {*w} || _ [EnglishStarVocalic | {*ô}] ];	OE Aw Long Diphthong	yes	6	dew, hew, show, straw, show (iptv.2sg), show (3sg)		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC034		yes		no
SC035	35	OE Prefix A Reduction Early	Old English	Old English	Germanic/fsts/germanic.txt	define OEPrefixAReduction	define OEPrefixAReduction [ {*a} -> {*ĕ} || .#. {*g} _ [EnglishStarConsonant | EnglishPalatalConsonant] EnglishStarVocalic ];	OE Prefix A Reduction Early	yes	1	believe		not_started	not_started	sandbox stage OEPrefixAReductionEarly applies OEPrefixAReduction; duplicate audit 01 removed the redundant late computational reapplication	historical_sound_change	yes	Old English	Old English	SC035	OEPrefixAReduction	yes	Canonical inventory row; duplicate audit 01 confirmed the former late computational reapplication was redundant and removed.	no
SC036	36	OE Inter Stress Raising	Old English	Old English	Germanic/fsts/germanic.txt	define OEInterStressRaising	define OEInterStressRaising [ {*a} -> {*u} || PGmcStarVowel EnglishStarConsonant* _ [EnglishStarConsonant - {*j}]+ [{*u}|{*ū}], {*à} -> {*u} ];	OE Inter Stress Raising	yes	2	soul, world		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC036		yes		no
SC037	37	OE Compound Linking Syncope	Old English	Old English	Germanic/fsts/germanic.txt	define OECompoundLinkingSyncope	define OECompoundLinkingSyncope [ [{*a}|{*i}|{*u}] -> 0 || PGmcStarAcuteVowel OEAnyConsonant+ _ OEAnyConsonant+ PGmcStarGraveVowel ];	OE Compound Linking Syncope	yes	1	rainbow		not_started	not_started		historical_sound_change	yes	Old English	Old English	SC037		yes		no
SC038	38	OE Strip Secondary Stress	Old English	Old English	Germanic/fsts/germanic.txt	define OEStripSecondaryStress	define OEStripSecondaryStress [ {*à} -> {*a}, {*è} -> {*e}, {*ì} -> {*i}, {*ò} -> {*o}, {*ù} -> {*u} ];	OE Strip Secondary Stress	yes	2	rainbow, thousand		not_started	not_started		technical_marker	appendix	Technical	Old English	SC038		no	Marker-stripping cleanup for secondary-stress graves; keep only as methodological appendix material.	no
