ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
1945	b i e l ġ	*balgiz	b ɛ l ɪ ( - - )	wɒmb	bielġ	462	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			belly	*balgiz	13
1686	b a l k	*balgiz	b a l k ( - - )	balk	Balg	462	German		C V C C		belly	*balgiz	13
262	b ɛ s	*bazją	b ɛ s - ( - - )	bɛs	bes	72	Dutch				berry	*bazją	14
261	b ɛ r ɪ	*bazją	b ɛ r - ( ɪ - )	bɛrɪ	berry	72	English				berry	*bazją	14
1946	b e r ġ e	*bazją	b ɛ r - ( ɪ - )	bɛrɪ	berġe	72	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			berry	*bazją	14
260	b eː r ə	*bazją	b eː r - ( ə - )	beːrə	Beere	72	German				berry	*bazją	14
546	b iː d ə	*beudăną	b iː d ə - ( - - )	biːdə	bieden	149	Dutch				bid	*beudăną	15
1453	b ɪ d ə	*bidjăną	b ɪ d - ə - ( - - )	bɪdə	bidden	397	Dutch				bid	*bidjăną	15
545	b ɪ d	*beudăną	b ɪ d - - ( - - )	bɪd	bid	149	English				bid	*beudăną	15
1947	b ɪ d	*beudăną	b ɪ d - - ( - - )	bɪd	-	149	Old_English	Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			bid	*beudăną	15
1452	b ɪ d	*bidjăną	b ɪ d - - - ( - - )	bɪd	bid	397	English				bid	*bidjăną	15
1948	b ɪ d	*bidjăną	b ɪ d - - - ( - - )	bɪd	-	397	Old_English	Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			bid	*bidjăną	15
544	b iː t ə n	*beudăną	b iː t ə n ( - - )	biːtən	bieten	149	German				bid	*beudăną	15
1451	b ɪ t ə n	*bidjăną	b ɪ t - ə n ( - - )	bɪtən	bitten	397	German				bid	*bidjăną	15
472	b aː r	*barwōn	b aː r ( - - - )	baːr	baar	129	Dutch				bier	*barwōn	16
471	b ɪə	*barwōn	b ɪə r ( - - - )	bɪə	bier	129	English				bier	*barwōn	16
1949	b ē r	*barwōn	b ɪə r ( - - - )	bɪə	bēr	129	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bier	*barwōn	16
470	b aː r ə	*barwōn	b aː r ( - ə - )	baːrə	Bahre	129	German		C V C		bier	*barwōn	16
584	b ɪ n d ə	*bindăną	b ɪ n d ə - ( - - )	bɪndə	binden	160	Dutch				bind	*bindăną	17
583	b aɪ n d	*bindăną	b aɪ n d - - ( - - )	baɪnd	bind	160	English				bind	*bindăną	17
1950	b i n d a n	*bindăną	b aɪ n d - - ( - - )	baɪnd	bindan	160	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bind	*bindăną	17
582	b ɪ n d ə n	*bindăną	b ɪ n d ə n ( - - )	bɪndən	binden	160	German				bind	*bindăną	17
390	x ə b oː r t ə	*burdiz	( x ə ) b oː r t ( ə - )	xəboːrtə	geboorte	107	Dutch				birth	*burdiz	18
389	b ɜː θ	*burdiz	( - - ) b ɜː - θ ( - - )	bɜːθ	birth	107	English				birth	*burdiz	18
1951	s ự	*burdiz	( - - ) b ɜː - θ ( - - )	bɜːθ	ġebyrd	107	Old_English	Source: Wiktionary etymology (Old English link) | Source: Wiktionary etymology (Old English link)			birth	*burdiz	18
388	ɡ ə b uː r t	*burdiz	( ɡ ə ) b uː r t ( - - )	ɡəbuːrt	Geburt	107	German				birth	*burdiz	18
856	b l uː t	*blōdą	b l uː t ( - - )	bluːt	bloed	235	Dutch				blood	*blōdą	19
855	b l ʌ d	*blōdą	b l ʌ d ( - - )	blʌd	blood	235	English				blood	*blōdą	19
1952	b l ō d	*blōdą	b l ʌ d ( - - )	bloːd	blōd	235	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			blood	*blōdą	19
854	b l uː t	*blōdą	b l uː t ( - - )	bluːt	Blut	235	German				blood	*blōdą	19
1302	b ɔ r t	*burdą	b ɔ r t ( - - )	bɔrt	bord	357	Dutch				board	*burdą	20
1301	b ɔː d	*burdą	b ɔː - d ( - - )	bɔːd	board	357	English				board	*burdą	20
1953	b o r d	*burdą	b ɔː - d ( - - )	bɔːd	bord	357	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			board	*burdą	20
1300	b ɔ r t	*burdą	b ɔ r t ( - - )	bɔrt	Bord	357	German	BOR		Low German	board	*burdą	20
1037	b eː n	*bainăn	b eː n ( - - )	beːn	been	284	Dutch				bone	*bainăn	21
1036	b əʊ n	*bainăn	b əʊ n ( - - )	bəʊn	bone	284	English				bone	*bainăn	21
1954	b ā n	*bainăn	b əʊ n ( - - )	bɑːn	bān	284	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bone	*bainăn	21
1035	b ai n	*bainăn	b ai n ( - - )	bain	Bein	284	German		C V C		bone	*bainăn	21
937	b uː k	*bōkz	b uː k ( - )	buːk	boek	257	Dutch				book	*bōkz	22
936	b ʊ k	*bōkz	b ʊ k ( - )	bʊk	book	257	English				book	*bōkz	22
1955	b ō c	*bōkz	b ʊ k ( - )	bʊk	bōc	257	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			book	*bōkz	22
935	b uː x	*bōkz	b uː x ( - )	buːx	Buch	257	German				book	*bōkz	22
382	b oː r ə	*burōjăną	b oː r ( - ) - ə - ( - - )	boːrə	boren	105	Dutch				bore	*burōjăną	23
381	b ɔː	*burōjăną	b ɔː r ( - ) - - - ( - - )	bɔː	bore	105	English				bore	*burōjăną	23
1956	b o r i a n	*burōjăną	b ɔː r ( - ) - - - ( - - )	bɔː	borian	105	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bore	*burōjăną	23
380	b oː r ə n	*burōjăną	b oː r ( - ) - ə n ( - - )	boːrən	bohren	105	German				bore	*burōjăną	23
26	b uː z ə m	*bōsmăz	b uː z ə m ( - - )	buːzəm	boezem	7	Dutch				bosom	*bōsmăz	24
25	b ʊ z ə m	*bōsmăz	b ʊ z ə m ( - - )	bʊzəm	bosom	7	English				bosom	*bōsmăz	24
1957	b ō s m	*bōsmăz	b ʊ z ə m ( - - )	bʊzəm	bōsm	7	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bosom	*bōsmăz	24
24	b uː z ə n	*bōsmăz	b uː z ə n ( - - )	buːzən	Busen	7	German				bosom	*bōsmăz	24
641	b ɛɪ d ə	*bō	b ɛɪ ( d ə )	bɛɪdə	beide	176	Dutch				both	*bō	25
640	b əʊ θ	*bō	b əʊ ( θ - )	bəʊθ	both	176	English				both	*bō	25
1958	b ā ] ] [ [ þ ā	*bō	b əʊ ( θ - )	bəʊθ	bā]] [[þā	176	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			both	*bō	25
639	b ai d ə	*bō	b ai ( d ə )	baidə	beide	176	German				both	*bō	25
818	b oː d ə m	*budmăz	b oː d ə m ( - - )	boːdəm	bodem	224	Dutch				bottom	*budmăz	26
817	b ɔ t ə m	*budmăz	b ɔ t ə m ( - - )	bɔtəm	bottom	224	English				bottom	*budmăz	26
1959	b o t m	*budmăz	b ɔ t ə m ( - - )	bɔtəm	botm	224	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bottom	*budmăz	26
816	b oː d ə n	*budmăz	b oː d ə n ( - - )	boːdən	Boden	224	German	BOR			bottom	*budmăz	26
224	b aʊ	*bōguz	b aʊ - ( - - )	baʊ	bough	62	English				bough	*bōguz	334
1960	b ō g	*bōguz	b aʊ - ( - - )	baʊ	bōg	62	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bough	*bōguz	334
223	b uː k	*bōguz	b uː k ( - - )	buːk	Bug	62	German				bough	*bōguz	334
1298	b œy ɣ ə	*baugjăną	b œy ɣ - ə - ( - - )	bœyɣə	buigen	356	Dutch				bow	*baugjăną	27
930	b œy ɣ ə	*beugăną	b œy ɣ ə - ( - - )	bœyɣə	buigen	255	Dutch				bow	*beugăną	27
1420	b oː x	*bugōn	b oː x - -	boːx	boog	388	Dutch				bow	*bugōn	27
1297	b əʊ	*baugjăną	b əʊ - - - - ( - - )	bəʊ	bow	356	English				bow	*baugjăną	27
1961	b o g a	*baugjăną	b əʊ - - - - ( - - )	bəʊ	boga	356	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bow	*baugjăną	27
929	b əʊ	*beugăną	b əʊ - - - ( - - )	bəʊ	bow	255	English				bow	*beugăną	27
1962	b o g a	*beugăną	b əʊ - - - ( - - )	bəʊ	boga	255	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bow	*beugăną	27
1419	b əʊ	*bugōn	b əʊ - - -	bəʊ	bow	388	English				bow	*bugōn	27
1963	b o g a	*bugōn	b əʊ - - -	bəʊ	boga	388	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bow	*bugōn	27
1296	b ɔy ɡ ə n	*baugjăną	b ɔy ɡ - ə n ( - - )	bɔyɡən	beugen	356	German		C V c - v c		bow	*baugjăną	27
928	b iː ɡ ə n	*beugăną	b iː ɡ ə n ( - - )	biːɡən	biegen	255	German				bow	*beugăną	27
1418	b oː ɡ ə n	*bugōn	b oː ɡ ə n	boːɡən	Bogen	388	German				bow	*bugōn	27
1033	b uː r	*būrą	b uː - r ( - - )	buːr	boer	283	Dutch				bower	*būrą	28
1032	b aʊ ə	*būrą	b aʊ ə r ( - - )	baʊə	bower	283	English				bower	*būrą	28
1964	b ū r	*būrą	b aʊ ə r ( - - )	baʊə	būr	283	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bower	*būrą	28
1031	b au ə r	*būrą	b au ə r ( - - )	bauər	Bauer	283	German				bower	*būrą	28
798	b r ɑ n t	*brandăz	b r ɑ n t ( - - )	brɑnt	brand	218	Dutch				brand	*brandăz	29
797	b r æ n d	*brandăz	b r æ n d ( - - )	brænd	brand	218	English				brand	*brandăz	29
1965	b r a n d	*brandăz	b r æ n d ( - - )	brænd	brand	218	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			brand	*brandăz	29
796	b r a n t	*brandăz	b r a n d ( - - )	brant	Brand	218	German				brand	*brandăz	29
1158	b r oː t	*braudą	b r oː t ( - - )	broːt	brood	317	Dutch				bread	*braudą	30
1157	b r ɛ d	*braudą	b r ɛ d ( - - )	brɛd	bread	317	English				bread	*braudą	30
1966	b r ē a d	*braudą	b r ɛ d ( - - )	brɛd	brēad	317	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bread	*braudą	30
1156	b r oː t	*braudą	b r oː t ( - - )	broːt	Brot	317	German				bread	*braudą	30
503	b r eː k ə	*brekăną	b r eː k ə - ( - - )	breːkə	breken	137	Dutch				break	*brekăną	31
502	b r eɪ k	*brekăną	b r eɪ k - - ( - - )	breɪk	break	137	English				break	*brekăną	31
1967	b r e c a n	*brekăną	b r eɪ k - - ( - - )	breɪk	brecan	137	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			break	*brekăną	31
501	b r ɛ x ə n	*brekăną	b r ɛ x ə n ( - - )	brɛxən	brechen	137	German				break	*brekăną	31
1773	b ɔ r s t	*brustz	b ɔ r - s t ( - )	bɔrst	borst	485	Dutch				breast	*brustz	32
1772	b r ɛ s t	*brustz	b - r ɛ s t ( - )	brɛst	breast	485	English				breast	*brustz	32
1968	b r ē o s t	*brustz	b - r ɛ s t ( - )	breːo̯st	brēost	485	Old_English	Source: Wiktionary Old English Swadesh list (retrieved 2025-12-12) | Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			breast	*brustz	32
1771	b r ʊ s t	*brustz	b - r ʊ s t ( - )	brʊst	Brust	485	German				breast	*brustz	32
1516	b r uː k	*brekăną	b r uː k ( - - )	bruːk	broek	415	Dutch				breeches	*brekăną	33
1515	b r ʊ k	*brekăną	b r ʊ k ( - - )	brʊk	breeches	415	English				breeches	*brekăną	33
1969	b r ē ċ	*brekăną	b r ʊ k ( - - )	brʊk	brēċ	415	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			breeches	*brekăną	33
1514	b r ʊ x	*brekăną	b r ʊ x ( - - )	brʊx	Bruch	415	German				breeches	*brekăną	33
296	b r œy t	*brūdiz	b r œy t ( - - )	brœyt	bruid	82	Dutch				bride	*brūdiz	34
295	b r aɪ d	*brūdiz	b r aɪ d ( - - )	braɪd	bride	82	English				bride	*brūdiz	34
1970	b r ȳ d	*brūdiz	b r aɪ d ( - - )	braɪd	brȳd	82	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bride	*brūdiz	34
294	b r au t	*brūdiz	b r au t ( - - )	braut	Braut	82	German				bride	*brūdiz	34
1652	b r ɛ ŋ ə	*bringăną	b r ɛ ŋ - ə - ( - - )	brɛŋə	brengen	453	Dutch				bring	*bringăną	35
1651	b r ɪ ŋ	*bringăną	b r ɪ ŋ - - - ( - - )	brɪŋ	bring	453	English				bring	*bringăną	35
1971	b r i n g a n	*bringăną	b r ɪ ŋ - - - ( - - )	brɪŋ	bringan	453	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bring	*bringăną	35
1650	b r ɪ ŋ ə n	*bringăną	b r ɪ ŋ - ə n ( - - )	brɪŋən	bringen	453	German				bring	*bringăną	35
1136	x ə b r œy k ə	*brūkăną	( x ə ) b r œy k ə - ( - - )	xəbrœykə	gebruiken	311	Dutch				brook	*brūkăną	36
1135	b r ʊ k	*brūkăną	( - - ) b r ʊ k - - ( - - )	brʊk	brook	311	English				brook	*brūkăną	36
1972	b r ū c a n	*brūkăną	( - - ) b r ʊ k - - ( - - )	brʊk	brūcan	311	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			brook	*brūkăną	36
1134	b r au x ə n	*brūkăną	( - - ) b r au x ə n ( - - )	brauxən	brauchen	311	German				brook	*brūkăną	36
34	b ɔ k	*bukkăz	b ɔ k ( - - )	bɔk	bok	9	Dutch				buck	*bukkăz	37
33	b ʌ k	*bukkăz	b ʌ k ( - - )	bʌk	buck	9	English				buck	*bukkăz	37
1973	b u c	*bukkăz	b ʌ k ( - - )	bʌk	buc	9	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			buck	*bukkăz	37
32	b ɔ k	*bukkăz	b ɔ k ( - - )	bɔk	Bock	9	German				buck	*bukkăz	37
1754	b ɑ r s t ə	*brestăną	b ɑ r - s t ə - ( - - )	bɑrstə	barsten	480	Dutch				burst	*brestăną	38
1753	b ɜː s t	*brestăną	b ɜː - - s t - - ( - - )	bɜːst	burst	480	English				burst	*brestăną	38
1974	b e r s t a n	*brestăną	b ɜː - - s t - - ( - - )	bɜːst	berstan	480	Old_English	Source: Wiktionary etymology (template:der) | Source: Wiktionary etymology (template:der)			burst	*brestăną	38
1752	b ɛ r s t ə n	*brestăną	b ɛ r - s t ə n ( - - )	bɛrstən	bersten	480	German				burst	*brestăną	38
193	k ɑ l f	*kalbăz	k ɑ l f ( - - )	kɑlf	kalf	54	Dutch				calf	*kalbăz	39
192	k ɑː f	*kalbăz	k ɑː - f ( - - )	kɑːf	calf	54	English				calf	*kalbăz	39
1975	ọ m ọ	*kalbăz	k ɑː - f ( - - )	kɑːf	ọmọ	54	Old_English	Source: Wiktionary etymology (Old English link) | Source: Wiktionary etymology (Old English link)			calf	*kalbăz	39
191	k a l p	*kalbăz	k a l b ( - - )	kalp	Kalb	54	German				calf	*kalbăz	39
993	k ɑu ʋ ə	*kewwăną	k ɑu ʋ ə - ( - - )	kɑuʋə	kauwen	272	Dutch				chew	*kewwăną	40
992	ʧ uː	*kewwăną	ʧ uː - - - ( - - )	ʧuː	chew	272	English				chew	*kewwăną	40
1976	ċ ē o w a n	*kewwăną	ʧ uː - - - ( - - )	ʧuː	ċēowan	272	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			chew	*kewwăną	40
991	k au ə n	*kewwăną	k au - ə n ( - - )	kauən	kauen	272	German				chew	*kewwăną	40
557	k l ɪ m ə	*klimbăną	k l ɪ m - ə - ( - - )	klɪmə	klimmen	152	Dutch				climb	*klimbăną	41
556	k l aɪ m	*klimbăną	k l aɪ m - - - ( - - )	klaɪm	climb	152	English				climb	*klimbăną	41
1977	c l i m b a n	*klimbăną	k l aɪ m - - - ( - - )	klaɪm	climban	152	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			climb	*klimbăną	41
555	k l ɪ m ə n	*klimbăną	k l ɪ m - ə n ( - - )	klɪmən	klimmen	152	German				climb	*klimbăną	41
1680	k ɑ m	*kambăz	k ɑ m - ( - - )	kɑm	kam	460	Dutch				comb	*kambăz	42
1679	k əʊ m	*kambăz	k əʊ m - ( - - )	kəʊm	comb	460	English				comb	*kambăz	42
1978	c a m b	*kambăz	k əʊ m - ( - - )	kəʊm	camb	460	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			comb	*kambăz	42
1678	k a m	*kambăz	k a m - ( - - )	kam	Kamm	460	German				comb	*kambăz	42
8	k oː r ə	*kurnăn	k oː r - ( ə - )	koːrə	koren	533	Dutch				corn	*kurnăn	43
7	k ɔː n	*kurnăn	k ɔː - n ( - - )	kɔːn	corn	533	English				corn	*kurnăn	43
1979	c o r n	*kurnăn	k ɔː - n ( - - )	kɔːn	corn	533	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			corn	*kurnăn	43
6	k ɔ r n	*kurnăn	k ɔ r n ( - - )	kɔrn	Korn	533	German				corn	*kurnăn	43
1093	k uː	*kōwz	k uː ( - - )	kuː	koe	299	Dutch				cow	*kōwz	44
1092	k aʊ	*kōwz	k aʊ ( - - )	kaʊ	cow	299	English				cow	*kōwz	44
1980	c ū	*kōwz	k aʊ ( - - )	kaʊ	cū	299	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			cow	*kōwz	44
1091	k uː	*kōwz	k uː ( - - )	kuː	Kuh	299	German				cow	*kōwz	44
1508	k r ɑ x t	*kraftiz	k r ɑ x t ( - - )	krɑxt	kracht	413	Dutch				craft	*kraftiz	45
1507	k r ɑː f t	*kraftiz	k r ɑː f t ( - - )	krɑːft	craft	413	English				craft	*kraftiz	45
1981	c r æ f t	*kraftiz	k r ɑː f t ( - - )	krɑːft	cræft	413	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			craft	*kraftiz	45
1506	k r a f t	*kraftiz	k r a f t ( - - )	kraft	Kraft	413	German				craft	*kraftiz	45
881	k r ɔ p	*kruppăz	k r ɔ p ( - - )	krɔp	krop	242	Dutch				crop	*kruppăz	46
880	k r ɔ p	*kruppăz	k r ɔ p ( - - )	krɔp	crop	242	English				crop	*kruppăz	46
1982	c r o p	*kruppăz	k r ɔ p ( - - )	krɔp	crop	242	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			crop	*kruppăz	46
879	k r ɔ pf	*kruppăz	k r ɔ pf ( - - )	krɔp͡f	Kropf	242	German				crop	*kruppăz	46
1247	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	kit	342	Dutch				cud	*kwiθuz	47
1246	k ʌ d	*kwiθuz	k ʌ d ( - - )	kʌd	cud	342	English				cud	*kwiθuz	47
1983	c u d u	*kwiθuz	k ʌ d ( - - )	kʌd	cudu	342	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			cud	*kwiθuz	47
1245	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	Kitt	342	German				cud	*kwiθuz	47
1184	d ɑ l	*dalăz	d ɑ l ( - - )	dɑl	dal	324	Dutch				dale	*dalăz	48
1183	d eɪ l	*dalăz	d eɪ l ( - - )	deɪl	dale	324	English				dale	*dalăz	48
1984	d æ l	*dalăz	d eɪ l ( - - )	deɪl	dæl	324	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			dale	*dalăz	48
1182	t aː l	*dalăz	t aː l ( - - )	taːl	Tal	324	German				dale	*dalăz	48
783	d ɑ x	*dagăz	d ɑ x ( - - )	dɑx	dag	214	Dutch				day	*dagăz	49
