current_proto,proposed_proto,doculects,concepts,sample_ipa,matching_proto_values,rows
*strakkjanan,*strakkjaną,Dutch/English/German,stretch,strɛkə; strɛʧ; ʃtrɛkən,*strakkjanan,3
*strawjanan,*strawjaną,Dutch/English/German,strew,stroːjə; struː; ʃtrɔyən,*strawjanan,3
*sundrōjanan,*sundrōjaną,Dutch/English/German,sunder,sʌndər; zɔndərn; ɑfsɔndərə,*sundrōjanan,3
*swellanan,*swellaną,English/German,swell,sʋɛl; ʃvɛlən,*swellanan,2
*swemmanan,*swemmaną,Dutch/English/German,swim,sʋɪm; zʋɛmə; ʃvɪmən,*swemmanan,3
*swīnan,*swīną,Dutch/English/German,swine,sʋaɪn; zʋɛɪn; ʃvain,*swīnan,3
*sōkjanan,*sōkjaną,Dutch/English/German,seek,siːk; zuːkə; zuːxən,*sōkjanan,3
*sūpanan,*sūpaną,Dutch/English/German,sup,sʌp; zaufən; zœypə,*sūpanan,3
*taiknan,*taikną,Dutch/English/German,token,teːkə; təʊkən; t͡saixən,*taiknan,3
*tredanan,*tredaną,Dutch/English/German,tread,treːdə; treːtən; trɛd,*tredanan,3
*tūnan,*tūną,Dutch/English/German,town,taʊn; tœyn; t͡saun,*tūnan,3
*wadanan,*wadaną,Dutch/English/German,wade,vaːtən; ʋaːdə; ʋeɪd,*wadanan,3
*wainōjanan,*wainōjaną,English/German,whine,vainən; ʋaɪn,*wainōjanan,2
*wakēnan,*wakēną,Dutch/English/German,wake,vaxən; ʋaːkə; ʋeɪk,*wakēnan,3
*waldanan,*waldaną,English/German,wield,valtən; ʋiːld,*waldanan,2
*waljanan,*waljaną,Dutch/English/German,will,vɔlən; ʋɪl; ʋɪlə,*waljanan,3
*waskanan,*waskaną,Dutch/English/German,wash,vaʃən; ʋɑsə; ʋɔʃ,*waskanan,3
*waxsanan,*waxsaną,Dutch/English/German,wax,vaksən; ʋæks; ʋɑsə,*waxsanan,3
*webanan,*webaną,Dutch/English/German,weave,veːbən; ʋeːvə; ʋiːv,*webanan,3
*wendanan,*wendaną,Dutch/English/German,wind,vɪndən; ʋɪnd; ʋɪndə,*wendanan,3
*werpanan,*werpaną,Dutch/English/German,warp,vɛrfən; ʋɔːp; ʋɛrpə,*werpanan,3
*wrenganan,*wrenganą,Dutch/English/German,wring,rɪŋ; rɪŋən; ʋrɪŋə,*wrenganan,3
*wēpnan,*wēpną,Dutch/English/German,weapon,vafə; ʋaːpə; ʋɛpən,*wēpnan,3
*xabēnan,*xabēną,Dutch/English/German,have,haːbən; hæv; hɛbə,*xabēnan,3
*xailjanan,*xailjaną,Dutch/English/German,heal,hailən; heːlə; hiːl,*xailjanan,3
*xaldanan,*xaldaną,Dutch/English/German,hold,haltən; hɑudə; həʊld,*xaldanan,3
*xandlōjanan,*xandlōjaną,Dutch/English/German,handle,handəln; hændḷ; hɑndələ,*xandlōjanan,3
*xawwanan,*xawwaną,Dutch/English/German,hew,hauən; hjuː; hɑuʋə,*xawwanan,3
*xelpanan,*xelpaną,Dutch/English/German,help,hɛlfən; hɛlp; hɛlpə,*xelpanan,3
*xurnan,*xurną,Dutch/English/German,horn,hoːrn; hɔrn; hɔːn,*xurnan,3
*θreskanan,*θreskaną,Dutch/English/German,thrash,drɛʃən; dɔrsə; θræʃ,*θreskanan,3
